 Date Time CO NO2 CHX NO
 08.04.13 12:00 0.10 0.25 1.42 0.04
 -------- 13:00 0.08 0.20 1.41 0.02
 -------- 14:00 0.09 0.20 1.43 0.02
 -------- 15:00 0.08 0.18 1.41 0.02
 -------- 16:00 0.08 0.14 1.40 0.01
 08.04.13 17:00 0.07 0.11 1.38 0.01
 -------- 18:00 0.09 0.12 1.48 0.01
 -------- 19:00 0.09 0.16 1.40 0.01
 -------- 20:00 0.09 0.18 1.42 0.01
 -------- 21:00 0.11 0.31 1.43 0.01
 08.04.13 22:00 0.12 0.34 1.46 0.01
 -------- 23:00 0.14 0.50 1.49 0.02
 -------- 00:00 0.14 0.63 1.54 0.06
 -------- 01:00 0.15 0.64 1.69 0.14
 -------- 02:00 0.14 0.63 1.67 0.14
 09.04.13 03:00 0.11 0.63 1.65 0.13
 -------- 04:00 0.12 0.64 1.68 0.17
 -------- 05:00 0.16 0.67 1.84 0.33
 -------- 06:00 0.14 0.65 1.81 0.24
 -------- 07:00 0.09 0.60 1.71 0.08
 09.04.13 08:00 0.09 0.53 1.70 0.07
 -------- 09:00 0.12 0.54 1.68 0.09
 -------- 10:00 0.09 0.44 1.55 0.06
 -------- 11:00 0.11 0.53 1.61 0.07
 -------- 12:00 0.11 0.51 1.56 0.07
 09.04.13 13:00 0.10 0.49 1.56 0.05
 -------- 14:00 0.09 0.43 1.54 0.04
 -------- 15:00 0.09 0.42 1.52 0.03
 -------- 16:00 0.07 0.43 1.51 0.03
 -------- 17:00 0.05 0.41 1.49 0.03
 09.04.13 18:00 0.04 0.46 1.51 0.03
 -------- 19:00 0.03 0.41 1.48 0.01
 -------- 20:00 0.04 0.46 1.50 0.01
 -------- 21:00 0.05 0.52 1.53 0.01
 -------- 22:00 0.10 0.60 1.59 0.01
 09.04.13 23:00 0.14 0.67 1.69 0.07
 -------- 00:00 0.12 0.67 1.72 0.05
 -------- 01:00 0.13 0.64 1.78 0.03
 -------- 02:00 0.15 0.66 1.80 0.05
 -------- 03:00 0.15 0.68 1.79 0.10
 10.04.13 04:00 0.13 0.61 1.67 0.03
 -------- 05:00 0.11 0.60 1.69 0.03
 -------- 06:00 0.12 0.64 2.03 0.08
 -------- 07:00 0.15 0.64 2.17 0.15
 -------- 08:00 0.19 0.73 2.23 0.33
 10.04.13 09:00 0.15 0.72 1.95 0.41
 -------- 10:00 0.08 0.51 1.52 0.13
 -------- 11:00 0.08 0.62 1.53 0.23
