 Date Time NO2 CHX NO
 02.10.12 00:00 0.31 1.50 0.09
 -------- 01:00 0.29 1.51 0.08
 -------- 02:00 0.27 1.51 0.06
 -------- 03:00 0.25 1.51 0.06
 -------- 04:00 0.24 1.50 0.05
 02.10.12 05:00 0.20 1.44 0.03
 -------- 06:00 0.21 1.47 0.03
 -------- 07:00 0.24 1.51 0.09
 -------- 08:00 0.26 1.63 0.19
 -------- 09:00 0.29 1.64 0.24
 02.10.12 10:00 0.34 1.77 0.31
 -------- 11:00 0.34 1.64 0.20
 -------- 12:00 0.26 1.46 0.07
 -------- 13:00 0.19 1.41 0.03
 -------- 14:00 0.20 1.41 0.03
 02.10.12 15:00 0.18 1.40 0.02
 -------- 16:00 0.18 1.39 0.02
 -------- 17:00 0.24 1.44 0.02
 -------- 18:00 0.23 1.43 0.01
 -------- 19:00 0.27 1.44 0.01
 02.10.12 20:00 0.32 1.47 0.03
 -------- 21:00 0.30 1.48 0.03
 -------- 22:00 0.33 1.55 0.07
 -------- 23:00 0.35 1.51 0.11
 -------- 00:00 0.34 1.50 0.10
 03.10.12 01:00 0.30 1.49 0.06
 -------- 02:00 0.29 1.51 0.07
 -------- 03:00 0.29 1.49 0.06
 -------- 04:00 0.29 1.48 0.05
 -------- 05:00 0.27 1.45 0.04
 03.10.12 06:00 0.25 1.46 0.04
 -------- 07:00 0.25 1.46 0.06
 -------- 08:00 0.28 1.47 0.07
 -------- 09:00 0.27 1.47 0.08
 -------- 10:00 0.27 1.54 0.10
 03.10.12 11:00 0.27 1.55 0.09
 -------- 12:00 0.25 1.46 0.06
 -------- 13:00 0.22 1.46 0.04
 -------- 14:00 0.24 1.47 0.05
 -------- 15:00 0.24 1.46 0.05
 03.10.12 16:00 0.27 1.53 0.09
 -------- 17:00 0.26 1.54 0.07
 -------- 18:00 0.26 1.50 0.07
 -------- 19:00 0.26 1.52 0.09
 -------- 20:00 0.26 1.53 0.09
 03.10.12 21:00 0.25 1.49 0.04
 -------- 22:00 0.25 1.46 0.03
 -------- 23:00 0.25 1.48 0.06
