 Date Time CO NO2 CHX NO
 21.12.12 12:00 0.18 0.39 1.95 0.34
 -------- 13:00 0.19 0.40 1.92 0.35
 -------- 14:00 0.19 0.41 1.90 0.33
 -------- 15:00 0.19 0.43 1.94 0.34
 -------- 16:00 0.19 0.42 1.83 0.32
 21.12.12 17:00 0.19 0.39 1.81 0.32
 -------- 18:00 0.20 0.37 1.75 0.26
 -------- 19:00 0.19 0.36 1.80 0.24
 -------- 20:00 0.15 0.36 1.75 0.17
 -------- 21:00 0.15 0.35 1.75 0.18
 21.12.12 22:00 0.14 0.35 1.72 0.15
 -------- 23:00 0.12 0.35 1.70 0.14
 -------- 00:00 0.12 0.35 1.74 0.16
 -------- 01:00 0.15 0.34 1.73 0.16
 -------- 02:00 0.15 0.35 1.71 0.14
 22.12.12 03:00 0.12 0.35 1.66 0.13
 -------- 04:00 0.11 0.35 1.61 0.09
 -------- 05:00 0.10 0.35 1.59 0.06
 -------- 06:00 0.10 0.36 1.57 0.08
 -------- 07:00 0.10 0.36 1.56 0.06
 22.12.12 08:00 0.14 0.38 1.65 0.12
 -------- 09:00 0.16 0.38 1.66 0.15
 -------- 10:00 0.14 0.38 1.59 0.11
 -------- 11:00 0.11 0.35 1.51 0.06
 -------- 12:00 0.15 0.39 1.58 0.12
 22.12.12 13:00 0.16 0.40 1.60 0.15
 -------- 14:00 0.13 0.38 1.57 0.11
 -------- 15:00 0.10 0.35 1.52 0.06
 -------- 16:00 0.10 0.33 1.50 0.03
 -------- 17:00 0.09 0.34 1.49 0.02
 22.12.12 18:00 0.10 0.37 1.52 0.03
 -------- 19:00 0.12 0.38 1.56 0.05
 -------- 20:00 0.11 0.37 1.52 0.03
 -------- 21:00 0.10 0.38 1.52 0.04
 -------- 22:00 0.09 0.36 1.50 0.03
 22.12.12 23:00 0.09 0.35 1.51 0.03
 -------- 00:00 0.08 0.34 1.53 0.03
 -------- 01:00 0.10 0.33 1.55 0.03
 -------- 02:00 0.11 0.32 1.55 0.03
 -------- 03:00 0.10 0.30 1.54 0.02
 23.12.12 04:00 0.09 0.30 1.51 0.03
 -------- 05:00 0.09 0.28 1.53 0.02
 -------- 06:00 0.08 0.30 1.56 0.02
 -------- 07:00 0.07 0.29 1.55 0.01
 -------- 08:00 0.09 0.32 1.59 0.02
 23.12.12 09:00 0.10 0.35 1.67 0.04
 -------- 10:00 0.12 0.34 1.63 0.05
 -------- 11:00 0.13 0.34 1.60 0.09
