 Date Time CO NO2 CHX NO
 14.12.12 00:00 0.04 0.21 1.38 0.01
 -------- 01:00 0.05 0.19 1.37 0.02
 -------- 02:00 0.05 0.19 1.37 0.01
 -------- 03:00 0.05 0.17 1.37 0.01
 -------- 04:00 0.05 0.17 1.37 0.01
 14.12.12 05:00 0.06 0.16 1.37 0.01
 -------- 06:00 0.06 0.18 1.38 0.02
 -------- 07:00 0.07 0.22 1.40 0.02
 -------- 08:00 0.09 0.24 1.44 0.03
 -------- 09:00 0.09 0.24 1.42 0.02
 14.12.12 10:00 0.09 0.25 1.41 0.03
 -------- 11:00 0.10 0.26 1.41 0.04
 -------- 12:00 0.10 0.27 1.40 0.05
 -------- 13:00 0.10 0.25 1.39 0.04
 -------- 14:00 0.11 0.25 1.39 0.04
 14.12.12 15:00 0.10 0.25 1.40 0.04
 -------- 16:00 0.10 0.23 1.38 0.03
 -------- 17:00 0.10 0.25 1.38 0.03
 -------- 18:00 0.10 0.25 1.38 0.02
 -------- 19:00 0.12 0.28 1.40 0.02
 14.12.12 20:00 0.10 0.25 1.39 0.02
 -------- 21:00 0.10 0.26 1.39 0.02
 -------- 22:00 0.11 0.26 1.38 0.02
 -------- 23:00 0.11 0.26 1.40 0.02
 -------- 00:00 0.08 0.27 1.40 0.03
 15.12.12 01:00 0.07 0.27 1.39 0.02
 -------- 02:00 0.07 0.26 1.40 0.03
 -------- 03:00 0.08 0.26 1.41 0.02
 -------- 04:00 0.08 0.27 1.42 0.02
 -------- 05:00 0.07 0.26 1.43 0.03
 15.12.12 06:00 0.08 0.26 1.44 0.03
 -------- 07:00 0.08 0.28 1.46 0.03
 -------- 08:00 0.10 0.30 1.47 0.05
 -------- 09:00 0.11 0.31 1.48 0.07
 -------- 10:00 0.11 0.30 1.49 0.08
 15.12.12 11:00 0.12 0.30 1.52 0.11
 -------- 12:00 0.12 0.29 1.51 0.13
 -------- 13:00 0.13 0.31 1.51 0.13
 -------- 14:00 0.12 0.30 1.55 0.12
 -------- 15:00 0.12 0.32 1.48 0.10
 15.12.12 16:00 0.11 0.32 1.46 0.06
 -------- 17:00 0.10 0.33 1.46 0.04
 -------- 18:00 0.11 0.35 1.47 0.05
 -------- 19:00 0.12 0.35 1.51 0.07
 -------- 20:00 0.14 0.34 1.56 0.08
 15.12.12 21:00 0.14 0.34 1.56 0.09
 -------- 22:00 0.13 0.33 1.54 0.10
 -------- 23:00 0.10 0.30 1.48 0.09
