 Date Time CO NO2 CHX NO
 17.05.13 00:00 0.17 0.15 1.50 0.00
 -------- 01:00 0.16 0.13 1.45 ----
 -------- 02:00 0.16 0.26 1.46 0.00
 -------- 03:00 0.16 0.18 1.47 ----
 -------- 04:00 0.17 0.19 1.53 0.00
 17.05.13 05:00 0.18 0.19 1.57 0.00
 -------- 06:00 0.19 0.16 1.48 0.01
 -------- 07:00 0.23 0.22 1.61 0.02
 -------- 08:00 0.21 0.19 1.49 0.03
 -------- 09:00 0.18 0.11 1.44 0.01
 17.05.13 10:00 0.19 0.09 1.40 0.01
 -------- 11:00 0.16 0.09 1.39 0.01
 -------- 12:00 0.17 0.09 1.41 0.01
 -------- 13:00 0.16 0.06 1.39 0.00
 -------- 14:00 0.17 0.09 1.43 0.01
 17.05.13 15:00 0.17 0.10 1.40 0.01
 -------- 16:00 0.17 0.09 1.43 0.01
 -------- 17:00 0.19 0.13 1.50 0.01
 -------- 18:00 0.19 0.14 1.51 0.01
 -------- 19:00 0.20 0.12 1.48 0.01
 17.05.13 20:00 0.18 0.10 1.43 0.00
 -------- 21:00 0.19 0.11 1.41 0.00
 -------- 22:00 0.20 0.15 1.42 0.00
 -------- 23:00 0.21 0.16 1.45 0.01
 -------- 00:00 0.23 0.14 1.44 0.00
 18.05.13 01:00 0.20 0.17 1.45 0.01
 -------- 02:00 0.19 0.17 1.43 0.01
 -------- 03:00 0.18 0.15 1.42 0.01
 -------- 04:00 0.19 0.15 1.45 0.01
 -------- 05:00 0.19 0.16 1.46 0.01
 18.05.13 06:00 0.21 0.15 1.49 0.02
 -------- 07:00 0.21 0.14 1.50 0.03
 -------- 08:00 0.20 0.12 1.49 0.03
 -------- 09:00 0.21 0.11 1.50 0.03
 -------- 10:00 0.21 0.10 1.49 0.01
 18.05.13 11:00 0.19 0.09 1.42 0.01
 -------- 12:00 0.17 0.08 1.40 0.01
 -------- 13:00 0.17 0.07 1.41 0.01
 -------- 14:00 0.16 0.06 1.38 0.00
 -------- 15:00 0.18 0.08 1.40 0.01
 18.05.13 16:00 0.17 0.07 1.38 0.01
 -------- 17:00 0.17 0.06 1.39 0.00
 -------- 18:00 0.21 0.13 1.43 0.04
 -------- 19:00 0.23 0.19 1.46 0.01
 -------- 20:00 0.33 0.27 1.60 0.11
 18.05.13 21:00 0.33 0.31 1.67 0.07
 -------- 22:00 0.30 0.30 1.71 0.02
 -------- 23:00 0.34 0.30 1.90 0.07
