 Date Time CO NO2 NO
 26.11.12 00:00 0.04 ---- ----
 -------- 01:00 0.02 ---- ----
 -------- 02:00 0.02 ---- ----
 -------- 03:00 0.02 ---- ----
 -------- 04:00 0.03 ---- ----
 26.11.12 05:00 0.05 ---- ----
 -------- 06:00 0.05 ---- ----
 -------- 07:00 0.09 ---- ----
 -------- 08:00 0.15 ---- ----
 -------- 09:00 0.16 ---- ----
 26.11.12 10:00 0.17 ---- ----
 -------- 11:00 0.23 ---- ----
 -------- 12:00 0.33 ---- ----
 -------- 13:00 0.26 ---- ----
 -------- 14:00 0.32 ---- ----
 26.11.12 15:00 0.24 ---- ----
 -------- 16:00 0.25 ---- ----
 -------- 17:00 0.22 0.32 0.33
 -------- 18:00 0.11 0.09 0.20
 -------- 19:00 0.11 0.05 0.14
 26.11.12 20:00 0.09 0.04 0.13
 -------- 21:00 0.08 0.04 0.12
 -------- 22:00 0.07 0.03 0.11
 -------- 23:00 0.08 0.03 0.15
 -------- 00:00 0.08 0.02 0.14
 27.11.12 01:00 0.06 0.02 0.12
 -------- 02:00 0.05 0.03 0.11
 -------- 03:00 0.05 0.02 0.07
 -------- 04:00 0.05 0.02 0.07
 -------- 05:00 0.07 0.02 0.09
 27.11.12 06:00 0.11 0.02 0.11
 -------- 07:00 0.17 0.05 0.17
 -------- 08:00 0.17 0.06 0.22
 -------- 09:00 0.15 0.05 0.20
 -------- 10:00 0.17 0.05 0.26
 27.11.12 11:00 0.15 0.04 0.20
 -------- 12:00 0.16 0.05 0.24
 -------- 13:00 0.15 0.05 0.21
 -------- 14:00 0.13 0.05 0.17
 -------- 15:00 0.14 0.06 0.17
 27.11.12 16:00 0.13 0.05 0.15
 -------- 17:00 0.16 0.05 0.19
 -------- 18:00 0.13 0.05 0.13
 -------- 19:00 0.11 0.06 0.11
 -------- 20:00 0.10 0.07 0.11
 27.11.12 21:00 0.12 0.07 0.14
 -------- 22:00 0.11 0.07 0.15
 -------- 23:00 0.09 0.06 0.12
