 Date Time CO CHX
 -------- 1.50 01:00 0.05
 -------- 1.49 02:00 0.03
 -------- 1.47 03:00 0.03
 -------- 1.47 04:00 0.05
 04.11.12 05:00 <b>04.11.1205:00</b> 0.10
 -------- 1.52 06:00 0.11
 -------- 1.57 07:00 0.12
 -------- 1.54 08:00 0.17
 -------- 1.60 09:00 0.21
 04.11.12 10:00 <b>04.11.1210:00</b> 0.24
 -------- 1.64 11:00 0.21
 -------- 1.62 12:00 0.13
 -------- 1.52 13:00 0.11
 -------- 1.66 14:00 0.14
 04.11.12 15:00 <b>04.11.1215:00</b> 0.18
 -------- 1.56 16:00 0.12
 -------- 1.52 17:00 0.11
 -------- 1.51 18:00 0.15
 -------- 1.53 19:00 0.15
 04.11.12 20:00 <b>04.11.1220:00</b> 0.11
 -------- 1.53 21:00 0.09
 -------- 1.44 22:00 0.07
 -------- 2.09 23:00 0.06
 -------- 1.41 00:00 0.05
 05.11.12 01:00 <b>05.11.1201:00</b> 0.04
 -------- 1.43 02:00 0.04
 -------- 1.47 03:00 0.04
 -------- 1.40 04:00 0.02
 -------- 1.39 05:00 0.03
 05.11.12 06:00 <b>05.11.1206:00</b> 0.07
 -------- 1.43 07:00 0.08
 -------- 1.47 08:00 0.06
 -------- 1.47 09:00 0.12
 -------- 1.57 10:00 0.29
 05.11.12 11:00 <b>05.11.1211:00</b> 0.09
 -------- 1.53 12:00 0.07
 -------- 1.53 13:00 0.05
 -------- 1.45 14:00 0.13
 -------- 1.54 15:00 0.07
 05.11.12 16:00 <b>05.11.1216:00</b> 0.05
 -------- 1.44 17:00 0.05
 -------- 1.44 18:00 0.06
 -------- 1.49 19:00 0.05
 -------- 1.45 20:00 0.05
 05.11.12 21:00 <b>05.11.1221:00</b> 0.03
 -------- 1.45 22:00 0.02
 -------- 1.41 23:00 0.02
