 Date Time CO NO2 CHX NO
 09.05.13 12:00 0.17 0.17 1.48 0.06
 -------- 13:00 0.16 0.16 1.49 0.06
 -------- 14:00 0.15 0.13 1.42 0.04
 -------- 15:00 0.17 0.14 1.46 0.06
 -------- 16:00 0.17 0.16 1.47 0.05
 09.05.13 17:00 0.19 0.17 1.48 0.06
 -------- 18:00 0.17 0.16 1.52 0.03
 -------- 19:00 0.22 0.22 1.53 0.06
 -------- 20:00 0.26 0.27 1.70 0.06
 -------- 21:00 0.28 0.34 1.86 0.07
 09.05.13 22:00 0.37 0.44 1.88 0.03
 -------- 23:00 0.43 0.43 2.01 0.13
 -------- 00:00 0.39 0.42 2.01 0.33
 -------- 01:00 0.42 0.39 2.00 0.45
 -------- 02:00 0.35 0.38 1.95 0.30
 10.05.13 03:00 0.28 0.35 1.85 0.26
 -------- 04:00 0.27 0.30 1.89 0.22
 -------- 05:00 0.35 0.34 1.82 0.33
 -------- 06:00 0.41 0.33 1.90 0.42
 -------- 07:00 0.40 0.30 1.81 0.32
 10.05.13 08:00 0.29 0.27 1.66 0.21
 -------- 09:00 0.25 0.26 1.68 0.15
 -------- 10:00 0.20 0.23 1.57 0.11
 -------- 11:00 0.20 0.21 1.55 0.10
 -------- 12:00 0.17 0.16 1.49 0.06
 10.05.13 13:00 0.17 0.16 1.50 0.06
 -------- 14:00 0.15 0.14 1.47 0.05
 -------- 15:00 0.17 0.16 1.48 0.07
 -------- 16:00 0.16 0.13 1.46 0.05
 -------- 17:00 0.16 0.13 1.45 0.04
 10.05.13 18:00 0.17 0.14 1.47 0.05
 -------- 19:00 0.17 0.15 1.48 0.04
 -------- 20:00 0.19 0.20 1.53 0.06
 -------- 21:00 0.22 0.24 1.59 0.07
 -------- 22:00 0.25 0.28 1.64 0.08
 10.05.13 23:00 0.21 0.23 1.58 0.05
 -------- 00:00 0.18 0.19 1.54 0.02
 -------- 01:00 0.17 0.16 1.49 0.01
 -------- 02:00 0.15 0.14 1.45 0.01
 -------- 03:00 0.15 0.13 1.44 0.01
 11.05.13 04:00 0.17 0.17 1.50 0.02
 -------- 05:00 0.29 0.28 1.71 0.23
 -------- 06:00 0.41 0.38 1.81 0.46
 -------- 07:00 0.45 0.37 1.95 0.39
 -------- 08:00 0.33 0.31 1.72 0.22
 11.05.13 09:00 0.28 0.27 1.59 0.14
 -------- 10:00 0.24 0.23 1.57 0.10
 -------- 11:00 0.23 0.23 1.61 0.09
