 Date Time CO NO2 CHX NO
 16.04.13 12:00 0.20 0.29 1.58 0.10
 -------- 13:00 0.23 0.30 1.63 0.17
 -------- 14:00 0.17 0.24 1.50 0.10
 -------- 15:00 0.15 0.20 1.49 0.06
 -------- 16:00 0.15 0.16 1.47 0.04
 16.04.13 17:00 0.15 0.16 1.46 0.04
 -------- 18:00 0.14 0.13 1.45 0.03
 -------- 19:00 0.15 0.15 1.47 0.02
 -------- 20:00 0.15 0.17 1.51 0.01
 -------- 21:00 0.16 0.27 1.54 0.01
 16.04.13 22:00 0.18 0.36 1.75 0.03
 -------- 23:00 0.20 0.42 1.76 0.03
 -------- 00:00 0.19 0.44 1.88 0.04
 -------- 01:00 0.20 0.44 1.80 0.06
 -------- 02:00 0.36 0.48 2.14 0.71
 17.04.13 03:00 0.20 0.43 2.01 0.09
 -------- 04:00 0.23 0.42 1.92 0.16
 -------- 05:00 0.46 0.49 2.87 1.10
 -------- 06:00 0.65 0.49 2.37 1.24
 -------- 07:00 0.96 0.55 2.86 1.64
 17.04.13 08:00 0.82 0.52 2.51 1.11
 -------- 09:00 0.51 0.44 2.10 0.50
 -------- 10:00 0.25 0.32 1.66 0.17
 -------- 11:00 0.17 0.25 1.56 0.10
 -------- 12:00 0.15 0.20 1.53 0.07
 17.04.13 13:00 0.17 0.25 1.55 0.10
 -------- 14:00 0.17 0.25 1.56 0.12
 -------- 15:00 0.16 0.20 1.46 0.08
 -------- 16:00 0.17 0.23 1.52 0.09
 -------- 17:00 0.17 0.23 1.50 0.10
 17.04.13 18:00 0.23 0.24 1.64 0.10
 -------- 19:00 0.27 0.33 1.67 0.17
 -------- 20:00 0.31 0.41 1.71 0.23
 -------- 21:00 0.35 0.45 1.76 0.30
 -------- 22:00 0.51 0.56 2.03 0.78
 17.04.13 23:00 0.20 0.32 1.61 0.10
 -------- 00:00 0.15 0.25 1.54 0.06
 -------- 01:00 0.16 0.30 1.58 0.09
 -------- 02:00 0.15 0.41 1.66 0.09
 -------- 03:00 0.14 0.40 1.60 0.07
 18.04.13 04:00 0.15 0.36 1.58 0.09
 -------- 05:00 0.19 0.35 1.76 0.18
 -------- 06:00 0.29 0.33 1.69 0.19
 -------- 07:00 0.35 0.38 1.74 0.22
 -------- 08:00 0.33 0.36 1.80 0.17
 18.04.13 09:00 0.19 0.25 1.57 0.07
 -------- 10:00 0.18 0.24 1.53 0.08
 -------- 11:00 0.18 0.24 1.51 0.08
