 Date Time CO SO2 H2S NO2 CHX NO
 24.09.12 12:00 0.13 ---- ---- 0.12 1.53 0.26
 -------- 13:00 0.11 ---- ---- 0.12 1.51 0.24
 -------- 14:00 0.13 ---- ---- 0.13 1.51 0.24
 -------- 15:00 0.11 ---- ---- 0.13 1.53 0.23
 -------- 16:00 0.11 ---- ---- 0.12 1.56 0.23
 24.09.12 17:00 0.13 ---- ---- 0.12 1.53 0.20
 -------- 18:00 0.13 ---- ---- 0.12 1.55 0.21
 -------- 19:00 0.17 ---- ---- 0.12 1.54 0.23
 -------- 20:00 0.15 ---- ---- 0.11 1.49 0.20
 -------- 21:00 0.21 ---- ---- 0.12 1.55 0.25
 24.09.12 22:00 0.13 ---- ---- 0.09 1.46 0.16
 -------- 23:00 0.08 ---- ---- 0.09 1.40 0.12
 -------- 00:00 0.07 ---- ---- 0.07 1.42 0.08
 -------- 01:00 0.05 ---- ---- 0.06 1.39 0.03
 -------- 02:00 0.04 ---- ---- 0.05 1.39 0.04
 25.09.12 03:00 0.04 ---- ---- 0.04 1.39 0.02
 -------- 04:00 0.04 ---- ---- 0.04 1.40 0.03
 -------- 05:00 0.07 ---- ---- 0.06 1.45 0.06
 -------- 06:00 0.10 ---- ---- 0.09 1.45 0.11
 -------- 07:00 0.12 ---- ---- 0.10 1.44 0.13
 25.09.12 08:00 0.12 ---- ---- 0.09 1.44 0.10
 -------- 09:00 0.12 ---- ---- 0.10 1.46 0.12
 -------- 10:00 0.16 ---- ---- 0.09 1.48 0.15
 -------- 11:00 0.09 ---- ---- 0.08 1.43 0.11
 -------- 12:00 0.12 ---- ---- 0.09 1.46 0.14
 25.09.12 13:00 0.11 ---- ---- 0.09 1.44 0.10
 -------- 14:00 0.08 ---- ---- 0.05 1.43 0.07
 -------- 15:00 0.11 ---- ---- 0.12 1.44 0.11
 -------- 16:00 0.11 ---- ---- 0.12 1.45 0.10
 -------- 17:00 0.11 ---- ---- 0.14 1.45 0.10
 25.09.12 18:00 0.15 ---- ---- 0.14 1.50 0.14
 -------- 19:00 0.14 ---- ---- 0.16 1.51 0.14
 -------- 20:00 0.05 ---- ---- 0.13 1.46 0.08
 -------- 21:00 0.05 ---- ---- 0.14 1.47 0.07
 -------- 22:00 0.07 ---- ---- 0.15 1.48 0.11
 25.09.12 23:00 0.06 ---- ---- 0.14 1.46 0.10
 -------- 00:00 0.03 ---- ---- 0.10 1.44 0.05
 -------- 01:00 0.02 ---- ---- 0.07 1.41 0.03
 -------- 02:00 0.02 ---- ---- 0.09 1.49 0.04
 -------- 03:00 0.02 ---- ---- 0.10 1.49 0.05
 26.09.12 04:00 0.03 ---- ---- 0.10 1.47 0.06
 -------- 05:00 0.05 ---- ---- 0.11 1.51 0.11
 -------- 06:00 0.09 ---- ---- 0.10 1.54 0.15
 -------- 07:00 0.17 ---- ---- 0.12 1.60 0.30
 -------- 08:00 0.14 ---- ---- 0.11 1.55 0.24
 26.09.12 09:00 0.13 ---- ---- 0.11 1.51 0.25
 -------- 10:00 0.13 ---- ---- 0.11 1.53 0.23
 -------- 11:00 0.07 ---- ---- 0.12 1.51 0.18
