 Date Time CO SO2 H2S NO2 CHX NO
 01.10.12 23:00 0.12 ---- ---- 0.19 1.60 0.15
 -------- 00:00 0.15 ---- ---- 0.20 1.72 0.16
 -------- 01:00 0.13 ---- ---- 0.19 1.72 0.19
 -------- 02:00 0.10 ---- ---- 0.17 1.77 0.15
 -------- 03:00 0.10 ---- ---- 0.17 1.71 0.15
 02.10.12 04:00 0.16 ---- ---- 0.18 1.82 0.37
 -------- 05:00 0.22 ---- ---- 0.17 1.91 0.50
 -------- 06:00 0.43 ---- ---- 0.20 1.89 0.97
 -------- 07:00 0.44 ---- ---- 0.20 1.93 0.74
 -------- 08:00 0.52 ---- ---- 0.19 1.89 0.80
 02.10.12 09:00 0.55 ---- ---- 0.19 2.13 0.75
 -------- 10:00 0.27 ---- ---- 0.19 1.71 0.52
 -------- 11:00 0.23 ---- ---- 0.19 1.66 0.43
 -------- 12:00 0.17 ---- ---- 0.15 1.57 0.33
 -------- 13:00 0.13 ---- ---- 0.15 1.55 0.30
 02.10.12 14:00 0.11 ---- ---- 0.14 1.52 0.26
 -------- 15:00 0.12 ---- ---- 0.17 1.51 0.30
 -------- 16:00 0.11 ---- ---- 0.17 1.47 0.25
 -------- 17:00 0.17 ---- ---- 0.23 1.58 0.40
 -------- 18:00 0.11 ---- ---- 0.21 1.51 0.30
 02.10.12 19:00 0.11 ---- ---- 0.20 1.49 0.13
 -------- 20:00 0.14 ---- ---- 0.21 1.51 0.15
 -------- 21:00 0.12 ---- ---- 0.18 1.51 0.11
 -------- 22:00 0.09 ---- ---- 0.15 1.52 0.07
 -------- 23:00 0.10 ---- ---- 0.16 1.50 0.09
 03.10.12 00:00 0.10 ---- ---- 0.17 1.57 0.12
 -------- 01:00 0.07 ---- ---- 0.15 1.43 0.06
 -------- 02:00 0.07 ---- ---- 0.14 1.42 0.04
 -------- 03:00 0.06 ---- ---- 0.13 1.44 0.04
 -------- 04:00 0.07 ---- ---- 0.10 1.68 0.03
 03.10.12 05:00 0.08 ---- ---- 0.11 1.42 0.05
 -------- 06:00 0.10 ---- ---- 0.13 1.45 0.10
 -------- 07:00 0.14 ---- ---- 0.10 1.46 0.11
 -------- 08:00 0.13 ---- ---- 0.12 1.46 0.11
 -------- 09:00 0.13 ---- ---- 0.12 1.43 0.10
 03.10.12 10:00 0.13 ---- ---- 0.12 1.45 0.13
 -------- 11:00 0.19 ---- ---- 0.14 1.50 0.24
 -------- 12:00 0.19 ---- ---- 0.17 1.55 0.26
 -------- 13:00 0.23 ---- ---- 0.18 1.56 0.34
 -------- 14:00 0.13 ---- ---- 0.15 1.51 0.20
 03.10.12 15:00 0.12 ---- ---- 0.14 1.51 0.13
 -------- 16:00 0.13 ---- ---- 0.15 1.53 0.15
 -------- 17:00 0.08 ---- ---- 0.13 1.45 0.10
 -------- 18:00 0.19 ---- ---- 0.14 1.54 0.20
 -------- 19:00 0.19 ---- ---- 0.15 1.63 0.24
 03.10.12 20:00 0.14 ---- ---- 0.13 1.56 0.19
 -------- 21:00 0.16 ---- ---- 0.13 1.58 0.22
 -------- 22:00 0.12 ---- ---- 0.12 1.58 0.22
