 Date Time CO NO2 CHX NO
 23.01.13 00:00 0.04 0.15 1.62 0.14
 -------- 01:00 0.03 0.13 1.61 0.10
 -------- 02:00 0.05 0.14 1.64 0.11
 -------- 03:00 0.03 0.14 1.64 0.11
 -------- 04:00 0.03 0.14 1.73 0.10
 23.01.13 05:00 0.03 0.13 1.79 0.10
 -------- 06:00 0.05 0.13 1.62 0.12
 -------- 07:00 0.08 0.14 1.72 0.17
 -------- 08:00 0.08 0.16 1.72 0.21
 -------- 09:00 0.22 0.22 2.13 0.53
 23.01.13 10:00 0.27 0.23 2.17 0.69
 -------- 11:00 0.31 0.22 1.99 0.67
 -------- 12:00 0.19 0.16 1.78 0.44
 -------- 13:00 0.09 0.12 1.68 0.25
 -------- 14:00 0.21 0.16 1.95 0.31
 23.01.13 15:00 0.08 0.14 1.80 0.22
 -------- 16:00 0.17 0.15 1.88 0.27
 -------- 17:00 0.22 0.18 2.08 0.33
 -------- 18:00 0.18 0.21 1.80 0.35
 -------- 19:00 0.11 0.22 1.78 0.40
 23.01.13 20:00 0.05 0.19 1.71 0.25
 -------- 21:00 0.11 0.17 1.74 0.21
 -------- 22:00 0.05 0.16 2.76 0.12
 -------- 23:00 ---- 0.11 5.46 0.06
 -------- 00:00 0.05 0.15 3.32 0.22
 24.01.13 01:00 0.08 0.18 2.36 0.37
 -------- 02:00 0.09 0.19 1.94 0.45
 -------- 03:00 0.13 0.23 1.96 0.68
 -------- 04:00 0.07 0.21 1.93 0.58
 -------- 05:00 0.07 0.18 2.06 0.44
 24.01.13 06:00 0.11 0.18 1.93 0.50
 -------- 07:00 0.12 0.17 2.09 0.43
 -------- 08:00 0.22 0.21 2.13 0.49
 -------- 09:00 0.25 0.25 2.24 0.70
 -------- 10:00 0.25 0.18 2.40 0.42
 24.01.13 11:00 0.16 0.19 2.96 0.44
 -------- 12:00 0.09 0.18 1.96 0.43
 -------- 13:00 0.08 0.17 1.75 0.39
 -------- 14:00 0.08 0.17 1.70 0.46
 -------- 15:00 0.03 0.15 1.65 0.36
 24.01.13 16:00 0.05 0.15 1.73 0.36
 -------- 17:00 0.02 0.16 1.68 0.24
 -------- 18:00 0.03 0.11 1.67 0.13
 -------- 19:00 0.05 0.09 1.56 0.12
 -------- 20:00 0.03 0.06 1.51 0.09
 24.01.13 21:00 0.03 0.10 1.63 0.10
 -------- 22:00 0.02 0.09 1.59 0.09
 -------- 23:00 0.02 0.06 1.53 0.08
