 Date Time CO NO2 CHX NO
 16.02.13 12:00 0.12 ---- 1.82 ----
 -------- 13:00 0.15 ---- 1.91 ----
 -------- 14:00 0.18 ---- 2.00 ----
 -------- 15:00 0.25 ---- 2.21 ----
 -------- 16:00 0.23 ---- 2.04 ----
 16.02.13 17:00 0.20 ---- 1.91 ----
 -------- 18:00 0.11 ---- 1.71 ----
 -------- 19:00 0.07 ---- 1.60 ----
 -------- 20:00 0.07 ---- 1.59 ----
 -------- 21:00 0.05 ---- 1.58 ----
 16.02.13 22:00 0.05 ---- 1.54 ----
 -------- 23:00 0.03 ---- 1.53 ----
 -------- 00:00 0.02 ---- 1.52 ----
 -------- 01:00 0.02 ---- 1.52 ----
 -------- 02:00 0.02 ---- 1.55 ----
 17.02.13 03:00 0.02 ---- 1.57 ----
 -------- 04:00 0.02 ---- 1.59 ----
 -------- 05:00 0.04 ---- 1.62 ----
 -------- 06:00 0.05 ---- 1.57 ----
 -------- 07:00 0.09 ---- 1.54 ----
 17.02.13 08:00 0.09 ---- 1.63 ----
 -------- 09:00 0.19 ---- 1.66 ----
 -------- 10:00 0.13 ---- 1.61 ----
 -------- 11:00 0.19 ---- 1.67 ----
 -------- 12:00 0.13 ---- 1.75 ----
 17.02.13 13:00 0.19 ---- 1.63 ----
 -------- 14:00 0.14 ---- 1.59 ----
 -------- 15:00 0.14 ---- 1.66 ----
 -------- 16:00 0.18 ---- 1.74 ----
 -------- 17:00 0.16 ---- 1.73 ----
 17.02.13 18:00 0.17 ---- 1.77 ----
 -------- 19:00 0.16 ---- 1.75 ----
 -------- 20:00 0.13 ---- 1.69 ----
 -------- 21:00 0.12 ---- 1.61 ----
 -------- 22:00 0.10 ---- 1.52 ----
 17.02.13 23:00 0.12 ---- 1.52 ----
 -------- 00:00 0.10 ---- 1.49 ----
 -------- 01:00 0.12 ---- 1.53 ----
 -------- 02:00 0.11 ---- 1.52 ----
 -------- 03:00 0.08 ---- 1.52 ----
 18.02.13 04:00 0.09 ---- 1.54 ----
 -------- 05:00 0.11 ---- 1.56 ----
 -------- 06:00 0.15 ---- 1.58 ----
 -------- 07:00 0.21 ---- 1.74 ----
 -------- 08:00 0.09 ---- 1.67 ----
 18.02.13 09:00 0.11 ---- 1.60 ----
 -------- 10:00 0.17 ---- 1.62 ----
 -------- 11:00 0.13 ---- 1.68 ----
