 Date Time CO CHX
 -------- 1.73 01:00 0.13
 -------- 1.79 02:00 0.11
 -------- 1.72 03:00 0.09
 -------- 1.77 04:00 0.18
 16.02.13 05:00 <b>16.02.1305:00</b> 0.21
 -------- 1.96 06:00 0.43
 -------- 2.26 07:00 0.38
 -------- 2.13 08:00 0.21
 -------- 2.06 09:00 0.17
 16.02.13 10:00 <b>16.02.1310:00</b> 0.24
 -------- 1.82 11:00 0.14
 -------- 1.76 12:00 0.12
 -------- 1.81 13:00 0.15
 -------- 1.91 14:00 0.18
 16.02.13 15:00 <b>16.02.1315:00</b> 0.25
 -------- 2.21 16:00 0.23
 -------- 2.04 17:00 0.20
 -------- 1.91 18:00 0.11
 -------- 1.71 19:00 0.07
 16.02.13 20:00 <b>16.02.1320:00</b> 0.07
 -------- 1.59 21:00 0.05
 -------- 1.58 22:00 0.05
 -------- 1.54 23:00 0.03
 -------- 1.53 00:00 0.02
 17.02.13 01:00 <b>17.02.1301:00</b> 0.02
 -------- 1.52 02:00 0.02
 -------- 1.55 03:00 0.02
 -------- 1.57 04:00 0.02
 -------- 1.59 05:00 0.04
 17.02.13 06:00 <b>17.02.1306:00</b> 0.05
 -------- 1.57 07:00 0.09
 -------- 1.54 08:00 0.09
 -------- 1.63 09:00 0.19
 -------- 1.66 10:00 0.13
 17.02.13 11:00 <b>17.02.1311:00</b> 0.19
 -------- 1.67 12:00 0.13
 -------- 1.75 13:00 0.19
 -------- 1.63 14:00 0.14
 -------- 1.59 15:00 0.14
 17.02.13 16:00 <b>17.02.1316:00</b> 0.18
 -------- 1.74 17:00 0.16
 -------- 1.73 18:00 0.17
 -------- 1.77 19:00 0.16
 -------- 1.75 20:00 0.13
 17.02.13 21:00 <b>17.02.1321:00</b> 0.12
 -------- 1.61 22:00 0.10
 -------- 1.52 23:00 0.13
