 Date Time CO NO2 NO
 27.11.12 00:00 0.08 0.02 0.14
 -------- 01:00 0.06 0.02 0.12
 -------- 02:00 0.05 0.03 0.11
 -------- 03:00 0.05 0.02 0.07
 -------- 04:00 0.05 0.02 0.07
 27.11.12 05:00 0.07 0.02 0.09
 -------- 06:00 0.11 0.02 0.11
 -------- 07:00 0.17 0.05 0.17
 -------- 08:00 0.17 0.06 0.22
 -------- 09:00 0.15 0.05 0.20
 27.11.12 10:00 0.17 0.05 0.26
 -------- 11:00 0.15 0.04 0.20
 -------- 12:00 0.16 0.05 0.24
 -------- 13:00 0.15 0.05 0.21
 -------- 14:00 0.13 0.05 0.17
 27.11.12 15:00 0.14 0.06 0.17
 -------- 16:00 0.13 0.05 0.15
 -------- 17:00 0.16 0.05 0.19
 -------- 18:00 0.13 0.05 0.13
 -------- 19:00 0.11 0.06 0.11
 27.11.12 20:00 0.10 0.07 0.11
 -------- 21:00 0.12 0.07 0.14
 -------- 22:00 0.11 0.07 0.15
 -------- 23:00 0.09 0.06 0.12
 -------- 00:00 0.09 0.06 0.11
 28.11.12 01:00 0.10 0.06 0.12
 -------- 02:00 0.10 0.06 0.14
 -------- 03:00 0.09 0.06 0.16
 -------- 04:00 0.11 0.06 0.17
 -------- 05:00 0.17 0.07 0.31
 28.11.12 06:00 0.29 0.08 0.47
 -------- 07:00 0.30 0.08 0.48
 -------- 08:00 0.24 0.05 0.28
 -------- 09:00 0.15 0.05 0.26
 -------- 10:00 0.17 0.05 0.26
 28.11.12 11:00 0.15 0.05 0.24
 -------- 12:00 0.15 0.05 0.17
 -------- 13:00 0.07 0.05 0.13
