 Date Time CO NO2 CHX NO
 20.11.12 00:00 0.05 0.01 1.37 0.14
 -------- 01:00 0.04 0.01 1.36 0.10
 -------- 02:00 0.03 ---- 1.29 0.09
 -------- 03:00 0.04 ---- 1.29 0.09
 -------- 04:00 0.04 ---- 1.28 0.07
 20.11.12 05:00 0.05 ---- 1.30 0.09
 -------- 06:00 0.08 0.01 1.33 0.14
 -------- 07:00 0.13 0.01 1.62 0.15
 -------- 08:00 0.13 0.02 1.50 0.20
 -------- 09:00 0.14 0.02 1.53 0.24
 20.11.12 10:00 0.19 0.04 1.60 0.34
 -------- 11:00 0.15 0.04 1.64 0.30
 -------- 12:00 0.22 0.04 1.63 0.47
 -------- 13:00 0.23 0.05 1.65 0.48
 -------- 14:00 0.22 0.06 1.61 0.45
 20.11.12 15:00 0.27 0.07 1.67 0.46
 -------- 16:00 0.23 0.07 1.63 0.40
 -------- 17:00 0.25 0.08 1.67 0.43
 -------- 18:00 0.22 0.09 1.67 0.35
 -------- 19:00 0.25 0.10 1.75 0.33
 20.11.12 20:00 0.15 0.10 1.74 0.23
 -------- 21:00 0.09 0.07 1.68 0.15
 -------- 22:00 0.08 0.07 1.51 0.15
 -------- 23:00 0.07 0.05 1.66 0.11
 -------- 00:00 0.05 0.01 2.47 0.09
 21.11.12 01:00 0.05 0.02 1.75 0.09
 -------- 02:00 0.04 0.02 1.44 0.07
 -------- 03:00 0.04 0.01 1.44 0.06
 -------- 04:00 0.05 0.02 1.44 0.07
 -------- 05:00 0.05 0.01 1.43 0.07
 21.11.12 06:00 0.10 0.07 1.48 0.15
 -------- 07:00 0.21 0.10 1.63 0.33
 -------- 08:00 0.23 0.10 1.62 0.34
 -------- 09:00 0.23 0.14 1.70 0.47
 -------- 10:00 0.24 0.13 1.69 0.50
 21.11.12 11:00 0.16 0.10 1.64 0.42
 -------- 12:00 0.18 0.10 1.66 0.43
 -------- 13:00 0.09 0.08 1.54 0.22
 -------- 14:00 0.06 0.07 1.49 0.17
 -------- 15:00 0.13 0.07 1.34 0.17
 21.11.12 16:00 0.09 0.07 ---- 0.14
 -------- 17:00 0.12 0.09 ---- 0.20
 -------- 18:00 0.17 0.10 ---- 0.27
 -------- 19:00 0.21 0.10 ---- 0.33
 -------- 20:00 0.13 0.09 ---- 0.26
 21.11.12 21:00 0.11 0.09 ---- 0.23
 -------- 22:00 0.10 0.09 ---- 0.21
 -------- 23:00 0.10 0.09 ---- 0.19
