 Date Time CO CHX
 -------- 1.41 01:00 0.04
 -------- 1.43 02:00 0.04
 -------- 1.47 03:00 0.04
 -------- 1.40 04:00 0.02
 05.11.12 05:00 <b>05.11.1205:00</b> 0.03
 -------- 1.38 06:00 0.07
 -------- 1.43 07:00 0.08
 -------- 1.47 08:00 0.06
 -------- 1.47 09:00 0.12
 05.11.12 10:00 <b>05.11.1210:00</b> 0.29
 -------- 1.80 11:00 0.09
 -------- 1.53 12:00 0.07
 -------- 1.53 13:00 0.05
 -------- 1.45 14:00 0.13
 05.11.12 15:00 <b>05.11.1215:00</b> 0.07
 -------- 1.46 16:00 0.05
 -------- 1.44 17:00 0.05
 -------- 1.44 18:00 0.06
 -------- 1.49 19:00 0.05
 05.11.12 20:00 <b>05.11.1220:00</b> 0.05
 -------- 1.44 21:00 0.03
 -------- 1.45 22:00 0.02
 -------- 1.41 23:00 0.02
 -------- 1.39 00:00 ----
 06.11.12 01:00 <b>06.11.1201:00</b> 0.02
 -------- 1.38 02:00 ----
 -------- 1.35 03:00 ----
 -------- 1.38 04:00 ----
 -------- 1.38 05:00 0.02
 06.11.12 06:00 <b>06.11.1206:00</b> 0.02
 -------- 1.37 07:00 0.05
 -------- 1.38 08:00 0.06
 -------- 1.42 09:00 0.07
 -------- 1.42 10:00 0.06
 06.11.12 11:00 <b>06.11.1211:00</b> 0.07
 -------- 1.42 12:00 0.07
 -------- 1.41 13:00 0.06
 -------- 1.40 14:00 0.06
 -------- 1.41 15:00 0.12
 06.11.12 16:00 <b>06.11.1216:00</b> 0.08
 -------- 1.44 17:00 0.07
 -------- 1.40 18:00 0.07
 -------- 1.44 19:00 0.11
 -------- 2.33 20:00 0.07
 06.11.12 21:00 <b>06.11.1221:00</b> 0.06
 -------- 1.50 22:00 0.07
 -------- 1.53 23:00 0.06
