 Date Time CO NO2 CHX NO
 09.02.13 12:00 0.12 0.03 1.50 0.11
 -------- 13:00 0.15 0.04 1.50 0.11
 -------- 14:00 0.20 0.02 1.53 0.11
 -------- 15:00 0.12 ---- 1.48 0.09
 -------- 16:00 0.09 ---- 1.46 0.10
 09.02.13 17:00 0.11 ---- 1.46 0.09
 -------- 18:00 0.08 ---- 1.45 0.08
 -------- 19:00 0.05 ---- 1.46 0.07
 -------- 20:00 0.10 ---- 1.48 0.08
 -------- 21:00 0.03 ---- 1.43 0.08
 09.02.13 22:00 0.02 ---- 1.42 0.07
 -------- 23:00 0.03 ---- 1.42 0.07
 -------- 00:00 0.02 ---- 1.41 0.07
 -------- 01:00 ---- ---- 1.40 0.07
 -------- 02:00 ---- ---- 1.40 0.07
 10.02.13 03:00 ---- ---- 1.40 0.07
 -------- 04:00 ---- ---- 1.40 0.07
 -------- 05:00 0.02 ---- 1.41 0.07
 -------- 06:00 0.03 ---- 1.43 0.07
 -------- 07:00 0.05 ---- 1.44 0.07
 10.02.13 08:00 0.04 ---- 1.43 0.07
 -------- 09:00 0.05 ---- 1.44 0.07
 -------- 10:00 0.05 ---- 1.44 0.08
 -------- 11:00 0.05 ---- 1.45 0.08
 -------- 12:00 0.12 ---- 1.47 0.10
 10.02.13 13:00 0.07 ---- 1.46 0.10
 -------- 14:00 0.09 ---- 1.48 0.12
 -------- 15:00 0.06 ---- 1.48 0.11
 -------- 16:00 0.09 ---- 1.49 0.11
 -------- 17:00 0.07 ---- 1.48 0.10
 10.02.13 18:00 0.08 0.01 1.49 0.12
 -------- 19:00 0.08 0.01 1.48 0.10
 -------- 20:00 0.08 ---- 1.46 0.09
 -------- 21:00 0.08 ---- 1.46 0.10
 -------- 22:00 0.09 ---- 1.46 0.10
 10.02.13 23:00 0.11 0.03 1.53 0.16
 -------- 00:00 0.11 0.05 1.60 0.24
 -------- 01:00 0.08 0.04 1.54 0.21
 -------- 02:00 0.07 0.04 1.57 0.17
 -------- 03:00 0.07 0.03 1.47 0.09
 11.02.13 04:00 0.10 0.03 1.51 0.12
 -------- 05:00 0.11 0.07 1.56 0.17
 -------- 06:00 0.13 0.04 1.51 0.12
 -------- 07:00 0.19 0.06 1.59 0.23
 -------- 08:00 0.23 0.06 1.67 0.19
 11.02.13 09:00 0.09 0.04 1.53 0.16
 -------- 10:00 0.13 0.06 1.60 0.29
 -------- 11:00 0.11 0.06 1.70 0.39
