 Date Time CO CHX
 -------- 1.52 13:00 0.05
 -------- 1.45 14:00 0.13
 -------- 1.54 15:00 0.07
 -------- 1.46 16:00 0.05
 05.11.12 17:00 <b>05.11.1217:00</b> 0.05
 -------- 1.44 18:00 0.06
 -------- 1.49 19:00 0.05
 -------- 1.45 20:00 0.05
 -------- 1.44 21:00 0.03
 05.11.12 22:00 <b>05.11.1222:00</b> 0.02
 -------- 1.41 23:00 0.02
 -------- 1.39 00:00 ----
 -------- 1.39 01:00 0.02
 -------- 1.38 02:00 ----
 06.11.12 03:00 <b>06.11.1203:00</b> ----
 -------- 1.38 04:00 ----
 -------- 1.38 05:00 0.02
 -------- 1.38 06:00 0.02
 -------- 1.37 07:00 0.05
 06.11.12 08:00 <b>06.11.1208:00</b> 0.06
 -------- 1.42 09:00 0.07
 -------- 1.42 10:00 0.06
 -------- 1.42 11:00 0.07
 -------- 1.42 12:00 0.07
 06.11.12 13:00 <b>06.11.1213:00</b> 0.06
 -------- 1.40 14:00 0.06
 -------- 1.41 15:00 0.12
 -------- 1.56 16:00 0.08
 -------- 1.44 17:00 0.07
 06.11.12 18:00 <b>06.11.1218:00</b> 0.07
 -------- 1.44 19:00 0.11
 -------- 2.33 20:00 0.07
 -------- 1.57 21:00 0.06
 -------- 1.50 22:00 0.07
 06.11.12 23:00 <b>06.11.1223:00</b> 0.06
 -------- 1.52 00:00 0.05
 -------- 1.55 01:00 0.05
 -------- 1.49 02:00 0.04
 -------- 1.42 03:00 0.04
 07.11.12 04:00 <b>07.11.1204:00</b> 0.04
 -------- 1.39 05:00 0.05
 -------- 1.45 06:00 0.09
 -------- 1.54 07:00 0.10
 -------- 1.56 08:00 0.12
 07.11.12 09:00 <b>07.11.1209:00</b> 0.15
 -------- 1.80 10:00 0.09
 -------- 1.54 11:00 0.09
