 Date Time CO SO2 H2S NO2 CHX NO
 11.10.12 00:00 0.05 0.01 0.12 0.15 1.33 0.07
 -------- 01:00 0.03 0.01 0.12 0.10 1.31 0.03
 -------- 02:00 0.04 0.01 0.19 0.07 1.30 0.01
 -------- 03:00 0.04 0.02 0.21 0.07 1.30 0.02
 -------- 04:00 0.02 0.02 0.29 0.07 1.30 0.02
 11.10.12 05:00 0.03 0.03 0.12 0.08 1.31 0.02
 -------- 06:00 0.04 0.02 0.12 0.08 1.31 0.03
 -------- 07:00 0.07 0.02 0.38 0.10 1.33 0.05
 -------- 08:00 0.09 0.01 0.12 0.10 1.36 0.05
 -------- 09:00 0.09 0.01 0.29 0.10 1.36 0.06
 11.10.12 10:00 0.07 0.01 0.25 0.11 1.35 0.07
 -------- 11:00 0.05 0.02 0.12 0.11 1.35 0.07
 -------- 12:00 0.05 0.01 0.12 0.12 1.34 0.07
 -------- 13:00 0.04 0.02 0.25 0.11 1.34 0.07
 -------- 14:00 0.03 0.01 0.25 0.10 1.35 0.07
 11.10.12 15:00 0.02 0.01 0.46 0.09 1.34 0.06
 -------- 16:00 0.03 0.02 0.38 0.12 1.34 0.06
 -------- 17:00 0.03 0.03 0.38 0.13 1.34 0.05
 -------- 18:00 0.06 0.02 0.19 0.19 1.38 0.08
 -------- 19:00 0.11 0.02 0.42 0.20 1.45 0.15
 11.10.12 20:00 0.05 0.02 0.38 0.17 1.42 0.09
 -------- 21:00 0.08 0.02 0.12 0.17 1.48 0.11
 -------- 22:00 0.05 0.02 0.25 0.15 1.41 0.10
 -------- 23:00 0.05 0.02 0.12 0.15 1.41 0.14
 -------- 00:00 0.06 0.01 0.38 0.15 1.44 0.16
 12.10.12 01:00 0.05 0.01 0.62 0.14 1.44 0.15
 -------- 02:00 0.05 0.01 0.38 0.15 1.46 0.19
 -------- 03:00 0.03 0.01 0.25 0.15 1.46 0.18
 -------- 04:00 0.03 0.01 0.21 0.15 1.43 0.15
 -------- 05:00 0.05 0.02 0.83 0.13 1.57 0.20
 12.10.12 06:00 0.15 0.01 0.46 0.18 1.62 0.37
 -------- 07:00 0.27 0.02 0.79 0.19 1.76 0.56
 -------- 08:00 0.21 0.02 0.38 0.15 1.66 0.35
 -------- 09:00 0.39 0.03 0.75 0.25 1.92 0.67
 -------- 10:00 0.52 0.03 0.79 0.31 2.09 0.84
 12.10.12 11:00 0.38 0.03 0.38 0.30 2.72 0.65
 -------- 12:00 0.04 0.02 0.31 0.20 1.69 0.12
 -------- 13:00 0.02 0.03 0.21 0.19 1.54 0.12
 -------- 14:00 ---- 0.02 0.29 0.15 1.48 0.07
 -------- 15:00 ---- 0.02 0.25 0.12 1.42 0.04
 12.10.12 16:00 ---- 0.01 0.38 0.16 1.53 0.06
 -------- 17:00 ---- 0.01 ---- 0.18 1.43 0.09
 -------- 18:00 0.02 0.01 0.19 0.19 1.45 0.13
 -------- 19:00 0.02 0.02 0.17 0.19 1.49 0.10
 -------- 20:00 0.02 0.01 0.17 0.17 1.56 0.05
 12.10.12 21:00 ---- 0.05 0.62 0.13 1.48 0.02
 -------- 22:00 ---- 0.13 1.58 0.13 1.41 0.01
 -------- 23:00 ---- 0.29 2.21 0.10 1.36 0.01
