 Date Time CO SO2 H2S NO2 CHX NO
 26.02.13 12:00 0.02 0.00 0.12 0.33 1.53 0.08
 -------- 13:00 ---- 0.01 0.12 0.29 1.53 0.06
 -------- 14:00 ---- 0.00 0.12 0.23 1.53 0.03
 -------- 15:00 ---- 0.00 0.12 0.15 1.46 0.02
 -------- 16:00 ---- 0.00 ---- 0.12 1.41 0.01
 26.02.13 17:00 ---- 0.00 0.12 0.14 1.43 0.01
 -------- 18:00 ---- 0.00 0.12 0.17 1.41 0.01
 -------- 19:00 ---- 0.00 0.12 0.23 1.42 0.01
 -------- 20:00 ---- 0.01 0.12 0.23 1.41 0.01
 -------- 21:00 ---- 0.00 0.12 0.18 1.38 0.01
 26.02.13 22:00 ---- 0.00 ---- 0.17 1.39 0.01
 -------- 23:00 ---- 0.00 0.12 0.15 1.38 0.00
 -------- 00:00 ---- 0.00 0.12 0.13 1.38 0.01
 -------- 01:00 ---- ---- 0.17 0.11 1.38 0.01
 -------- 02:00 ---- ---- 0.12 0.08 1.38 0.00
 27.02.13 03:00 ---- ---- 0.12 0.07 1.38 0.00
 -------- 04:00 ---- ---- 0.19 0.07 1.39 0.00
 -------- 05:00 ---- ---- 0.21 0.05 1.42 0.00
 -------- 06:00 ---- ---- 0.17 0.06 1.39 0.00
 -------- 07:00 ---- 0.00 0.25 0.10 1.41 0.00
 27.02.13 08:00 0.04 0.00 0.38 0.12 1.41 0.01
 -------- 09:00 0.04 ---- 0.25 0.13 1.42 0.01
 -------- 10:00 0.05 ---- 0.12 0.17 1.46 0.01
 -------- 11:00 0.05 0.00 0.25 0.18 1.46 0.02
 -------- 12:00 0.05 ---- 0.21 0.17 1.49 0.02
 27.02.13 13:00 0.05 ---- 0.17 0.15 1.48 0.02
 -------- 14:00 0.03 ---- 0.17 0.12 1.42 0.01
 -------- 15:00 0.04 ---- 0.12 0.14 1.43 0.02
 -------- 16:00 0.05 ---- 0.12 0.19 1.46 0.01
 -------- 17:00 0.03 ---- 0.21 0.12 1.41 0.01
 27.02.13 18:00 0.04 0.00 0.29 0.13 1.41 0.01
 -------- 19:00 0.04 ---- 0.25 0.16 1.43 0.01
 -------- 20:00 0.03 0.00 0.33 0.22 1.44 0.01
 -------- 21:00 0.05 ---- 0.29 0.25 1.47 0.01
 -------- 22:00 0.07 0.00 0.29 0.26 1.51 0.10
 27.02.13 23:00 0.14 0.01 0.33 0.37 1.73 0.35
 -------- 00:00 0.09 0.01 0.17 0.36 1.69 0.17
 -------- 01:00 0.05 0.00 0.12 0.26 1.50 0.05
 -------- 02:00 0.05 0.00 0.12 0.25 1.52 0.06
 -------- 03:00 0.03 ---- ---- 0.22 1.47 0.05
 28.02.13 04:00 0.02 ---- ---- 0.17 1.42 0.02
 -------- 05:00 0.02 ---- ---- 0.14 1.40 0.01
 -------- 06:00 0.02 0.00 ---- 0.09 1.37 0.01
 -------- 07:00 ---- 0.00 0.19 0.08 1.37 0.00
 -------- 08:00 ---- 0.00 ---- 0.09 1.37 0.01
 28.02.13 09:00 0.02 ---- ---- 0.09 1.40 0.01
 -------- 10:00 ---- 0.00 ---- 0.11 1.38 0.01
 -------- 11:00 0.04 0.00 0.12 0.07 1.40 0.01
