 Date Time CO SO2 H2S NO2 NO
 25.10.12 12:00 0.05 0.01 0.12 0.15 0.07
 -------- 13:00 0.05 0.01 ---- 0.15 0.07
 -------- 14:00 0.05 0.01 0.25 0.13 0.05
 -------- 15:00 0.05 0.01 0.12 0.13 0.05
 -------- 16:00 0.06 0.01 0.25 0.13 0.05
 25.10.12 17:00 0.06 0.02 0.21 0.13 0.04
 -------- 18:00 0.06 0.01 0.25 0.11 0.03
 -------- 19:00 0.06 0.01 0.29 0.12 0.03
 -------- 20:00 0.06 0.01 0.25 0.10 0.02
 -------- 21:00 0.05 0.03 0.71 0.09 0.02
 25.10.12 22:00 0.04 0.02 0.44 0.07 0.02
 -------- 23:00 0.02 0.00 ---- 0.06 0.01
 -------- 00:00 0.02 0.02 0.38 0.06 0.01
 -------- 01:00 0.02 0.02 0.42 0.04 0.01
 -------- 02:00 ---- 0.02 0.42 0.04 0.01
 26.10.12 03:00 ---- 0.01 0.12 0.04 0.01
 -------- 04:00 ---- 0.01 0.12 0.04 0.01
 -------- 05:00 0.02 0.01 0.71 0.05 0.02
 -------- 06:00 0.02 0.00 0.19 0.07 0.03
 -------- 07:00 0.02 0.01 0.67 0.07 0.02
 26.10.12 08:00 0.05 0.01 0.58 0.07 0.02
 -------- 09:00 0.06 0.01 0.12 0.10 0.03
 -------- 10:00 0.09 0.01 0.25 0.16 0.07
 -------- 11:00 0.08 0.02 0.58 0.14 0.06
 -------- 12:00 0.07 0.02 0.46 0.12 0.04
 26.10.12 13:00 0.07 0.02 0.50 0.08 0.02
 -------- 14:00 0.08 0.01 0.33 0.07 0.01
 -------- 15:00 0.07 0.01 0.12 0.04 0.01
 -------- 16:00 0.06 0.01 0.50 0.05 0.01
 -------- 17:00 0.07 0.01 0.17 0.05 0.01
 26.10.12 18:00 0.06 0.02 0.38 0.08 0.01
 -------- 19:00 0.06 0.03 0.29 0.10 0.01
 -------- 20:00 0.05 0.02 0.25 0.13 0.01
 -------- 21:00 0.04 0.02 0.50 0.18 0.03
 -------- 22:00 0.03 0.01 0.31 0.12 0.02
 26.10.12 23:00 0.02 0.02 0.12 0.07 0.01
 -------- 00:00 0.02 0.01 0.12 0.02 0.01
 -------- 01:00 ---- 0.01 0.19 0.01 0.00
 -------- 02:00 ---- 0.01 0.19 0.05 0.01
 -------- 03:00 ---- 0.03 0.62 0.06 0.01
 27.10.12 04:00 ---- 0.02 0.38 0.03 0.00
 -------- 05:00 0.02 0.01 0.50 0.07 0.01
 -------- 06:00 ---- 0.01 0.25 0.08 0.01
 -------- 07:00 0.02 0.01 0.17 0.08 0.01
 -------- 08:00 0.02 0.01 0.25 0.13 0.02
 27.10.12 09:00 0.02 0.01 0.58 0.11 0.03
 -------- 10:00 0.02 0.01 0.50 0.10 0.04
 -------- 11:00 0.02 0.01 0.21 0.07 0.03
