 Date Time CO SO2 H2S NO2 NO
 27.09.12 12:00 0.04 0.03 0.38 0.14 0.05
 -------- 13:00 ---- 0.03 ---- 0.14 0.06
 -------- 14:00 0.02 0.02 0.17 0.18 0.07
 -------- 15:00 ---- 0.02 0.12 0.19 0.06
 -------- 16:00 ---- 0.01 0.31 0.18 0.06
 27.09.12 17:00 0.02 0.02 0.62 0.18 0.06
 -------- 18:00 ---- 0.02 0.42 0.21 0.07
 -------- 19:00 ---- 0.03 0.25 0.22 0.08
 -------- 20:00 0.09 0.02 0.56 0.20 0.06
 -------- 21:00 0.09 0.03 0.88 0.20 0.05
 27.09.12 22:00 0.09 0.02 0.79 0.21 0.05
 -------- 23:00 0.07 0.02 0.33 0.18 0.04
 -------- 00:00 0.06 0.02 0.12 0.17 0.03
 -------- 01:00 0.06 0.02 0.38 0.15 0.03
 -------- 02:00 0.05 0.02 0.46 0.10 0.01
 28.09.12 03:00 0.04 0.02 0.50 0.07 0.01
 -------- 04:00 0.04 0.01 0.42 0.07 0.01
 -------- 05:00 0.05 0.01 0.12 0.12 0.02
 -------- 06:00 0.06 0.01 ---- 0.14 0.03
 -------- 07:00 0.06 0.01 ---- 0.12 0.02
 28.09.12 08:00 0.05 0.01 0.12 0.12 0.02
 -------- 09:00 0.04 0.02 0.21 0.13 0.02
 -------- 10:00 0.02 0.02 ---- 0.13 0.02
 -------- 11:00 0.02 0.03 0.19 0.12 0.02
 -------- 12:00 0.02 0.02 0.19 0.13 0.03
 28.09.12 13:00 0.02 0.02 ---- 0.12 0.02
 -------- 14:00 0.02 0.01 0.25 0.12 0.02
 -------- 15:00 0.04 0.01 0.25 0.16 0.02
 -------- 16:00 ---- 0.02 0.12 0.14 0.01
 -------- 17:00 0.02 0.04 0.50 0.17 0.02
 28.09.12 18:00 0.02 0.02 0.25 0.20 0.02
 -------- 19:00 0.03 0.03 0.21 0.24 0.02
 -------- 20:00 0.02 0.02 0.50 0.15 0.01
 -------- 21:00 0.02 0.02 0.12 0.08 0.01
 -------- 22:00 0.02 0.01 0.33 0.09 0.01
 28.09.12 23:00 ---- 0.01 0.42 0.05 0.00
 -------- 00:00 ---- 0.02 0.33 0.05 0.00
 -------- 01:00 ---- 0.01 0.12 0.03 0.00
 -------- 02:00 ---- 0.00 0.31 0.04 0.00
 -------- 03:00 ---- 0.01 0.21 0.04 0.00
 29.09.12 04:00 ---- 0.01 0.62 0.03 0.00
 -------- 05:00 ---- 0.01 0.12 0.03 0.00
 -------- 06:00 0.03 0.01 0.25 0.14 0.06
 -------- 07:00 0.02 0.01 0.33 0.11 0.03
 -------- 08:00 ---- 0.03 0.33 0.07 0.01
 29.09.12 09:00 ---- ---- 0.12 0.06 0.01
 -------- 10:00 ---- 0.01 0.12 0.06 0.01
 -------- 11:00 ---- 0.01 ---- 0.05 0.01
