 Date Time CO SO2 H2S NO2 CHX NO
 04.11.12 00:00 ---- 0.00 0.19 0.06 1.43 0.03
 -------- 01:00 ---- 0.01 0.31 0.06 1.42 0.03
 -------- 02:00 0.02 0.01 0.29 0.06 1.42 0.05
 -------- 03:00 ---- 0.02 0.46 0.06 1.41 0.04
 -------- 04:00 ---- 0.01 0.25 0.07 1.42 0.04
 04.11.12 05:00 ---- 0.01 0.12 0.06 1.43 0.03
 -------- 06:00 ---- 0.01 0.12 0.06 1.43 0.03
 -------- 07:00 ---- 0.01 0.33 0.06 1.44 0.04
 -------- 08:00 0.08 0.01 0.38 0.07 1.44 0.03
 -------- 09:00 0.09 0.01 0.25 0.08 1.41 0.03
 04.11.12 10:00 0.10 0.01 0.29 0.10 1.44 0.06
 -------- 11:00 0.10 0.01 0.38 0.10 1.43 0.05
 -------- 12:00 0.09 0.01 0.38 0.08 1.39 0.03
 -------- 13:00 0.09 0.01 0.25 0.08 1.40 0.02
 -------- 14:00 0.09 0.01 0.25 0.09 1.40 0.03
 04.11.12 15:00 0.09 0.01 0.25 0.09 1.40 0.03
 -------- 16:00 0.08 0.01 0.31 0.08 1.39 0.02
 -------- 17:00 0.07 0.02 0.42 0.07 1.37 0.02
 -------- 18:00 0.09 0.01 0.46 0.09 1.38 0.02
 -------- 19:00 0.08 0.02 0.50 0.09 1.38 0.02
 04.11.12 20:00 0.06 0.01 0.29 0.09 1.38 0.02
 -------- 21:00 0.06 0.01 0.31 0.10 1.39 0.02
 -------- 22:00 0.07 0.01 0.38 0.11 1.39 0.03
 -------- 23:00 0.05 0.02 0.75 0.10 1.37 0.02
 -------- 00:00 0.03 0.02 0.81 0.10 1.36 0.02
 05.11.12 01:00 0.03 0.00 ---- 0.06 1.35 0.01
 -------- 02:00 ---- 0.00 0.19 0.03 1.35 0.00
 -------- 03:00 ---- 0.01 0.50 0.03 1.37 0.00
 -------- 04:00 ---- 0.01 0.50 0.01 1.38 0.01
 -------- 05:00 ---- 0.01 0.31 0.01 1.33 0.00
 05.11.12 06:00 ---- 0.02 0.12 0.03 1.35 0.00
 -------- 07:00 0.02 0.02 0.21 0.06 1.36 0.01
 -------- 08:00 0.02 0.01 0.12 0.13 1.43 0.02
 -------- 09:00 0.05 0.02 0.38 0.20 1.46 0.08
 -------- 10:00 0.08 0.01 0.29 0.20 1.46 0.11
 05.11.12 11:00 0.07 0.01 0.79 0.14 1.46 0.08
 -------- 12:00 0.06 0.02 0.79 0.12 1.47 0.04
 -------- 13:00 0.04 0.02 0.25 0.14 1.46 0.05
 -------- 14:00 0.06 0.02 0.31 0.15 1.43 0.05
 -------- 15:00 0.03 0.01 0.29 0.13 1.49 0.04
 05.11.12 16:00 0.03 0.01 0.21 0.10 1.40 0.02
 -------- 17:00 0.03 0.02 0.17 0.10 1.41 0.03
 -------- 18:00 0.04 0.01 0.21 0.09 1.42 0.03
 -------- 19:00 0.03 0.02 0.58 0.08 1.42 0.03
 -------- 20:00 0.03 0.01 0.38 0.07 1.39 0.02
 05.11.12 21:00 0.04 0.01 0.33 0.06 1.39 0.02
 -------- 22:00 0.03 0.01 0.21 0.09 1.40 0.02
 -------- 23:00 0.03 0.01 0.25 0.07 1.37 0.02
