 Date Time CO SO2 H2S NO2 NO
 04.10.12 23:00 0.03 0.01 ---- 0.15 0.02
 -------- 00:00 0.02 0.00 0.29 0.10 0.01
 -------- 01:00 ---- 0.00 0.42 0.07 0.00
 -------- 02:00 ---- 0.01 0.33 0.10 0.01
 -------- 03:00 ---- 0.01 0.54 0.06 0.00
 05.10.12 04:00 0.03 0.01 0.29 0.17 0.09
 -------- 05:00 0.07 0.02 0.25 0.17 0.22
 -------- 06:00 0.14 0.02 0.12 0.19 0.34
 -------- 07:00 0.15 0.02 0.12 0.17 0.20
 -------- 08:00 0.15 0.02 0.58 0.13 0.22
 05.10.12 09:00 0.07 0.02 0.38 0.16 0.13
 -------- 10:00 0.05 0.02 0.56 0.14 0.13
 -------- 11:00 0.02 0.02 ---- 0.13 0.09
 -------- 12:00 ---- 0.01 0.17 0.12 0.06
 -------- 13:00 0.03 0.02 0.38 0.18 0.10
 05.10.12 14:00 0.02 0.02 0.17 0.19 0.08
 -------- 15:00 0.02 0.03 0.33 0.21 0.08
 -------- 16:00 ---- 0.04 0.46 0.19 0.04
 -------- 17:00 0.06 0.03 0.12 0.17 0.04
 -------- 18:00 0.06 0.02 0.33 0.16 0.03
 05.10.12 19:00 ---- 0.01 0.19 0.13 0.02
 -------- 20:00 0.09 0.01 0.17 0.16 0.04
 -------- 21:00 0.07 0.01 ---- 0.15 0.04
 -------- 22:00 0.04 0.01 0.12 0.12 0.03
 -------- 23:00 0.09 0.01 0.21 0.13 0.03
 06.10.12 00:00 0.07 0.01 0.25 0.15 0.04
 -------- 01:00 0.05 0.01 ---- 0.14 0.04
 -------- 02:00 0.04 0.00 0.38 0.06 0.01
 -------- 03:00 ---- 0.00 0.25 0.04 0.00
 -------- 04:00 ---- 0.00 0.38 0.04 0.00
 06.10.12 05:00 ---- 0.02 0.46 0.03 0.00
 -------- 06:00 ---- 0.02 0.42 0.09 0.01
 -------- 07:00 0.02 0.01 0.25 0.10 0.01
 -------- 08:00 0.04 0.02 0.25 0.15 0.07
 -------- 09:00 0.08 0.01 0.12 0.10 0.05
 06.10.12 10:00 0.11 0.01 0.21 0.09 0.04
 -------- 11:00 0.07 0.00 ---- 0.09 0.04
 -------- 12:00 0.04 0.01 0.19 0.08 0.03
 -------- 13:00 0.03 0.01 0.17 0.07 0.02
 -------- 14:00 0.03 0.01 0.42 0.08 0.02
 06.10.12 15:00 0.03 0.02 0.12 0.08 0.02
 -------- 16:00 0.04 0.02 0.33 0.09 0.03
 -------- 17:00 0.05 0.00 ---- 0.11 0.02
 -------- 18:00 ---- ---- 0.12 0.04 0.00
 -------- 19:00 ---- 0.01 0.42 0.03 0.00
 06.10.12 20:00 0.03 0.01 0.29 0.03 0.00
 -------- 21:00 0.03 0.01 0.58 0.03 0.00
 -------- 22:00 0.03 0.01 0.25 0.05 0.01
 -------- 23:00 0.02 0.02 0.38 0.05 0.00
