 Date Time CO SO2 H2S NO2 NO
 24.09.12 12:00 ---- 0.02 0.12 0.11 0.04
 -------- 13:00 ---- 0.02 ---- 0.10 0.05
 -------- 14:00 ---- 0.01 ---- 0.07 0.03
 -------- 15:00 ---- 0.01 0.38 0.08 0.04
 -------- 16:00 ---- 0.01 0.25 0.08 0.02
 24.09.12 17:00 ---- 0.01 0.12 0.09 0.02
 -------- 18:00 ---- 0.00 0.19 0.12 0.05
 -------- 19:00 0.02 0.01 0.12 0.13 0.06
 -------- 20:00 0.08 0.00 0.12 0.15 0.08
 -------- 21:00 0.12 0.02 0.58 0.17 0.09
 24.09.12 22:00 0.08 0.01 0.17 0.15 0.07
 -------- 23:00 0.05 0.01 0.12 0.12 0.05
 -------- 00:00 0.02 0.00 0.25 0.07 0.01
 -------- 01:00 0.02 ---- 0.29 0.05 0.01
 -------- 02:00 ---- 0.01 0.25 0.03 0.00
 25.09.12 03:00 ---- ---- ---- 0.02 0.00
 -------- 04:00 ---- 0.02 0.50 0.01 0.00
 -------- 05:00 ---- 0.03 0.75 0.01 0.00
 -------- 06:00 ---- 0.01 0.62 0.04 0.00
 -------- 07:00 0.02 0.01 0.54 0.07 0.00
 25.09.12 08:00 0.05 0.01 ---- 0.07 0.01
 -------- 09:00 0.05 0.01 0.21 0.06 0.01
 -------- 10:00 0.04 0.01 0.25 0.06 0.02
 -------- 11:00 0.04 0.01 0.12 0.05 0.02
 -------- 12:00 0.02 0.01 0.12 0.04 0.01
 25.09.12 13:00 0.02 0.02 0.21 0.03 0.01
 -------- 14:00 0.02 0.01 0.21 0.03 0.01
 -------- 15:00 0.02 0.00 0.33 0.06 0.01
 -------- 16:00 0.03 0.00 0.25 0.09 0.01
 -------- 17:00 0.03 0.01 0.12 0.09 0.01
 25.09.12 18:00 0.04 0.01 ---- 0.08 0.01
 -------- 19:00 0.04 0.01 0.12 0.09 0.01
 -------- 20:00 0.04 0.01 0.25 0.12 0.01
 -------- 21:00 ---- 0.01 0.31 0.12 0.02
 -------- 22:00 ---- 0.01 0.38 0.13 0.02
 25.09.12 23:00 ---- 0.01 0.54 0.09 0.01
 -------- 00:00 ---- 0.01 0.29 0.07 0.01
 -------- 01:00 ---- 0.00 0.12 0.04 0.00
 -------- 02:00 ---- 0.01 0.25 0.03 0.00
 -------- 03:00 ---- 0.01 0.25 0.03 0.00
 26.09.12 04:00 ---- 0.02 0.25 0.06 0.01
 -------- 05:00 ---- 0.01 ---- 0.08 0.01
 -------- 06:00 ---- 0.01 0.38 0.10 0.06
 -------- 07:00 0.03 0.01 0.50 0.12 0.10
 -------- 08:00 0.09 0.02 0.33 0.12 0.14
 26.09.12 09:00 0.07 ---- 0.33 0.12 0.12
 -------- 10:00 0.02 0.01 0.12 0.09 0.06
 -------- 11:00 ---- 0.02 0.33 0.08 0.04
