 Date Time CO SO2 H2S NO2 CHX NO
 23.11.12 12:00 0.02 0.01 0.12 0.14 1.44 0.07
 -------- 13:00 0.02 0.02 0.12 0.16 1.53 0.08
 -------- 14:00 0.03 0.02 0.31 0.16 1.46 0.08
 -------- 15:00 0.03 0.02 0.17 0.19 1.44 0.09
 -------- 16:00 0.05 0.02 0.21 0.21 1.47 0.13
 23.11.12 17:00 0.09 0.02 0.42 0.23 1.50 0.20
 -------- 18:00 0.11 0.02 0.58 0.24 1.77 0.16
 -------- 19:00 0.07 0.02 0.50 0.21 1.62 0.11
 -------- 20:00 0.07 0.01 0.56 0.16 1.44 0.06
 -------- 21:00 0.07 0.02 0.17 0.17 1.45 0.07
 23.11.12 22:00 0.07 0.00 0.17 0.20 1.51 0.09
 -------- 23:00 0.06 0.00 0.31 0.19 1.48 0.08
 -------- 00:00 0.05 0.01 0.25 0.16 1.53 0.06
 -------- 01:00 0.04 0.02 0.25 0.14 1.56 0.05
 -------- 02:00 0.02 0.00 0.25 0.13 1.57 0.05
 24.11.12 03:00 0.03 0.01 0.58 0.15 1.58 0.07
 -------- 04:00 0.02 0.01 0.38 0.13 1.59 0.07
 -------- 05:00 0.02 0.01 0.29 0.11 1.56 0.05
 -------- 06:00 0.03 0.01 0.25 0.14 1.59 0.10
 -------- 07:00 0.06 0.00 ---- 0.16 1.55 0.16
 24.11.12 08:00 0.07 0.01 0.33 0.13 1.50 0.10
 -------- 09:00 0.05 0.01 0.96 0.12 1.44 0.06
 -------- 10:00 0.06 0.01 0.81 0.12 1.48 0.07
 -------- 11:00 0.06 0.00 ---- 0.11 1.47 0.07
 -------- 12:00 0.06 0.01 0.12 0.13 1.48 0.09
 24.11.12 13:00 0.07 0.02 0.17 0.13 1.49 0.09
 -------- 14:00 0.08 0.02 0.31 0.14 1.49 0.09
 -------- 15:00 0.09 0.00 ---- 0.13 1.47 0.09
 -------- 16:00 0.09 0.00 0.12 0.14 1.49 0.08
 -------- 17:00 0.10 0.01 0.46 0.16 1.50 0.10
 24.11.12 18:00 0.10 0.01 0.58 0.16 1.48 0.10
 -------- 19:00 0.11 0.01 0.44 0.15 1.53 0.08
 -------- 20:00 0.07 0.00 0.31 0.14 1.50 0.08
 -------- 21:00 0.05 0.01 0.38 0.13 1.56 0.06
 -------- 22:00 0.03 0.01 0.12 0.13 1.48 0.05
 24.11.12 23:00 0.02 0.03 0.38 0.13 1.46 0.04
 -------- 00:00 0.02 0.01 ---- 0.11 1.43 0.04
 -------- 01:00 ---- 0.00 0.19 0.10 1.43 0.03
 -------- 02:00 ---- 0.01 0.29 0.11 1.44 0.03
 -------- 03:00 ---- 0.02 0.62 0.09 1.41 0.02
 25.11.12 04:00 ---- 0.02 0.46 0.09 1.43 0.02
 -------- 05:00 ---- 0.01 0.31 0.10 1.45 0.03
 -------- 06:00 0.02 0.01 0.62 0.12 1.45 0.03
 -------- 07:00 0.04 ---- 0.42 0.12 1.44 0.05
 -------- 08:00 0.05 0.00 0.25 0.12 1.51 0.07
 25.11.12 09:00 0.03 0.01 ---- 0.12 1.45 0.07
 -------- 10:00 0.05 0.01 0.38 0.13 1.46 0.07
 -------- 11:00 0.03 0.01 0.33 0.11 1.45 0.06
