 Date Time CO SO2 H2S NO2 CHX NO
 30.04.13 00:00 0.11 0.05 0.31 0.44 1.90 0.17
 -------- 01:00 0.06 0.02 0.31 0.40 1.63 0.10
 -------- 02:00 0.06 0.02 ---- 0.39 1.57 0.11
 -------- 03:00 0.04 0.02 0.12 0.37 1.56 0.13
 -------- 04:00 0.04 0.02 0.12 0.33 1.56 0.08
 30.04.13 05:00 0.04 0.02 0.12 0.29 1.50 0.07
 -------- 06:00 0.06 0.01 0.12 0.27 1.49 0.07
 -------- 07:00 0.05 0.01 0.12 0.21 1.49 0.04
 -------- 08:00 0.05 0.01 0.12 0.18 1.46 0.02
 -------- 09:00 0.02 0.01 0.12 0.16 1.41 0.03
 30.04.13 10:00 0.02 0.01 0.12 0.16 1.43 0.03
 -------- 11:00 0.02 0.01 0.12 0.16 1.44 0.03
 -------- 12:00 0.02 0.02 0.12 0.16 1.41 0.03
 -------- 13:00 0.02 0.01 ---- 0.15 1.39 0.02
 -------- 14:00 0.06 0.01 0.12 0.29 1.43 0.07
 30.04.13 15:00 0.02 0.01 0.12 0.16 1.41 0.02
 -------- 16:00 0.05 0.01 0.12 0.21 1.45 0.05
 -------- 17:00 ---- 0.01 ---- 0.09 1.39 0.01
 -------- 18:00 ---- 0.01 0.12 0.09 1.40 0.01
 -------- 19:00 0.02 0.02 0.12 0.08 1.40 0.01
 30.04.13 20:00 0.03 0.01 ---- 0.11 1.40 0.00
 -------- 21:00 0.08 0.01 ---- 0.29 1.47 0.08
 -------- 22:00 0.27 0.02 ---- 0.37 1.62 0.36
 -------- 23:00 0.27 0.02 ---- 0.38 1.63 0.39
 -------- 00:00 0.12 0.01 0.12 0.26 1.49 0.11
 01.05.13 01:00 0.05 0.01 0.17 0.19 1.47 0.01
 -------- 02:00 0.04 0.01 0.21 0.18 1.44 0.00
 -------- 03:00 0.04 0.01 0.17 0.19 1.44 0.00
 -------- 04:00 0.02 0.01 0.25 0.17 1.43 0.00
 -------- 05:00 0.02 0.00 0.17 0.12 1.41 0.00
 01.05.13 06:00 0.02 0.00 0.12 0.13 1.40 0.00
 -------- 07:00 0.03 0.00 0.12 0.16 1.42 0.01
 -------- 08:00 0.03 0.00 0.17 0.12 1.40 0.01
 -------- 09:00 0.03 0.00 0.21 0.11 1.72 0.01
 -------- 10:00 0.02 0.01 0.25 0.09 1.40 0.01
 01.05.13 11:00 0.04 0.00 0.17 0.07 1.42 0.01
 -------- 12:00 ---- 0.00 0.12 0.03 1.37 0.01
 -------- 13:00 ---- 0.00 0.12 0.02 1.36 0.01
 -------- 14:00 ---- 0.00 0.12 0.02 1.36 0.00
 -------- 15:00 ---- 0.00 0.12 0.02 1.37 0.01
 01.05.13 16:00 ---- ---- 0.12 0.02 1.38 0.00
 -------- 17:00 ---- 0.00 0.25 0.01 1.37 0.01
 -------- 18:00 ---- ---- 0.12 0.01 1.38 0.00
 -------- 19:00 ---- 0.00 0.12 0.02 1.37 0.00
 -------- 20:00 ---- 0.00 0.25 0.05 1.38 0.00
 01.05.13 21:00 ---- 0.00 0.21 0.08 1.40 0.01
 -------- 22:00 0.02 0.00 0.17 0.14 1.42 0.01
 -------- 23:00 0.07 0.00 0.17 0.27 1.50 0.01
