 Date Time CO SO2 H2S NO2 CHX NO
 02.05.13 00:00 0.15 0.01 0.12 0.38 1.75 0.12
 -------- 01:00 0.15 0.01 0.21 0.39 1.86 0.14
 -------- 02:00 0.19 0.01 0.25 0.39 1.84 0.38
 -------- 03:00 0.09 0.01 0.21 0.37 1.62 0.08
 -------- 04:00 0.05 0.01 0.21 0.31 1.57 0.01
 02.05.13 05:00 0.05 0.01 0.17 0.29 1.61 0.01
 -------- 06:00 0.12 0.01 0.21 0.43 1.92 0.26
 -------- 07:00 0.15 0.01 0.21 0.42 1.80 0.39
 -------- 08:00 0.06 0.01 0.29 0.40 1.69 0.17
 -------- 09:00 ---- 0.01 0.25 0.23 1.51 0.02
 02.05.13 10:00 0.02 0.01 0.12 0.08 1.40 0.01
 -------- 11:00 ---- 0.00 0.12 0.04 1.38 0.01
 -------- 12:00 ---- 0.00 0.17 0.04 1.38 0.01
 -------- 13:00 ---- 0.01 0.21 0.04 1.37 0.01
 -------- 14:00 ---- 0.01 0.21 0.02 1.37 0.00
 02.05.13 15:00 ---- 0.00 0.12 0.03 1.37 0.00
 -------- 16:00 ---- 0.01 0.12 0.03 1.36 0.01
 -------- 17:00 ---- 0.01 0.25 0.03 1.37 0.01
 -------- 18:00 ---- 0.01 0.17 0.05 1.37 0.01
 -------- 19:00 0.02 0.01 0.21 0.08 1.38 0.00
 02.05.13 20:00 0.04 0.00 0.21 0.12 1.53 0.00
 -------- 21:00 0.11 0.01 0.21 0.39 1.48 0.04
 -------- 22:00 0.21 0.01 0.25 0.50 1.62 0.23
 -------- 23:00 0.13 0.02 0.29 0.39 1.62 0.10
 -------- 00:00 0.15 0.01 0.19 0.39 1.66 0.15
 03.05.13 01:00 0.11 0.02 0.12 0.39 1.62 0.11
 -------- 02:00 0.12 0.01 0.12 0.38 1.64 0.08
 -------- 03:00 0.13 0.01 0.12 0.41 1.63 0.13
 -------- 04:00 0.06 0.01 0.25 0.32 1.47 0.03
 -------- 05:00 0.05 0.01 0.12 0.32 1.44 0.03
 03.05.13 06:00 0.04 0.01 0.12 0.28 1.44 0.02
 -------- 07:00 0.05 0.01 0.12 0.24 1.46 0.03
 -------- 08:00 0.08 0.01 ---- 0.27 1.45 0.04
 -------- 09:00 0.04 0.01 ---- 0.16 1.41 0.01
 -------- 10:00 0.03 0.01 0.19 0.13 1.40 0.01
 03.05.13 11:00 0.05 0.01 0.12 0.19 1.42 0.02
 -------- 12:00 0.03 0.01 ---- 0.13 1.40 0.01
 -------- 13:00 0.03 0.00 ---- 0.10 1.40 0.01
 -------- 14:00 0.02 0.00 ---- 0.03 1.37 0.00
 -------- 15:00 ---- 0.00 ---- 0.02 1.37 0.01
 03.05.13 16:00 ---- 0.00 ---- 0.01 1.36 0.00
 -------- 17:00 ---- ---- ---- 0.03 1.36 0.00
 -------- 18:00 0.02 0.00 ---- 0.03 1.37 0.00
 -------- 19:00 0.03 0.00 ---- 0.09 1.40 0.00
 -------- 20:00 0.06 0.01 ---- 0.07 1.40 0.00
 03.05.13 21:00 0.06 0.01 ---- 0.14 1.41 0.00
 -------- 22:00 0.15 0.01 ---- 0.31 1.50 0.07
 -------- 23:00 0.25 0.01 ---- 0.39 1.61 0.20
