 Date Time CO SO2 H2S NO2 CHX NO
 15.11.12 12:00 0.02 0.01 0.12 0.09 1.37 0.01
 -------- 13:00 0.03 0.02 0.50 0.09 1.39 0.02
 -------- 14:00 0.03 0.02 0.46 0.08 1.39 0.02
 -------- 15:00 0.02 0.02 0.46 0.08 1.38 0.02
 -------- 16:00 0.04 0.01 0.38 0.08 1.40 0.02
 15.11.12 17:00 0.02 0.01 0.25 0.09 1.37 0.02
 -------- 18:00 0.02 0.01 0.19 0.09 1.36 0.01
 -------- 19:00 0.03 0.02 0.33 0.14 1.38 0.03
 -------- 20:00 0.02 0.01 0.44 0.12 1.37 0.02
 -------- 21:00 0.02 0.01 0.25 0.08 1.36 0.01
 15.11.12 22:00 0.02 0.01 0.17 0.06 1.37 0.01
 -------- 23:00 ---- 0.01 0.46 0.06 1.34 0.01
 -------- 00:00 ---- 0.00 0.21 0.03 1.34 0.00
 -------- 01:00 ---- 0.00 0.42 0.03 1.36 0.00
 -------- 02:00 ---- 0.01 0.33 0.02 1.35 0.00
 16.11.12 03:00 ---- 0.02 0.67 0.01 1.35 0.00
 -------- 04:00 ---- 0.02 1.12 0.01 1.34 0.00
 -------- 05:00 ---- 0.02 0.71 0.01 1.32 0.00
 -------- 06:00 ---- 0.01 0.29 0.02 1.33 0.00
 -------- 07:00 ---- 0.02 0.50 0.05 1.33 0.01
 16.11.12 08:00 0.04 0.01 0.46 0.06 1.35 0.00
 -------- 09:00 0.04 0.01 0.38 0.07 1.35 0.01
 -------- 10:00 0.03 0.00 0.12 0.09 1.34 0.01
 -------- 11:00 0.02 0.01 0.12 0.10 1.35 0.01
 -------- 12:00 0.02 0.01 0.31 0.09 1.35 0.01
 16.11.12 13:00 0.02 0.01 ---- 0.07 1.34 0.01
 -------- 14:00 0.02 0.00 0.19 0.06 1.34 0.01
 -------- 15:00 0.02 0.00 0.12 0.07 1.34 0.01
 -------- 16:00 0.02 0.01 0.25 0.06 1.34 0.01
 -------- 17:00 0.03 0.01 0.42 0.08 1.35 0.01
 16.11.12 18:00 0.03 0.01 0.42 0.11 1.36 0.01
 -------- 19:00 0.03 0.02 0.29 0.12 1.35 0.01
 -------- 20:00 0.02 0.01 0.12 0.11 1.35 0.01
 -------- 21:00 0.02 0.00 0.58 0.10 1.35 0.01
 -------- 22:00 0.02 0.00 0.25 0.11 1.35 0.01
 16.11.12 23:00 0.02 0.01 0.25 0.10 1.35 0.00
 -------- 00:00 0.02 0.01 0.25 0.09 1.35 0.00
 -------- 01:00 ---- 0.01 0.25 0.07 1.34 0.00
 -------- 02:00 ---- 0.01 0.12 0.07 1.33 0.01
 -------- 03:00 ---- 0.03 0.46 0.06 1.34 0.00
 17.11.12 04:00 ---- 0.02 0.42 0.04 1.32 0.01
 -------- 05:00 0.02 0.01 0.46 0.05 1.33 0.00
 -------- 06:00 ---- 0.01 0.50 0.06 1.34 0.00
 -------- 07:00 ---- 0.00 0.44 0.07 1.34 0.01
 -------- 08:00 0.02 0.01 0.25 0.11 1.36 0.01
 17.11.12 09:00 0.03 0.01 0.25 0.17 1.38 0.01
 -------- 10:00 0.04 0.01 0.17 0.17 1.38 0.02
 -------- 11:00 0.04 0.00 0.42 0.16 1.40 0.02
