 Date Time CO NO2 CHX NO
 04.12.12 00:00 0.02 0.07 1.41 0.02
 -------- 01:00 ---- 0.05 1.39 0.01
 -------- 02:00 ---- 0.04 1.38 0.01
 -------- 03:00 ---- 0.03 1.38 0.01
 -------- 04:00 ---- 0.04 1.39 0.01
 04.12.12 05:00 0.02 0.07 1.41 0.02
 -------- 06:00 ---- 0.06 1.40 0.02
 -------- 07:00 ---- 0.05 1.41 0.02
 -------- 08:00 0.05 0.08 1.44 0.06
 -------- 09:00 0.04 0.06 1.43 0.04
 04.12.12 10:00 0.04 0.06 1.45 0.03
 -------- 11:00 0.06 0.07 1.50 0.04
 -------- 12:00 0.05 0.07 1.67 0.06
 -------- 13:00 0.06 0.10 1.50 0.10
 -------- 14:00 0.06 0.10 1.48 0.08
 04.12.12 15:00 0.08 0.09 1.53 0.13
 -------- 16:00 0.09 0.09 1.55 0.13
 -------- 17:00 0.08 0.08 1.52 0.12
 -------- 18:00 0.05 0.09 1.49 0.04
 -------- 19:00 0.03 0.07 1.44 0.02
 04.12.12 20:00 0.03 0.07 1.42 0.01
 -------- 21:00 0.02 0.06 1.41 0.01
 -------- 22:00 0.02 0.06 1.40 0.01
 -------- 23:00 ---- 0.06 1.39 0.01
 -------- 00:00 ---- 0.03 1.39 0.01
 05.12.12 01:00 ---- 0.04 1.38 0.01
 -------- 02:00 ---- 0.05 1.39 0.01
 -------- 03:00 ---- 0.08 1.41 0.01
 -------- 04:00 ---- 0.04 1.38 0.01
 -------- 05:00 0.04 0.05 1.41 0.01
 05.12.12 06:00 ---- 0.10 1.39 0.02
 -------- 07:00 ---- 0.09 1.41 0.01
 -------- 08:00 0.03 0.12 1.42 0.01
 -------- 09:00 0.02 0.17 1.41 0.03
 -------- 10:00 0.02 0.16 1.41 0.03
 05.12.12 11:00 0.02 0.13 1.43 0.03
 -------- 12:00 0.02 0.13 1.42 0.03
 -------- 13:00 0.02 0.10 1.42 0.03
 -------- 14:00 ---- 0.09 1.40 0.02
 -------- 15:00 0.02 0.16 1.44 0.06
 05.12.12 16:00 0.04 0.22 1.44 0.09
 -------- 17:00 0.09 0.28 1.50 0.23
 -------- 18:00 0.17 0.29 1.71 0.31
 -------- 19:00 0.18 0.29 1.66 0.30
 -------- 20:00 0.14 0.29 1.65 0.26
 05.12.12 21:00 0.09 0.27 1.58 0.20
 -------- 22:00 0.21 0.23 1.92 0.13
 -------- 23:00 0.07 0.24 1.55 0.13
 -------- 00:00 0.08 0.21 1.65 0.22
