 Date Time CO OZ NO2 CHX NO PM10
 29.11.12 00:00 0.06 ---- 0.28 1.50 0.04 0.03
 -------- 01:00 0.06 ---- 0.27 1.48 0.04 0.03
 -------- 02:00 0.04 ---- 0.24 1.48 0.02 0.03
 -------- 03:00 0.04 ---- 0.21 1.48 0.02 0.04
 -------- 04:00 0.04 ---- 0.19 1.48 0.02 0.03
 29.11.12 05:00 0.04 ---- 0.14 1.52 0.01 0.03
 -------- 06:00 0.04 ---- 0.15 1.48 0.02 0.02
 -------- 07:00 0.12 ---- 0.17 1.50 0.02 0.03
 -------- 08:00 0.07 ---- 0.18 1.47 0.02 0.03
 -------- 09:00 0.07 ---- 0.20 1.47 0.02 0.03
 29.11.12 10:00 0.07 ---- 0.22 1.47 0.03 0.03
 -------- 11:00 0.06 ---- 0.22 1.46 0.04 0.03
 -------- 12:00 0.07 ---- 0.20 1.47 0.04 0.03
 -------- 13:00 0.06 ---- 0.19 1.46 0.03 0.02
 -------- 14:00 0.06 ---- 0.19 1.46 0.03 0.03
 29.11.12 15:00 0.06 ---- 0.21 1.47 0.04 0.04
 -------- 16:00 0.06 ---- 0.22 1.47 0.03 0.05
 -------- 17:00 0.07 ---- 0.24 1.47 0.03 0.03
 -------- 18:00 0.07 ---- 0.23 1.47 0.03 0.03
 -------- 19:00 0.09 ---- 0.21 1.47 0.02 0.03
 29.11.12 20:00 0.06 ---- 0.22 1.46 0.03 0.03
 -------- 21:00 0.06 ---- 0.22 1.47 0.03 0.03
 -------- 22:00 0.06 ---- 0.23 1.47 0.03 0.02
 -------- 23:00 0.06 ---- 0.22 1.48 0.03 0.03
 -------- 00:00 0.06 ---- 0.22 1.48 0.03 0.03
 30.11.12 01:00 0.06 ---- 0.21 1.48 0.02 0.02
 -------- 02:00 0.05 ---- 0.19 1.47 0.02 0.03
 -------- 03:00 0.05 ---- 0.17 1.46 0.02 0.03
 -------- 04:00 0.04 ---- 0.15 1.46 0.01 0.02
 -------- 05:00 0.04 ---- 0.14 1.46 0.02 0.02
 30.11.12 06:00 0.04 ---- 0.13 1.46 0.02 0.02
 -------- 07:00 0.04 ---- 0.15 1.47 0.02 0.01
 -------- 08:00 0.06 ---- 0.18 1.48 0.03 0.02
 -------- 09:00 0.06 ---- 0.21 1.48 0.04 0.02
 -------- 10:00 0.06 ---- 0.22 1.49 0.05 0.02
 30.11.12 11:00 0.07 ---- 0.22 1.53 0.06 0.02
 -------- 12:00 0.07 ---- 0.19 1.51 0.06 0.01
 -------- 13:00 0.06 ---- 0.17 1.50 0.06 0.02
 -------- 14:00 0.07 ---- 0.19 1.52 0.07 0.02
 -------- 15:00 0.08 ---- 0.20 1.54 0.08 0.02
 30.11.12 16:00 0.09 ---- 0.21 1.55 0.09 0.03
 -------- 17:00 0.08 ---- 0.20 1.56 0.10 0.02
 -------- 18:00 0.08 ---- 0.19 1.62 0.12 0.03
 -------- 19:00 0.11 ---- 0.20 1.64 0.15 0.04
 -------- 20:00 0.17 ---- 0.20 1.66 0.21 0.04
 30.11.12 21:00 0.15 ---- 0.20 1.65 0.21 0.05
 -------- 22:00 0.11 ---- 0.19 1.59 0.07 0.04
 -------- 23:00 0.08 ---- 0.16 1.57 0.04 0.03
 -------- 00:00 0.16 ---- 0.15 1.79 0.04 0.04
