 Date Time CO NO2 CHX NO PM10
 24.09.12 00:00 0.04 0.07 1.46 0.02 0.22
 -------- 01:00 0.04 0.07 1.49 0.02 0.07
 -------- 02:00 0.02 0.07 1.44 0.02 0.13
 -------- 03:00 0.02 0.07 1.42 0.02 0.15
 -------- 04:00 0.02 0.06 1.43 0.02 0.16
 24.09.12 05:00 0.02 0.05 1.42 0.02 0.16
 -------- 06:00 0.02 0.04 1.42 0.01 0.02
 -------- 07:00 0.02 0.03 1.41 0.01 0.03
 -------- 08:00 0.05 0.12 1.43 0.02 0.18
 -------- 09:00 0.05 0.14 1.44 0.03 0.11
 24.09.12 10:00 0.07 0.12 1.47 0.03 0.15
 -------- 11:00 0.06 0.09 1.42 0.02 0.04
 -------- 12:00 0.06 0.08 1.42 0.02 0.08
 -------- 13:00 0.06 0.08 1.42 0.02 0.02
 -------- 14:00 0.06 0.06 1.41 0.02 0.17
 24.09.12 15:00 0.06 0.06 1.41 0.02 0.04
 -------- 16:00 0.06 0.06 1.41 0.02 ----
 -------- 17:00 0.06 0.09 1.42 0.02 0.15
 -------- 18:00 0.06 0.08 1.42 0.02 0.09
 -------- 19:00 0.06 0.08 1.40 0.02 0.07
 24.09.12 20:00 0.06 0.08 1.41 0.02 0.05
 -------- 21:00 0.06 0.07 1.41 0.02 0.04
 -------- 22:00 0.06 0.08 1.43 0.02 0.04
 -------- 23:00 0.04 0.07 1.41 0.02 0.03
 -------- 00:00 0.04 0.03 1.41 0.02 0.02
 25.09.12 01:00 0.04 0.02 1.40 0.01 0.02
 -------- 02:00 0.04 0.01 1.39 0.02 0.02
 -------- 03:00 0.04 0.01 1.39 0.02 0.02
 -------- 04:00 0.04 0.01 1.39 0.01 0.02
 -------- 05:00 0.04 0.01 1.39 0.02 0.02
 25.09.12 06:00 0.05 0.01 1.40 0.02 0.02
 -------- 07:00 0.04 0.01 1.40 0.02 0.02
 -------- 08:00 0.05 0.03 1.40 0.02 0.02
 -------- 09:00 0.05 0.04 1.41 0.02 0.04
 -------- 10:00 0.05 0.02 1.42 0.02 0.04
 25.09.12 11:00 0.05 0.03 1.41 0.02 0.04
 -------- 12:00 0.05 0.02 1.42 0.02 0.04
 -------- 13:00 0.05 0.02 1.41 0.02 0.05
 -------- 14:00 0.06 0.03 1.42 0.02 0.07
 -------- 15:00 0.06 0.03 1.42 0.02 0.04
 25.09.12 16:00 0.06 0.04 1.42 0.02 0.06
 -------- 17:00 0.05 0.04 1.43 0.02 0.06
 -------- 18:00 0.06 0.04 1.45 0.02 0.07
 -------- 19:00 0.05 0.04 1.42 0.02 0.05
 -------- 20:00 0.04 0.04 1.42 0.02 0.05
 25.09.12 21:00 0.07 0.03 1.51 0.03 0.03
 -------- 22:00 0.03 0.02 1.41 0.02 0.04
 -------- 23:00 0.03 0.02 1.43 0.02 0.03
