 Date Time CO OZ NO2 CHX NO PM10
 21.01.13 12:00 0.08 ---- 0.13 1.60 0.03 0.04
 -------- 13:00 0.07 ---- 0.11 1.56 0.03 0.05
 -------- 14:00 0.06 ---- 0.13 1.57 0.03 0.07
 -------- 15:00 0.06 ---- 0.11 1.87 0.03 0.05
 -------- 16:00 0.07 ---- 0.14 2.08 0.03 0.04
 21.01.13 17:00 0.09 ---- 0.18 1.59 0.02 0.05
 -------- 18:00 0.11 ---- 0.19 1.54 0.02 0.07
 -------- 19:00 0.10 ---- 0.15 1.51 0.02 0.10
 -------- 20:00 0.11 ---- 0.17 1.51 0.02 0.11
 -------- 21:00 0.12 ---- 0.17 1.52 0.02 0.06
 21.01.13 22:00 0.08 ---- 0.16 1.51 0.01 0.05
 -------- 23:00 0.09 ---- 0.17 1.50 0.01 0.03
 -------- 00:00 0.07 ---- 0.18 1.50 0.02 0.04
 -------- 01:00 0.06 ---- 0.11 1.47 0.01 0.02
 -------- 02:00 0.06 ---- 0.06 1.45 0.01 0.03
 22.01.13 03:00 0.04 ---- 0.08 1.45 0.01 0.02
 -------- 04:00 0.04 ---- 0.10 1.46 0.01 0.03
 -------- 05:00 0.04 ---- 0.09 1.48 0.01 0.02
 -------- 06:00 0.04 ---- 0.09 1.54 0.02 0.03
 -------- 07:00 0.06 ---- 0.08 1.55 0.01 0.02
 22.01.13 08:00 0.15 ---- 0.18 1.60 0.02 0.04
 -------- 09:00 0.15 ---- 0.25 1.68 0.03 0.05
 -------- 10:00 0.08 ---- 0.21 1.55 0.03 0.04
 -------- 11:00 0.35 ---- 0.22 1.86 0.05 0.05
 -------- 12:00 0.06 ---- 0.18 1.56 0.04 0.03
 22.01.13 13:00 0.06 ---- 0.12 1.52 0.03 0.04
 -------- 14:00 0.09 ---- 0.13 1.54 0.03 0.02
 -------- 15:00 0.06 ---- 0.14 1.52 0.03 0.03
 -------- 16:00 0.06 ---- 0.20 1.53 0.04 0.04
 -------- 17:00 0.06 ---- 0.21 1.55 0.03 0.05
 22.01.13 18:00 0.06 ---- 0.22 1.54 0.02 0.07
 -------- 19:00 0.07 ---- 0.17 1.53 0.01 0.05
 -------- 20:00 0.11 ---- 0.19 1.55 0.02 0.05
 -------- 21:00 0.07 ---- 0.19 1.53 0.02 0.04
 -------- 22:00 0.06 ---- 0.15 1.52 0.02 0.03
 22.01.13 23:00 0.06 ---- 0.15 1.52 0.01 0.03
 -------- 00:00 0.06 ---- 0.19 1.53 0.01 0.07
 -------- 01:00 0.06 ---- 0.17 1.54 0.01 0.05
 -------- 02:00 0.06 ---- 0.17 1.54 0.01 0.03
 -------- 03:00 0.06 ---- 0.15 1.54 0.01 0.05
