 Date Time CO NO2 CHX NO PM10
 07.10.12 00:00 0.03 0.03 1.39 0.02 0.02
 -------- 01:00 0.02 0.03 1.39 0.02 0.01
 -------- 02:00 0.03 0.05 1.39 0.02 0.02
 -------- 03:00 0.04 0.03 1.40 0.01 0.01
 -------- 04:00 0.04 0.06 1.43 0.02 0.02
 07.10.12 05:00 0.04 0.09 1.42 0.02 0.02
 -------- 06:00 0.04 0.10 1.43 0.02 0.01
 -------- 07:00 0.04 0.10 1.44 0.01 0.01
 -------- 13:00 0.06 0.27 1.47 0.03 0.04
 -------- 14:00 0.05 0.19 1.43 0.03 0.02
 08.10.12 15:00 0.04 0.13 1.40 0.02 0.01
 -------- 16:00 0.04 0.13 1.42 0.02 0.02
 -------- 17:00 0.03 0.13 1.40 0.02 0.02
 -------- 18:00 0.02 0.09 1.48 0.02 0.02
 -------- 19:00 0.02 0.08 1.42 0.02 0.01
 08.10.12 20:00 0.03 0.10 1.45 0.02 0.02
 -------- 21:00 0.05 0.11 1.48 0.02 0.01
 -------- 22:00 0.03 0.08 1.42 0.02 0.01
 -------- 23:00 0.03 0.07 1.41 0.02 0.01
