 Date Time CO OZ NO2 CHX NO PM10
 20.11.12 00:00 0.04 ---- 0.07 1.44 0.02 0.10
 -------- 01:00 0.05 ---- 0.07 1.44 0.02 0.10
 -------- 02:00 0.04 ---- 0.07 1.44 0.02 0.10
 -------- 03:00 0.04 ---- 0.07 1.44 0.01 0.11
 -------- 04:00 0.04 ---- 0.06 1.45 0.02 0.09
 20.11.12 05:00 0.04 ---- 0.05 1.45 0.01 0.09
 -------- 06:00 0.05 ---- 0.05 1.46 0.02 0.08
 -------- 07:00 0.05 ---- 0.06 1.45 0.02 0.08
 -------- 08:00 0.05 ---- 0.06 1.46 0.02 0.08
 -------- 09:00 0.07 ---- 0.09 2.40 0.03 0.08
 20.11.12 10:00 0.06 ---- 0.10 3.18 0.04 0.08
 -------- 11:00 0.06 ---- 0.11 1.48 0.05 0.08
 -------- 12:00 0.06 ---- 0.12 1.47 0.05 0.08
 -------- 13:00 0.07 ---- 0.13 1.47 0.04 0.09
 -------- 14:00 0.07 ---- 0.12 1.46 0.03 0.08
 20.11.12 15:00 0.06 ---- 0.08 1.43 0.02 0.07
 -------- 16:00 0.09 ---- 0.09 1.45 0.02 0.05
 -------- 17:00 0.06 ---- 0.10 1.44 0.02 0.07
 -------- 18:00 0.06 ---- 0.11 1.45 0.02 0.08
 -------- 19:00 0.06 ---- 0.09 1.45 0.02 0.06
 20.11.12 20:00 0.06 ---- 0.08 1.47 0.02 0.05
 -------- 21:00 0.06 ---- 0.07 1.46 0.02 0.06
 -------- 22:00 0.06 ---- 0.05 1.46 0.01 0.04
 -------- 23:00 0.05 ---- 0.04 1.45 0.01 0.05
 -------- 00:00 0.04 ---- 0.06 1.45 0.02 0.04
 21.11.12 01:00 0.04 ---- 0.08 1.45 0.02 0.05
 -------- 02:00 0.04 ---- 0.09 1.45 0.02 0.04
 -------- 03:00 0.04 ---- 0.03 1.45 0.01 0.04
 -------- 04:00 0.04 ---- 0.04 1.44 0.02 0.03
 -------- 05:00 0.04 ---- 0.06 1.45 0.01 0.04
 21.11.12 06:00 0.04 ---- 0.09 1.47 0.02 0.05
 -------- 07:00 0.06 ---- 0.09 1.48 0.02 0.06
 -------- 08:00 0.09 ---- 0.16 1.49 0.03 0.08
 -------- 09:00 0.08 ---- 0.18 1.49 0.02 0.10
 -------- 10:00 0.08 ---- 0.19 1.51 0.03 0.11
 21.11.12 11:00 0.07 ---- 0.18 1.49 0.04 0.11
 -------- 12:00 0.06 ---- 0.15 1.48 0.03 0.11
 -------- 13:00 0.06 ---- 0.15 1.50 0.03 0.14
 -------- 14:00 0.06 ---- 0.14 1.49 0.02 0.13
 -------- 15:00 0.07 ---- 0.15 1.50 0.03 0.12
 21.11.12 16:00 0.11 ---- 0.18 1.54 0.05 0.13
 -------- 17:00 0.08 ---- 0.20 1.51 0.06 0.12
 -------- 18:00 0.08 ---- 0.20 1.54 0.04 0.12
 -------- 19:00 0.08 ---- 0.20 1.51 0.02 0.14
 -------- 20:00 0.08 ---- 0.23 1.52 0.03 0.14
 21.11.12 21:00 0.07 ---- 0.20 1.53 0.03 0.14
 -------- 22:00 0.06 ---- 0.19 1.54 0.02 0.14
 -------- 23:00 0.06 ---- 0.17 1.51 0.02 0.11
 -------- 00:00 0.06 ---- 0.13 1.51 0.02 0.10
