 Date Time CO OZ NO2 CHX NO PM10
 22.12.12 12:00 0.08 ---- 0.27 1.54 0.04 0.05
 -------- 13:00 0.08 ---- 0.29 1.51 0.05 0.06
 -------- 14:00 0.07 ---- 0.26 1.50 0.04 0.06
 -------- 15:00 0.06 ---- 0.23 1.46 0.03 0.05
 -------- 16:00 0.07 ---- 0.26 1.46 0.02 0.05
 22.12.12 17:00 0.08 ---- 0.35 1.51 0.02 0.07
 -------- 18:00 0.08 ---- 0.28 1.48 0.02 0.07
 -------- 19:00 0.08 ---- 0.27 1.49 0.02 0.07
 -------- 20:00 0.07 ---- 0.19 1.47 0.02 0.06
 -------- 21:00 0.06 ---- 0.18 1.46 0.01 0.06
 22.12.12 22:00 0.06 ---- 0.17 1.46 0.01 0.07
 -------- 23:00 0.06 ---- 0.17 1.46 0.01 0.06
 -------- 00:00 0.06 ---- 0.18 1.47 0.01 0.05
 -------- 01:00 0.06 ---- 0.17 1.47 0.01 0.06
 -------- 02:00 0.07 ---- 0.17 1.48 0.01 0.05
 23.12.12 03:00 0.06 ---- 0.18 1.49 0.01 0.06
 -------- 04:00 0.06 ---- 0.18 1.50 0.02 0.07
 -------- 05:00 0.06 ---- 0.16 1.51 0.01 0.07
 -------- 06:00 0.07 ---- 0.17 1.52 0.01 0.06
 -------- 07:00 0.07 ---- 0.19 1.53 0.02 0.04
 23.12.12 08:00 0.08 ---- 0.20 1.53 0.02 0.05
 -------- 09:00 0.08 ---- 0.24 1.53 0.02 0.04
 -------- 10:00 0.08 ---- 0.30 1.54 0.02 0.06
 -------- 11:00 0.08 ---- 0.30 1.56 0.05 0.04
 -------- 12:00 0.11 ---- 0.33 1.57 0.07 0.08
 23.12.12 13:00 0.14 ---- 0.37 1.62 0.10 0.08
 -------- 14:00 0.13 ---- 0.43 1.64 0.13 ----
 -------- 15:00 0.11 ---- 0.39 1.54 0.08 ----
 -------- 16:00 0.11 ---- 0.37 1.54 0.05 ----
 -------- 17:00 0.11 ---- 0.40 1.80 0.04 ----
 23.12.12 18:00 0.12 ---- 0.41 2.28 0.04 ----
 -------- 19:00 0.12 ---- 0.41 1.96 0.06 ----
 -------- 20:00 0.11 ---- 0.38 1.97 0.04 ----
 -------- 21:00 0.12 ---- 0.40 2.08 0.08 ----
 -------- 22:00 0.11 ---- 0.41 2.01 0.13 ----
 23.12.12 23:00 0.14 ---- 0.41 2.03 0.20 ----
 -------- 00:00 0.13 ---- 0.41 2.02 0.21 ----
 -------- 01:00 0.16 ---- 0.46 2.10 0.42 ----
 -------- 02:00 0.16 ---- 0.47 2.04 0.39 ----
 -------- 03:00 0.15 ---- 0.51 1.87 0.33 ----
 24.12.12 04:00 0.17 ---- 0.51 1.84 0.30 ----
 -------- 05:00 0.16 ---- 0.53 1.88 0.29 ----
 -------- 06:00 0.23 ---- 0.54 2.04 0.40 ----
 -------- 07:00 0.31 ---- 0.54 2.10 0.41 ----
 -------- 08:00 0.34 ---- 0.53 2.25 0.46 ----
 24.12.12 09:00 0.37 ---- 0.59 2.26 0.62 ----
 -------- 10:00 0.33 ---- 0.64 2.29 0.71 ----
 -------- 11:00 0.42 ---- 0.69 2.50 0.84 ----
