 Date Time CO NO2 CHX NO PM10
 22.10.12 00:00 0.04 0.03 1.43 0.02 0.06
 -------- 01:00 0.04 0.02 1.44 0.02 0.06
 -------- 02:00 0.04 0.02 1.45 0.02 0.07
 -------- 03:00 0.04 0.02 1.46 0.02 0.09
 -------- 04:00 0.04 0.03 1.44 0.02 0.10
 22.10.12 05:00 0.04 0.02 1.46 0.01 0.09
 -------- 06:00 0.04 0.02 1.44 0.02 0.07
 -------- 07:00 0.05 0.03 1.46 0.02 0.04
 -------- 08:00 0.09 0.06 1.55 0.03 0.04
 -------- 09:00 0.06 0.07 1.49 0.02 0.02
 22.10.12 10:00 0.05 0.06 1.43 0.02 0.01
 -------- 11:00 0.04 0.05 1.41 0.02 0.01
 -------- 12:00 0.04 0.03 1.40 0.02 0.01
 -------- 13:00 0.04 0.04 1.40 0.02 0.02
 -------- 14:00 0.04 0.05 1.43 0.02 0.02
 22.10.12 15:00 0.04 0.05 1.40 0.02 0.03
 -------- 16:00 0.04 0.05 1.39 0.02 0.02
 -------- 17:00 0.04 0.04 1.39 0.02 0.03
 -------- 18:00 0.04 0.05 1.39 0.02 0.02
 -------- 19:00 0.04 0.10 1.46 0.02 0.03
 22.10.12 20:00 0.05 0.20 1.45 0.02 0.05
 -------- 21:00 0.06 0.20 1.46 0.02 0.04
 -------- 22:00 0.05 0.19 1.44 0.02 0.04
 -------- 23:00 0.04 0.20 1.45 0.02 0.04
 -------- 00:00 0.04 0.09 1.41 0.02 0.02
 23.10.12 01:00 0.04 0.07 1.41 0.02 0.02
 -------- 02:00 0.04 0.04 1.40 0.01 0.02
 -------- 03:00 0.03 0.03 1.41 0.01 0.02
 -------- 04:00 0.04 0.03 1.41 0.01 0.02
 -------- 05:00 0.04 0.05 1.43 0.01 0.03
 23.10.12 06:00 0.05 0.06 1.43 0.02 0.02
 -------- 07:00 0.04 0.08 1.45 0.02 0.04
 -------- 08:00 0.04 0.14 1.46 0.02 0.04
 -------- 09:00 0.05 0.19 1.46 0.02 0.04
 -------- 10:00 0.09 0.30 1.49 0.05 0.06
 23.10.12 11:00 0.08 0.36 1.50 0.09 0.06
 -------- 12:00 0.09 0.34 1.52 0.09 0.08
 -------- 13:00 0.10 0.38 1.57 0.13 0.12
 -------- 14:00 0.09 0.33 1.59 0.10 0.28
 -------- 15:00 0.11 0.37 1.59 0.13 0.18
 23.10.12 16:00 0.09 0.39 1.54 0.12 0.13
 -------- 17:00 0.09 0.38 1.53 0.12 0.25
 -------- 18:00 0.09 0.38 1.52 0.10 0.14
 -------- 19:00 0.08 0.38 1.50 0.07 0.14
 -------- 20:00 0.06 0.32 1.47 0.04 0.11
 23.10.12 21:00 0.05 0.19 1.44 0.02 0.02
 -------- 22:00 0.04 0.19 1.43 0.02 0.09
