 Date Time CO OZ NO2 CHX NO PM10
 03.03.13 12:00 0.10 ---- 0.38 1.58 0.10 0.07
 -------- 13:00 0.09 ---- 0.36 1.56 0.10 0.06
 -------- 14:00 0.07 ---- 0.28 1.53 0.05 0.04
 -------- 15:00 0.08 ---- 0.27 1.54 0.06 0.05
 -------- 16:00 0.09 ---- 0.33 1.57 0.06 0.07
 03.03.13 17:00 0.09 ---- 0.34 1.56 0.05 0.09
 -------- 18:00 0.08 ---- 0.30 1.55 0.03 0.09
 -------- 19:00 0.08 ---- 0.32 1.57 0.02 0.12
 -------- 20:00 0.08 ---- 0.31 1.57 0.02 0.14
 -------- 21:00 0.06 ---- 0.24 1.50 0.02 0.09
 03.03.13 22:00 0.06 ---- 0.26 1.54 0.02 0.10
 -------- 23:00 0.06 ---- 0.21 1.50 0.02 0.07
 -------- 00:00 0.06 ---- 0.12 1.54 0.01 0.04
 -------- 01:00 0.04 ---- 0.08 1.48 0.01 0.03
 -------- 02:00 0.04 ---- 0.07 1.46 0.02 0.04
 04.03.13 03:00 0.04 ---- 0.05 1.46 0.01 0.05
 -------- 04:00 0.04 ---- 0.04 1.47 0.01 0.03
 -------- 05:00 0.04 ---- 0.04 1.46 0.01 0.03
 -------- 06:00 0.05 ---- 0.05 1.46 0.01 0.04
 -------- 07:00 0.05 ---- 0.06 1.47 0.02 0.04
 04.03.13 08:00 0.06 ---- 0.09 1.47 0.02 0.04
 -------- 09:00 0.06 ---- 0.12 1.46 0.02 0.04
 -------- 10:00 0.07 ---- 0.13 1.46 0.02 0.05
 -------- 11:00 0.06 ---- 0.11 1.46 0.03 0.06
 -------- 12:00 0.06 ---- 0.10 1.46 0.03 0.04
 04.03.13 13:00 0.06 ---- 0.05 1.46 0.02 0.03
 -------- 14:00 0.06 ---- 0.05 1.45 0.02 0.08
 -------- 15:00 0.06 ---- 0.04 1.46 0.02 0.06
 -------- 16:00 0.06 ---- 0.06 1.47 0.02 0.04
 -------- 17:00 0.06 ---- 0.05 1.50 0.02 0.03
 04.03.13 18:00 0.06 ---- 0.05 1.47 0.02 0.03
 -------- 19:00 0.06 ---- 0.05 1.46 0.01 0.03
 -------- 20:00 0.04 ---- 0.07 1.46 0.02 0.04
 -------- 21:00 0.07 ---- 0.11 1.49 0.02 0.04
 -------- 22:00 0.04 ---- 0.12 1.48 0.01 0.04
 04.03.13 23:00 0.04 ---- 0.16 1.48 0.02 0.05
 -------- 00:00 0.04 ---- 0.16 1.51 0.01 0.04
 -------- 01:00 0.04 ---- 0.21 1.50 0.02 0.04
 -------- 02:00 0.04 ---- 0.23 1.56 0.01 0.04
 -------- 03:00 0.04 ---- 0.24 1.83 0.02 0.04
 05.03.13 04:00 0.04 ---- 0.23 1.71 0.02 0.04
 -------- 05:00 0.05 ---- 0.28 1.63 0.02 0.05
 -------- 06:00 0.09 ---- 0.30 1.64 0.02 0.05
 -------- 07:00 0.09 ---- 0.24 1.62 0.02 0.05
 -------- 08:00 0.16 ---- 0.32 1.79 0.04 0.06
 05.03.13 09:00 0.23 ---- 0.32 1.87 0.08 0.07
 -------- 10:00 0.15 ---- 0.39 1.83 0.19 0.11
 -------- 11:00 0.11 ---- 0.30 1.70 0.11 0.09
