 Date Time CO OZ NO2 CHX NO
 19.11.12 12:00 0.04 ---- 0.09 ---- 0.02
 -------- 13:00 0.04 ---- 0.07 1.34 0.02
 -------- 14:00 0.05 ---- 0.09 1.44 0.02
 -------- 15:00 0.07 ---- 0.09 1.45 0.02
 -------- 16:00 0.04 ---- 0.09 1.44 0.02
 19.11.12 17:00 0.05 ---- 0.10 1.45 0.02
 -------- 18:00 0.05 ---- 0.11 1.45 0.02
 -------- 19:00 0.05 ---- 0.13 1.44 0.03
 -------- 20:00 0.04 ---- 0.12 1.43 0.03
 -------- 21:00 0.05 ---- 0.11 1.44 0.03
 19.11.12 22:00 0.05 ---- 0.10 1.44 0.03
 -------- 23:00 0.06 ---- 0.09 1.44 0.03
 -------- 00:00 0.04 ---- 0.07 1.44 0.02
 -------- 01:00 0.05 ---- 0.07 1.44 0.02
 -------- 02:00 0.04 ---- 0.07 1.44 0.02
 20.11.12 03:00 0.04 ---- 0.07 1.44 0.01
 -------- 04:00 0.04 ---- 0.06 1.45 0.02
 -------- 05:00 0.04 ---- 0.05 1.45 0.01
 -------- 06:00 0.05 ---- 0.05 1.46 0.02
 -------- 07:00 0.05 ---- 0.06 1.45 0.02
 20.11.12 08:00 0.05 ---- 0.06 1.46 0.02
 -------- 09:00 0.07 ---- 0.09 2.40 0.03
 -------- 10:00 0.06 ---- 0.10 3.18 0.04
 -------- 11:00 0.06 ---- 0.11 1.48 0.05
 -------- 12:00 0.06 ---- 0.12 1.47 0.05
 20.11.12 13:00 0.07 ---- 0.13 1.47 0.04
 -------- 14:00 0.07 ---- 0.12 1.46 0.03
 -------- 15:00 0.06 ---- 0.08 1.43 0.02
 -------- 16:00 0.09 ---- 0.09 1.45 0.02
 -------- 17:00 0.06 ---- 0.10 1.44 0.02
 20.11.12 18:00 0.06 ---- 0.11 1.45 0.02
 -------- 19:00 0.06 ---- 0.09 1.45 0.02
 -------- 20:00 0.06 ---- 0.08 1.47 0.02
 -------- 21:00 0.06 ---- 0.07 1.46 0.02
 -------- 22:00 0.06 ---- 0.05 1.46 0.01
 20.11.12 23:00 0.05 ---- 0.04 1.45 0.01
 -------- 00:00 0.04 ---- 0.06 1.45 0.02
 -------- 01:00 0.04 ---- 0.08 1.45 0.02
 -------- 02:00 0.04 ---- 0.09 1.45 0.02
 -------- 03:00 0.04 ---- 0.03 1.45 0.01
 21.11.12 04:00 0.04 ---- 0.04 1.44 0.02
 -------- 05:00 0.04 ---- 0.06 1.45 0.01
 -------- 06:00 0.04 ---- 0.09 1.47 0.02
 -------- 07:00 0.06 ---- 0.09 1.48 0.02
 -------- 08:00 0.09 ---- 0.16 1.49 0.03
 21.11.12 09:00 0.08 ---- 0.18 1.49 0.02
 -------- 10:00 0.08 ---- 0.19 1.51 0.03
 -------- 11:00 0.07 ---- 0.18 1.49 0.04
 -------- 12:00 0.06 ---- 0.15 1.47 0.03
