 Date Time CO OZ NO2 CHX NO PM10
 23.03.13 00:00 0.04 ---- 0.13 1.55 0.02 0.03
 -------- 01:00 0.04 ---- 0.17 1.51 0.02 0.03
 -------- 02:00 0.04 ---- 0.17 1.48 0.02 0.03
 -------- 03:00 0.03 ---- 0.13 1.46 0.02 0.03
 -------- 04:00 0.03 ---- 0.11 1.54 0.02 0.03
 23.03.13 05:00 0.04 ---- 0.15 1.77 0.02 0.03
 -------- 06:00 0.04 ---- 0.16 1.62 0.02 0.03
 -------- 07:00 0.11 ---- 0.14 1.79 0.02 0.03
 -------- 08:00 0.04 ---- 0.13 1.76 0.02 0.03
 -------- 09:00 0.05 ---- 0.14 1.73 0.02 0.04
 23.03.13 10:00 0.04 ---- 0.13 1.51 0.03 0.03
 -------- 11:00 0.04 ---- 0.11 1.46 0.03 0.03
 -------- 12:00 0.04 ---- 0.08 1.45 0.03 0.03
 -------- 13:00 0.03 ---- 0.05 1.45 0.02 0.03
 -------- 14:00 0.03 ---- 0.06 1.45 0.02 0.02
 23.03.13 15:00 0.03 ---- 0.05 1.44 0.02 0.02
 -------- 16:00 0.04 ---- 0.05 1.51 0.02 0.03
 -------- 17:00 0.03 ---- 0.04 1.53 0.02 0.02
 -------- 18:00 0.02 ---- 0.06 1.55 0.02 0.02
 -------- 19:00 0.02 ---- 0.06 1.57 0.01 0.02
 23.03.13 20:00 0.04 ---- 0.05 1.54 0.01 0.02
 -------- 21:00 0.04 ---- 0.06 1.44 0.01 0.02
 -------- 22:00 0.04 ---- 0.07 1.44 0.01 0.02
 -------- 23:00 0.04 ---- 0.09 1.45 0.01 0.03
 -------- 00:00 0.04 ---- 0.09 1.46 0.02 0.03
 24.03.13 01:00 0.04 ---- 0.06 1.45 0.01 0.02
 -------- 02:00 0.04 ---- 0.07 1.45 0.01 0.02
 -------- 03:00 0.04 ---- 0.05 1.44 0.02 0.02
 -------- 04:00 0.04 ---- 0.04 1.44 0.01 0.02
 -------- 05:00 0.04 ---- 0.03 1.44 0.01 0.02
 24.03.13 06:00 0.04 ---- 0.03 1.44 0.01 0.02
 -------- 07:00 0.04 ---- 0.03 1.43 0.01 0.02
 -------- 08:00 0.04 ---- 0.03 1.43 0.02 0.02
 -------- 09:00 0.04 ---- 0.03 1.43 0.01 0.03
 -------- 10:00 0.04 ---- 0.03 1.42 0.02 0.07
 24.03.13 11:00 0.04 ---- 0.03 1.43 0.02 0.09
 -------- 12:00 0.04 ---- 0.03 1.43 0.02 0.07
 -------- 13:00 0.04 ---- 0.03 1.49 0.02 0.05
 -------- 14:00 0.05 ---- 0.03 1.48 0.02 0.05
 -------- 15:00 0.04 ---- 0.04 1.45 0.02 0.05
 24.03.13 16:00 0.04 ---- 0.03 1.49 0.02 0.05
 -------- 17:00 0.04 ---- 0.03 1.53 0.02 0.05
 -------- 18:00 0.04 ---- 0.04 1.52 0.02 0.04
 -------- 19:00 0.04 ---- 0.05 1.46 0.01 0.05
 -------- 20:00 0.04 ---- 0.05 1.44 0.02 0.04
 24.03.13 21:00 0.04 ---- 0.06 1.45 0.02 0.04
 -------- 22:00 0.04 ---- 0.04 1.43 0.01 0.02
 -------- 23:00 0.04 ---- 0.03 1.42 0.01 0.02
