 Date Time CO OZ NO2 CHX NO PM10
 30.09.12 12:00 0.06 ---- 0.11 1.50 0.03 0.06
 -------- 13:00 0.09 ---- 0.19 1.53 0.03 0.07
 -------- 14:00 0.07 ---- 0.15 1.44 0.02 0.06
 -------- 15:00 0.06 ---- 0.11 1.40 0.02 0.05
 -------- 16:00 0.06 ---- 0.12 1.40 0.02 0.04
 30.09.12 17:00 0.06 ---- 0.11 1.40 0.02 0.04
 -------- 18:00 0.06 ---- 0.13 1.40 0.02 0.03
 -------- 19:00 0.08 ---- 0.24 1.42 0.02 0.04
 -------- 20:00 0.09 ---- 0.24 1.42 0.02 0.03
 -------- 21:00 0.08 ---- 0.17 1.44 0.02 0.03
 30.09.12 22:00 0.06 ---- 0.10 1.42 0.02 0.02
 -------- 23:00 0.04 ---- 0.02 1.40 0.02 0.02
 -------- 00:00 0.04 ---- 0.01 1.40 0.02 0.02
 -------- 01:00 0.04 ---- 0.01 1.38 0.01 0.02
 -------- 02:00 0.03 ---- 0.01 1.38 0.02 0.02
 01.10.12 03:00 0.03 ---- 0.01 1.38 0.02 0.02
 -------- 04:00 0.02 ---- 0.01 1.38 0.02 0.02
 -------- 05:00 0.02 ---- 0.01 1.38 0.01 0.02
 -------- 06:00 0.02 ---- 0.01 1.38 0.02 0.02
 -------- 07:00 0.03 ---- 0.01 1.38 0.01 0.02
 01.10.12 08:00 0.04 ---- 0.02 1.39 0.02 0.02
 -------- 09:00 0.06 ---- 0.03 1.41 0.02 0.05
 -------- 10:00 0.05 ---- 0.02 1.39 0.02 0.06
 -------- 11:00 0.05 ---- 0.02 1.42 0.02 0.04
 -------- 12:00 0.04 ---- 0.02 1.38 0.02 0.04
 01.10.12 13:00 0.04 ---- 0.02 1.37 0.02 0.03
 -------- 14:00 0.06 ---- 0.02 1.41 0.02 0.06
 -------- 15:00 0.05 ---- 0.02 1.41 0.02 0.09
 -------- 16:00 0.04 ---- 0.02 1.39 0.02 0.05
 -------- 17:00 0.04 ---- 0.02 1.38 0.02 0.04
 01.10.12 18:00 0.04 ---- 0.02 1.39 0.01 0.04
 -------- 19:00 0.04 ---- 0.03 1.39 0.02 0.03
 -------- 20:00 0.05 ---- 0.08 1.53 0.02 0.05
 -------- 21:00 0.07 ---- 0.09 1.48 0.02 0.05
 -------- 22:00 0.05 ---- 0.09 1.53 0.02 0.06
 01.10.12 23:00 0.05 ---- 0.09 1.49 0.02 0.06
 -------- 00:00 0.04 ---- 0.09 1.52 0.02 0.05
 -------- 01:00 0.05 ---- 0.14 1.51 0.02 0.05
 -------- 02:00 0.06 ---- 0.14 1.49 0.02 0.06
 -------- 03:00 0.05 ---- 0.10 1.48 0.02 0.05
 02.10.12 04:00 0.04 ---- 0.08 1.48 0.02 0.05
 -------- 05:00 0.04 ---- 0.11 1.50 0.02 0.05
 -------- 06:00 0.06 ---- 0.10 1.51 0.02 0.06
 -------- 07:00 0.08 ---- 0.13 1.54 0.03 0.07
 -------- 08:00 0.08 ---- 0.17 1.53 0.04 0.08
 02.10.12 09:00 0.09 ---- 0.22 1.54 0.11 0.10
 -------- 10:00 0.07 ---- 0.18 1.53 0.07 0.08
 -------- 11:00 0.07 ---- 0.19 1.54 0.08 0.11
