 Date Time CO NO2 CHX NO PM10
 13.10.12 00:00 0.05 0.18 1.81 0.02 0.04
 -------- 01:00 0.04 0.15 1.82 0.02 0.03
 -------- 02:00 0.04 0.10 1.47 0.02 0.03
 -------- 03:00 0.04 0.09 1.42 0.02 0.03
 -------- 04:00 0.04 0.13 2.29 0.02 0.03
 13.10.12 05:00 0.04 0.09 2.20 0.02 0.03
 -------- 06:00 0.04 0.12 1.67 0.02 0.03
 -------- 07:00 0.04 0.13 1.57 0.02 0.05
 -------- 08:00 0.04 0.06 1.45 0.02 0.03
 -------- 09:00 0.05 0.09 1.50 0.02 0.03
 13.10.12 10:00 0.05 0.08 1.43 0.02 0.03
 -------- 11:00 0.04 0.07 1.43 0.03 0.03
 -------- 12:00 0.04 0.07 1.43 0.02 0.03
 -------- 13:00 0.04 0.05 1.42 0.02 0.03
 -------- 14:00 0.04 0.03 1.41 0.02 0.03
 13.10.12 15:00 0.04 0.03 1.40 0.02 0.04
 -------- 16:00 0.04 0.05 1.41 0.02 0.03
 -------- 17:00 0.05 0.06 1.42 0.02 0.05
 -------- 18:00 0.05 0.07 1.55 0.02 0.08
 -------- 19:00 0.06 0.09 1.53 0.02 0.08
 13.10.12 20:00 0.07 0.08 1.53 0.02 0.06
 -------- 21:00 0.07 0.08 1.49 0.02 0.05
 -------- 22:00 0.08 0.11 1.49 0.02 0.05
 -------- 23:00 0.07 0.17 1.55 0.02 0.05
 -------- 00:00 0.05 0.11 1.51 0.03 0.05
 14.10.12 01:00 0.06 0.08 1.50 0.02 0.03
 -------- 02:00 0.06 0.09 1.51 0.02 0.05
 -------- 03:00 0.04 0.07 1.52 0.02 0.04
 -------- 04:00 0.07 0.12 1.53 0.02 0.04
 -------- 05:00 0.07 0.13 1.54 0.02 0.05
 14.10.12 06:00 0.06 0.09 1.55 0.02 0.06
 -------- 07:00 0.07 0.11 1.55 0.03 0.05
 -------- 08:00 0.10 0.12 1.62 0.09 0.05
 -------- 09:00 0.19 0.17 1.68 0.17 0.05
 -------- 10:00 0.09 0.19 1.64 0.09 0.07
 14.10.12 11:00 0.07 0.15 1.60 0.05 0.06
 -------- 12:00 0.05 0.12 1.50 0.03 0.07
 -------- 13:00 0.04 0.11 1.45 0.02 0.06
 -------- 14:00 0.04 0.09 1.43 0.02 0.05
 -------- 15:00 0.07 0.12 1.47 0.02 0.09
 14.10.12 16:00 0.06 0.16 1.52 0.02 0.09
 -------- 17:00 0.07 0.23 1.54 0.03 0.12
 -------- 18:00 0.09 0.28 1.55 0.04 0.14
 -------- 19:00 0.12 0.31 1.59 0.07 0.15
 -------- 20:00 0.12 0.31 1.58 0.06 0.15
 14.10.12 21:00 0.15 0.30 1.58 0.06 0.13
 -------- 22:00 0.10 0.27 1.54 0.03 0.12
 -------- 23:00 0.09 0.23 1.52 0.02 0.08
 -------- 00:00 0.08 0.23 1.52 0.02 0.08
