 Date Time CO NO2 CHX NO PM10
 13.12.12 00:00 0.05 0.27 1.58 0.03 0.05
 -------- 01:00 0.04 0.27 1.60 0.02 0.05
 -------- 02:00 0.04 0.23 1.62 0.02 0.05
 -------- 03:00 0.04 0.19 1.60 0.02 0.05
 -------- 04:00 0.04 0.16 1.57 0.01 0.05
 13.12.12 05:00 0.04 0.17 1.57 0.01 0.09
 -------- 06:00 0.04 0.18 1.56 0.02 0.08
 -------- 07:00 0.04 0.18 1.52 0.02 0.05
 -------- 08:00 0.05 0.23 1.49 0.02 0.07
 -------- 09:00 0.05 0.24 1.48 0.02 0.09
 13.12.12 10:00 0.06 0.25 1.48 0.02 0.08
 -------- 11:00 0.05 0.24 1.49 0.02 0.10
 -------- 12:00 0.06 0.22 1.48 0.03 0.08
 -------- 13:00 0.06 0.20 1.48 0.03 0.14
 -------- 14:00 0.06 0.19 1.46 0.02 0.09
 13.12.12 15:00 0.06 0.22 1.47 0.03 0.11
 -------- 16:00 0.06 0.24 1.48 0.02 0.08
 -------- 17:00 0.08 0.28 1.49 0.02 0.08
 -------- 18:00 0.08 0.29 1.50 0.02 0.08
 -------- 19:00 0.08 0.26 1.49 0.02 0.07
 13.12.12 20:00 0.06 0.24 1.48 0.02 0.06
 -------- 21:00 0.07 0.23 1.47 0.02 0.06
 -------- 22:00 0.05 0.22 1.47 0.02 0.05
 -------- 23:00 0.05 0.21 1.46 0.02 0.05
 -------- 00:00 0.04 0.23 1.46 0.02 0.05
 14.12.12 01:00 0.04 0.22 1.46 0.02 0.05
 -------- 02:00 0.04 0.20 1.46 0.02 0.05
 -------- 03:00 0.04 0.19 1.46 0.01 0.05
 -------- 04:00 0.04 0.17 1.46 0.01 0.05
 -------- 05:00 0.04 0.16 1.46 0.01 0.05
 14.12.12 06:00 0.04 0.18 1.46 0.02 0.05
 -------- 07:00 0.05 0.20 1.46 0.02 0.06
 -------- 08:00 0.07 0.24 1.48 0.03 0.06
 -------- 09:00 0.07 0.26 1.52 0.03 0.06
 -------- 10:00 0.08 0.30 1.60 0.03 0.07
 14.12.12 11:00 0.08 0.30 1.56 0.04 0.07
 -------- 12:00 0.08 0.28 1.54 0.06 0.07
 -------- 13:00 0.08 0.29 1.53 0.07 0.07
 -------- 14:00 0.08 0.31 1.53 0.08 0.08
 -------- 15:00 0.08 0.30 1.52 0.06 0.08
 14.12.12 16:00 0.09 0.32 1.53 0.06 0.09
 -------- 17:00 0.09 0.36 1.54 0.05 0.09
 -------- 18:00 0.08 0.34 1.54 0.03 0.08
 -------- 19:00 0.06 0.29 1.53 0.02 0.07
 -------- 20:00 0.06 0.31 1.53 0.02 0.06
 14.12.12 21:00 0.07 0.32 1.55 0.02 0.06
 -------- 22:00 0.06 0.32 1.54 0.02 0.06
 -------- 23:00 0.07 0.36 1.55 0.02 0.07
 -------- 00:00 0.06 0.35 1.54 0.02 0.06
