 Date Time CO OZ NO2 CHX NO PM10
 16.03.13 12:00 0.14 ---- 0.45 1.75 0.24 0.13
 -------- 13:00 0.09 ---- 0.30 1.50 0.06 0.10
 -------- 14:00 0.09 ---- 0.19 1.51 0.03 0.03
 -------- 15:00 0.05 ---- 0.13 1.51 0.02 0.04
 -------- 16:00 0.06 ---- 0.12 1.52 0.02 0.05
 16.03.13 17:00 0.05 ---- 0.10 1.49 0.02 0.05
 -------- 18:00 0.05 ---- 0.11 1.49 0.02 0.05
 -------- 19:00 0.06 ---- 0.12 1.50 0.02 0.05
 -------- 20:00 0.05 ---- 0.09 1.51 0.02 0.03
 -------- 21:00 0.05 ---- 0.08 1.48 0.02 0.02
 16.03.13 22:00 0.05 ---- 0.05 1.46 0.01 0.02
 -------- 23:00 0.05 ---- 0.05 1.52 0.01 0.02
 -------- 00:00 0.04 ---- 0.04 1.47 0.02 0.02
 -------- 01:00 0.04 ---- 0.04 1.44 0.01 0.03
 -------- 02:00 0.04 ---- 0.05 1.44 0.01 0.04
 17.03.13 03:00 0.04 ---- 0.05 1.44 0.02 0.04
 -------- 04:00 0.04 ---- 0.04 1.50 0.02 0.03
 -------- 05:00 0.04 ---- 0.03 1.45 0.02 0.03
 -------- 06:00 0.04 ---- 0.04 1.43 0.02 0.03
 -------- 07:00 0.04 ---- 0.04 1.52 0.02 0.02
 17.03.13 08:00 0.05 ---- 0.05 1.50 0.01 0.02
 -------- 09:00 0.05 ---- 0.07 1.46 0.02 0.03
 -------- 10:00 0.05 ---- 0.06 1.44 0.02 0.03
 -------- 11:00 0.05 ---- 0.08 1.45 0.03 0.03
 -------- 12:00 0.07 ---- 0.06 1.48 0.02 0.03
 17.03.13 13:00 0.05 ---- 0.07 1.46 0.02 0.04
 -------- 14:00 0.05 ---- 0.05 1.45 0.02 0.03
 -------- 15:00 0.04 ---- 0.05 1.45 0.02 0.04
 -------- 16:00 0.05 ---- 0.06 1.45 0.02 0.03
 -------- 17:00 0.05 ---- 0.07 1.46 0.02 0.04
 17.03.13 18:00 0.04 ---- 0.08 1.46 0.02 0.04
 -------- 19:00 0.04 ---- 0.11 1.49 0.02 0.04
 -------- 20:00 0.07 ---- 0.23 1.66 0.02 0.04
 -------- 21:00 0.06 ---- 0.41 1.68 0.02 0.06
 -------- 22:00 0.07 ---- 0.41 1.58 0.03 0.05
 17.03.13 23:00 0.07 ---- 0.34 1.57 0.02 0.04
 -------- 00:00 0.06 ---- 0.34 1.56 0.02 0.04
 -------- 01:00 0.07 ---- 0.31 1.58 0.02 0.05
 -------- 02:00 0.10 ---- 0.35 1.66 0.02 0.05
 -------- 03:00 0.07 ---- 0.36 1.86 0.02 0.05
 18.03.13 04:00 0.07 ---- 0.37 1.95 0.02 0.05
 -------- 05:00 0.06 ---- 0.32 1.79 0.02 0.04
 -------- 06:00 0.06 ---- 0.34 1.82 0.02 0.04
 -------- 07:00 0.09 ---- 0.35 1.83 0.02 0.05
 -------- 08:00 0.11 ---- 0.34 1.83 0.04 0.06
 18.03.13 09:00 0.11 ---- 0.35 1.72 0.06 0.06
 -------- 10:00 0.08 ---- 0.30 1.78 0.07 0.07
 -------- 11:00 0.06 ---- 0.22 1.82 0.05 0.04
