 Date Time CO OZ NO2 CHX NO PM10
 08.01.13 00:00 0.04 ---- 0.03 1.44 0.01 0.03
 -------- 01:00 0.04 ---- 0.03 1.43 0.01 0.04
 -------- 02:00 0.04 ---- 0.03 1.54 0.01 0.03
 -------- 03:00 0.04 ---- 0.04 1.75 0.01 0.03
 -------- 04:00 0.04 ---- 0.05 1.47 0.01 0.03
 08.01.13 05:00 0.05 ---- 0.08 1.51 0.01 0.02
 -------- 06:00 0.06 ---- 0.10 1.52 0.01 0.03
 -------- 07:00 0.06 ---- 0.10 1.50 0.01 0.02
 -------- 08:00 0.06 ---- 0.09 1.50 0.02 0.03
 -------- 09:00 0.06 ---- 0.10 1.49 0.01 0.03
 08.01.13 10:00 0.19 ---- 0.06 1.59 0.02 0.03
 -------- 11:00 0.09 ---- 0.08 1.51 0.02 0.03
 -------- 12:00 0.09 ---- 0.09 1.54 0.02 0.03
 -------- 13:00 0.08 ---- 0.13 1.51 0.03 0.03
 -------- 14:00 0.08 ---- 0.17 1.53 0.04 0.04
 08.01.13 15:00 0.08 ---- 0.17 1.52 0.03 0.04
 -------- 16:00 0.07 ---- 0.17 1.53 0.03 0.04
 -------- 17:00 0.06 ---- 0.11 1.51 0.02 0.04
 -------- 18:00 0.08 ---- 0.09 1.51 0.02 0.03
 -------- 19:00 0.08 ---- 0.12 1.51 0.01 0.04
 08.01.13 20:00 0.08 ---- 0.18 1.52 0.02 0.04
 -------- 21:00 0.11 ---- 0.24 1.53 0.02 0.05
 -------- 22:00 0.09 ---- 0.26 1.54 0.02 0.06
 -------- 23:00 0.09 ---- 0.23 1.53 0.02 0.05
 -------- 00:00 0.07 ---- 0.17 1.52 0.02 0.05
 09.01.13 01:00 0.08 ---- 0.17 1.52 0.02 0.04
 -------- 02:00 0.08 ---- 0.16 1.52 0.01 0.03
 -------- 03:00 0.06 ---- 0.15 1.53 0.01 0.04
 -------- 04:00 0.07 ---- 0.20 1.54 0.02 0.04
 -------- 05:00 0.06 ---- 0.16 1.52 0.01 0.04
 09.01.13 06:00 0.07 ---- 0.14 1.53 0.02 0.04
 -------- 07:00 0.08 ---- 0.20 1.60 0.02 0.05
 -------- 08:00 0.09 ---- 0.21 1.62 0.04 0.06
 -------- 09:00 0.14 ---- 0.18 1.65 0.03 0.05
 -------- 10:00 0.11 ---- 0.20 1.86 0.05 0.07
 09.01.13 11:00 0.09 ---- 0.19 1.65 0.08 0.07
 -------- 12:00 0.09 ---- 0.16 1.58 0.06 0.03
 -------- 13:00 0.07 ---- 0.14 1.60 0.03 0.03
 -------- 14:00 0.05 ---- 0.05 1.49 0.02 0.01
 -------- 15:00 0.05 ---- 0.06 1.45 0.02 0.02
 09.01.13 16:00 0.08 ---- 0.08 1.50 0.02 0.05
 -------- 17:00 0.07 ---- 0.12 1.50 0.02 0.06
 -------- 18:00 0.09 ---- 0.21 1.54 0.02 0.06
 -------- 19:00 0.09 ---- 0.26 1.53 0.03 0.04
 -------- 20:00 0.07 ---- 0.22 1.54 0.02 0.05
 09.01.13 21:00 0.08 ---- 0.19 1.56 0.02 0.04
 -------- 22:00 0.06 ---- 0.13 1.49 0.02 0.03
 -------- 23:00 0.06 ---- 0.10 1.48 0.02 0.03
