 Date Time CO OZ NO2 CHX NO PM10
 18.12.12 12:00 0.17 ---- 0.37 1.97 0.34 0.14
 -------- 13:00 0.19 ---- 0.38 1.94 0.37 0.17
 -------- 14:00 0.17 ---- 0.38 1.92 0.36 0.16
 -------- 15:00 0.18 ---- 0.38 1.93 0.36 0.17
 -------- 16:00 0.17 ---- 0.39 1.92 0.35 0.15
 18.12.12 17:00 0.15 ---- 0.37 1.82 0.28 ----
 -------- 18:00 0.14 ---- 0.36 1.82 0.20 0.18
 -------- 19:00 0.14 ---- 0.35 1.73 0.18 0.14
 -------- 20:00 0.14 ---- 0.35 1.69 0.17 0.10
 -------- 21:00 0.15 ---- 0.37 1.68 0.17 0.10
 18.12.12 22:00 0.13 ---- 0.37 1.73 0.21 0.11
 -------- 23:00 0.12 ---- 0.37 1.77 0.23 0.11
 -------- 00:00 0.11 ---- 0.36 1.73 0.15 0.09
 -------- 01:00 0.09 ---- 0.35 1.71 0.12 0.07
 -------- 02:00 0.10 ---- 0.36 1.71 0.12 0.07
 19.12.12 03:00 0.10 ---- 0.39 1.75 0.16 0.08
 -------- 04:00 0.08 ---- 0.38 1.67 0.14 0.08
 -------- 05:00 0.09 ---- 0.37 1.64 0.12 0.07
 -------- 06:00 0.09 ---- 0.35 1.62 0.11 0.06
 -------- 07:00 0.12 ---- 0.36 1.69 0.16 0.07
 19.12.12 08:00 0.13 ---- 0.38 1.77 0.26 0.09
 -------- 09:00 0.13 ---- 0.37 1.73 0.27 0.09
 -------- 10:00 0.14 ---- 0.36 1.82 0.20 0.09
 -------- 11:00 0.13 ---- 0.34 1.67 0.21 0.07
 -------- 12:00 0.12 ---- 0.35 1.69 0.24 0.10
 19.12.12 13:00 0.13 ---- 0.36 1.69 0.25 0.10
 -------- 14:00 0.12 ---- 0.39 1.68 0.28 0.10
 -------- 15:00 0.17 ---- 0.46 1.74 0.35 0.18
 -------- 16:00 0.20 ---- 0.51 1.83 0.45 0.19
 -------- 17:00 0.18 ---- 0.51 1.82 0.44 0.16
 19.12.12 18:00 0.17 ---- 0.48 1.76 0.38 0.14
 -------- 19:00 0.15 ---- 0.46 1.68 0.29 0.12
 -------- 20:00 0.15 ---- 0.46 1.70 0.28 0.12
 -------- 21:00 0.13 ---- 0.47 1.68 0.29 0.11
 -------- 22:00 0.11 ---- 0.47 1.65 0.25 0.09
 19.12.12 23:00 0.09 ---- 0.46 1.62 0.17 0.09
 -------- 00:00 0.15 ---- 0.50 1.77 0.39 0.12
 -------- 01:00 0.15 ---- 0.52 1.79 0.43 0.13
 -------- 02:00 0.15 ---- 0.51 1.82 0.42 0.15
 -------- 03:00 0.16 ---- 0.54 1.90 0.49 0.14
 20.12.12 04:00 0.14 ---- 0.51 1.90 0.41 0.12
 -------- 05:00 0.13 ---- 0.50 1.98 0.37 0.11
 -------- 06:00 0.14 ---- 0.50 2.10 0.39 0.12
 -------- 07:00 0.14 ---- 0.50 2.14 0.34 0.12
 -------- 08:00 0.16 ---- 0.49 2.13 0.38 0.11
 20.12.12 09:00 0.19 ---- 0.49 2.17 0.42 0.13
 -------- 10:00 0.21 ---- 0.48 2.21 0.42 0.13
 -------- 11:00 0.20 ---- 0.50 2.23 0.47 0.14
