 Date Time CO OZ NO2 CHX NO PM10
 09.04.13 00:00 0.10 ---- 0.33 1.64 0.02 0.04
 -------- 01:00 0.11 ---- 0.28 1.61 0.02 0.04
 -------- 02:00 0.08 ---- 0.22 1.64 0.01 0.04
 -------- 03:00 0.08 ---- 0.24 1.67 0.02 0.04
 -------- 04:00 0.08 ---- 0.26 1.63 0.01 0.03
 09.04.13 05:00 0.10 ---- 0.34 1.69 0.02 0.04
 -------- 06:00 0.13 ---- 0.54 1.92 0.04 0.04
 -------- 07:00 0.11 ---- 0.50 1.79 0.05 0.04
 -------- 08:00 0.07 ---- 0.30 1.57 0.03 0.03
 -------- 09:00 0.06 ---- 0.29 1.55 0.03 0.04
 09.04.13 10:00 0.08 ---- 0.44 1.65 0.05 0.07
 -------- 11:00 0.07 ---- 0.41 1.62 0.07 0.07
 -------- 12:00 0.05 ---- 0.34 1.55 0.04 0.06
 -------- 13:00 0.05 ---- 0.26 1.53 0.03 0.06
 -------- 14:00 0.04 ---- 0.15 1.47 0.02 ----
 09.04.13 15:00 0.04 ---- 0.15 1.44 0.02 ----
 -------- 16:00 0.05 ---- 0.14 1.47 0.02 0.10
 -------- 17:00 0.05 ---- 0.11 1.45 0.02 0.08
 -------- 18:00 0.04 ---- 0.15 1.46 0.02 0.07
 -------- 19:00 0.04 ---- 0.15 1.46 0.02 0.07
 09.04.13 20:00 0.05 ---- 0.18 1.48 0.01 0.07
 -------- 21:00 0.09 ---- 0.28 1.53 0.02 0.07
 -------- 22:00 0.10 ---- 0.40 1.56 0.02 0.07
 -------- 23:00 0.14 ---- 0.50 1.60 0.02 0.11
 -------- 00:00 0.22 ---- 0.68 1.70 0.05 0.16
 10.04.13 01:00 0.21 ---- 0.75 1.72 0.12 0.13
 -------- 02:00 0.25 ---- 0.74 1.78 0.27 0.14
 -------- 03:00 0.16 ---- 0.79 1.81 0.54 0.13
 -------- 04:00 0.15 ---- 0.75 1.82 0.38 0.13
 -------- 05:00 0.15 ---- 0.73 1.89 0.36 0.12
 10.04.13 06:00 0.16 ---- 0.81 2.05 0.27 0.15
 -------- 07:00 0.16 ---- 0.81 2.18 0.24 0.16
 -------- 08:00 0.18 ---- 0.78 2.25 0.30 0.17
 -------- 09:00 0.19 ---- 0.82 2.18 0.36 0.21
 -------- 10:00 0.17 ---- 0.75 1.90 0.25 0.22
 10.04.13 11:00 0.08 ---- 0.43 1.59 0.07 0.12
 -------- 12:00 0.07 ---- 0.32 1.53 0.04 0.09
 -------- 13:00 0.07 ---- 0.28 1.51 0.03 0.08
 -------- 14:00 0.05 ---- 0.26 1.50 0.03 0.08
 -------- 15:00 0.05 ---- 0.23 1.49 0.03 0.06
 10.04.13 16:00 0.05 ---- 0.25 1.50 0.03 0.06
 -------- 17:00 0.05 ---- 0.28 1.48 0.03 0.06
 -------- 18:00 0.05 ---- 0.36 1.50 0.03 0.06
 -------- 19:00 0.06 ---- 0.41 1.50 0.02 0.07
 -------- 20:00 0.08 ---- 0.49 1.54 0.02 0.07
 10.04.13 21:00 0.09 ---- 0.38 1.53 0.02 0.07
 -------- 22:00 0.11 ---- 0.60 1.59 0.03 0.10
 -------- 23:00 0.12 ---- 0.72 1.63 0.05 0.12
