 Date Time CO OZ NO2 CHX NO PM10
 01.03.13 00:00 0.04 ---- 0.07 1.40 0.02 0.02
 -------- 01:00 0.04 ---- 0.10 1.39 0.02 0.02
 -------- 02:00 0.04 ---- 0.12 1.40 0.02 0.02
 -------- 03:00 0.04 ---- 0.09 1.39 0.02 0.02
 -------- 04:00 0.04 ---- 0.08 1.40 0.02 0.03
 01.03.13 05:00 0.04 ---- 0.10 1.41 0.02 0.03
 -------- 06:00 0.04 ---- 0.09 1.42 0.02 0.03
 -------- 07:00 0.06 ---- 0.08 1.43 0.02 0.03
 -------- 08:00 0.09 ---- 0.11 1.45 0.02 0.03
 -------- 09:00 0.09 ---- 0.13 1.52 0.02 0.03
 01.03.13 10:00 0.06 ---- 0.14 1.43 0.02 0.03
 -------- 11:00 0.06 ---- 0.14 1.43 0.03 0.03
 -------- 12:00 0.05 ---- 0.15 1.43 0.03 0.04
 -------- 13:00 0.06 ---- 0.14 1.43 0.02 0.04
 -------- 14:00 0.05 ---- 0.14 1.43 0.03 0.04
 01.03.13 15:00 0.05 ---- 0.13 1.43 0.02 0.03
 -------- 16:00 0.04 ---- 0.08 1.41 0.02 0.02
 -------- 17:00 0.04 ---- 0.06 1.40 0.02 0.01
 -------- 18:00 0.05 ---- 0.06 1.42 0.02 0.02
 -------- 19:00 0.04 ---- 0.05 1.40 0.02 0.01
 01.03.13 20:00 0.04 ---- 0.04 1.39 0.02 0.02
 -------- 21:00 0.05 ---- 0.04 1.38 0.02 0.01
 -------- 22:00 0.04 ---- 0.04 1.43 0.01 0.01
 -------- 23:00 0.04 ---- 0.05 1.41 0.01 0.01
 -------- 00:00 0.04 ---- 0.07 1.42 0.01 0.02
 02.03.13 01:00 0.04 ---- 0.05 1.41 0.01 0.03
 -------- 02:00 0.04 ---- 0.05 1.41 0.01 0.03
 -------- 03:00 0.04 ---- 0.03 1.40 0.02 0.03
 -------- 04:00 0.04 ---- 0.03 1.40 0.01 0.03
 -------- 05:00 0.04 ---- 0.03 1.40 0.01 0.03
 02.03.13 06:00 0.04 ---- 0.04 1.40 0.02 0.03
 -------- 07:00 0.04 ---- 0.03 1.40 0.02 0.03
 -------- 08:00 0.04 ---- 0.03 1.41 0.02 0.02
 -------- 09:00 0.04 ---- 0.03 1.42 0.02 0.04
 -------- 10:00 0.05 ---- 0.04 1.43 0.02 0.03
 02.03.13 11:00 0.04 ---- 0.03 1.43 0.02 0.03
 -------- 12:00 0.04 ---- 0.03 1.43 0.02 0.04
 -------- 13:00 0.03 ---- 0.03 1.42 0.02 0.03
 -------- 14:00 0.03 ---- 0.03 1.42 0.02 0.04
 -------- 15:00 0.02 ---- 0.03 1.41 0.02 0.03
 02.03.13 16:00 0.03 ---- 0.03 1.42 0.02 0.02
 -------- 17:00 0.03 ---- 0.03 1.42 0.02 0.02
 -------- 18:00 0.05 ---- 0.04 1.42 0.02 0.02
 -------- 19:00 0.05 ---- 0.06 1.43 0.01 0.03
 -------- 20:00 0.07 ---- 0.22 1.55 0.02 0.04
 02.03.13 21:00 0.09 ---- 0.27 1.75 0.02 0.04
 -------- 22:00 0.09 ---- 0.25 1.69 0.02 0.06
 -------- 23:00 0.11 ---- 0.30 1.77 0.02 0.10
 -------- 00:00 0.10 ---- 0.33 1.86 0.02 0.05
