 Date Time CO NO2 CHX NO PM10
 04.12.12 00:00 0.04 0.11 1.42 0.01 0.03
 -------- 01:00 0.04 0.09 1.45 0.01 0.03
 -------- 02:00 0.04 0.08 1.47 0.01 0.05
 -------- 03:00 0.04 0.05 1.42 0.01 0.05
 -------- 04:00 0.04 0.04 1.43 0.01 0.02
 04.12.12 05:00 0.04 0.06 1.44 0.01 0.03
 -------- 06:00 0.04 0.07 1.45 0.01 0.04
 -------- 07:00 0.05 0.09 1.47 0.01 0.03
 -------- 08:00 0.06 0.10 1.52 0.02 0.02
 -------- 09:00 0.06 0.11 1.54 0.02 0.01
 04.12.12 10:00 0.06 0.13 1.56 0.02 0.02
 -------- 11:00 0.09 0.15 1.59 0.03 0.01
 -------- 12:00 0.07 0.17 1.62 0.04 0.00
 -------- 13:00 0.09 0.23 1.64 0.10 0.01
 -------- 14:00 0.11 0.27 1.64 0.19 0.04
 04.12.12 15:00 0.15 0.27 1.82 0.27 0.03
 -------- 16:00 0.17 0.25 1.69 0.25 0.06
 -------- 17:00 0.11 0.22 1.62 0.11 0.09
 -------- 18:00 0.05 0.12 1.51 0.02 0.06
 -------- 19:00 0.05 0.07 1.49 0.02 0.06
 04.12.12 20:00 0.04 0.06 1.46 0.02 0.04
 -------- 21:00 0.05 0.04 1.46 0.02 0.05
 -------- 22:00 0.04 0.04 1.56 0.01 0.03
 -------- 23:00 0.04 0.05 1.64 0.01 0.02
 -------- 00:00 0.04 0.04 1.88 0.01 0.04
 05.12.12 01:00 0.04 0.05 1.46 0.02 0.05
 -------- 02:00 0.04 0.05 1.46 0.02 0.03
 -------- 03:00 0.04 0.09 1.46 0.02 0.03
 -------- 04:00 0.02 0.05 1.45 0.02 0.03
 -------- 05:00 0.02 0.05 1.45 0.02 0.05
 05.12.12 06:00 0.02 0.04 1.45 0.01 0.01
 -------- 07:00 0.04 0.04 1.47 0.01 0.03
 -------- 08:00 0.05 0.07 1.47 0.02 0.03
 -------- 09:00 0.03 0.09 1.47 0.01 0.03
 -------- 10:00 0.03 0.10 1.45 0.02 0.04
 05.12.12 11:00 0.03 0.11 1.46 0.02 0.03
 -------- 12:00 0.03 0.10 1.44 0.02 0.14
 -------- 13:00 0.04 0.13 1.43 0.03 0.02
 -------- 14:00 0.07 0.10 1.44 0.03 0.02
 -------- 15:00 0.05 0.13 1.43 0.03 0.03
 05.12.12 16:00 0.06 0.17 1.45 0.03 0.06
 -------- 17:00 0.07 0.21 1.44 0.02 0.01
 -------- 18:00 0.09 0.33 1.47 0.04 0.05
 -------- 19:00 0.07 0.27 1.45 0.03 0.04
 -------- 20:00 0.09 0.35 1.50 0.05 0.05
 05.12.12 21:00 0.10 0.39 1.50 0.05 0.07
 -------- 22:00 0.08 0.34 1.49 0.03 0.06
 -------- 23:00 0.08 0.34 1.48 0.03 0.05
 -------- 00:00 0.08 0.32 1.47 0.02 0.04
