 Date Time CO SO2 NO2 NO
 22.12.12 00:00 0.14 0.01 0.34 0.19
 -------- 01:00 0.14 0.01 0.33 0.16
 -------- 02:00 0.13 0.01 0.33 0.16
 -------- 03:00 0.11 0.02 0.34 0.12
 -------- 04:00 0.11 0.01 0.34 0.11
 22.12.12 05:00 0.10 0.00 0.34 0.10
 -------- 06:00 0.13 0.02 0.36 0.17
 -------- 07:00 0.15 0.01 0.42 0.20
 -------- 08:00 0.15 0.00 0.39 0.22
 -------- 09:00 0.15 0.01 0.37 0.16
 22.12.12 10:00 0.14 0.01 0.38 0.12
 -------- 11:00 0.16 0.01 0.38 0.19
 -------- 12:00 0.17 0.01 0.39 0.23
 -------- 13:00 0.17 0.02 0.39 0.23
 -------- 14:00 0.13 0.00 0.38 0.15
 22.12.12 15:00 0.10 0.01 0.35 0.08
 -------- 16:00 0.09 0.01 0.34 0.06
 -------- 17:00 0.09 0.00 0.34 0.05
 -------- 18:00 0.11 0.01 0.31 0.04
 -------- 19:00 0.09 0.01 0.35 0.06
 22.12.12 20:00 0.08 0.00 0.36 0.05
 -------- 21:00 0.10 0.01 0.36 0.06
 -------- 22:00 0.13 0.01 0.34 0.05
 -------- 23:00 0.10 0.01 0.34 0.05
 -------- 00:00 0.10 0.00 0.33 0.05
 23.12.12 01:00 0.09 0.01 0.30 0.03
 -------- 02:00 0.08 0.01 0.27 0.02
 -------- 03:00 0.08 0.00 0.25 0.03
 -------- 04:00 0.08 0.00 0.27 0.03
 -------- 05:00 0.08 0.01 0.26 0.02
 23.12.12 06:00 0.08 0.01 0.27 0.02
 -------- 07:00 0.08 0.01 0.30 0.03
 -------- 08:00 0.09 0.01 0.33 0.04
 -------- 09:00 0.11 0.01 0.35 0.08
 -------- 10:00 0.14 0.01 0.36 0.14
 23.12.12 11:00 0.17 0.01 0.36 0.15
 -------- 12:00 0.15 0.01 0.32 0.13
 -------- 13:00 0.18 0.01 0.36 0.19
 -------- 14:00 0.19 0.00 0.39 0.21
 -------- 15:00 0.19 0.01 0.40 0.18
 23.12.12 16:00 0.18 0.01 0.41 0.16
 -------- 17:00 0.19 0.02 0.43 0.23
 -------- 18:00 0.20 0.00 0.46 0.31
 -------- 19:00 0.30 0.01 0.49 0.46
 -------- 20:00 0.15 0.01 0.39 0.18
 23.12.12 21:00 0.24 0.01 0.42 0.34
 -------- 22:00 0.26 0.01 0.44 0.47
 -------- 23:00 0.29 0.01 0.53 0.62
