 Date Time CO SO2 NO2 CHX NO
 18.04.13 12:00 0.10 0.01 0.20 1.50 0.02
 -------- 13:00 0.09 0.02 0.15 1.45 0.02
 -------- 14:00 0.07 0.01 0.11 1.42 0.01
 -------- 15:00 0.06 0.01 0.09 1.42 0.01
 -------- 16:00 0.06 0.01 0.06 1.40 0.01
 18.04.13 17:00 0.07 0.01 0.12 1.42 0.01
 -------- 18:00 0.08 0.01 0.12 1.45 0.01
 -------- 19:00 0.09 0.01 0.15 1.48 0.01
 -------- 20:00 0.13 0.01 0.30 1.54 0.02
 -------- 21:00 0.21 0.01 0.45 1.72 0.10
 18.04.13 22:00 0.47 0.01 0.45 2.38 0.38
 -------- 23:00 0.49 0.01 0.44 2.38 0.42
 -------- 00:00 0.48 0.01 0.45 2.32 0.33
 -------- 01:00 0.60 0.01 0.43 2.29 0.17
 -------- 02:00 0.15 0.01 0.28 1.64 0.03
 19.04.13 03:00 0.11 0.00 0.23 1.58 0.02
 -------- 04:00 0.09 0.01 0.19 1.55 0.01
 -------- 05:00 0.08 0.00 0.20 1.57 0.01
 -------- 06:00 0.09 0.01 0.21 1.57 0.01
 -------- 07:00 0.10 0.01 0.24 1.55 0.01
 19.04.13 08:00 0.10 0.01 0.27 1.54 0.02
 -------- 09:00 0.10 0.01 0.27 1.54 0.03
 -------- 10:00 0.10 0.01 0.24 1.53 0.03
 -------- 11:00 0.08 0.01 0.16 1.49 0.02
 -------- 12:00 0.07 0.01 0.10 1.44 0.01
 19.04.13 13:00 0.07 0.01 0.07 1.41 0.01
 -------- 14:00 0.06 0.01 0.03 1.46 0.01
 -------- 15:00 0.07 0.01 0.05 1.44 0.01
 -------- 16:00 0.06 0.01 0.04 1.41 0.01
 -------- 17:00 0.06 0.01 0.07 1.42 0.01
 19.04.13 18:00 0.06 0.01 0.08 1.42 0.01
 -------- 19:00 0.07 0.01 0.12 1.42 0.01
 -------- 20:00 0.09 0.01 0.13 1.44 0.00
 -------- 21:00 0.08 0.01 0.13 1.60 0.00
 -------- 22:00 0.09 0.01 0.14 2.02 0.00
 19.04.13 23:00 0.07 0.01 0.08 2.06 0.00
 -------- 00:00 0.08 0.01 0.08 1.78 0.00
 -------- 01:00 0.06 0.01 0.08 1.87 0.00
 -------- 02:00 0.06 0.01 0.07 1.50 ----
 -------- 03:00 0.06 0.01 0.09 1.79 ----
 20.04.13 04:00 0.07 0.00 0.20 2.47 0.01
 -------- 05:00 0.06 0.00 0.10 2.33 0.00
 -------- 06:00 0.09 0.01 0.14 2.20 0.01
 -------- 07:00 0.13 0.01 0.30 1.77 0.04
 -------- 08:00 0.13 0.01 0.36 1.58 0.07
 20.04.13 09:00 0.16 0.01 0.37 1.62 0.11
 -------- 10:00 0.16 0.01 0.35 1.76 0.09
 -------- 11:00 0.15 0.01 0.32 1.70 0.08
