 Date Time CO SO2 NO2 NO
 08.12.12 12:00 0.14 0.01 0.20 0.15
 -------- 13:00 0.17 0.01 0.21 0.20
 -------- 14:00 0.18 0.01 0.23 0.22
 -------- 15:00 0.21 0.01 0.25 0.27
 -------- 16:00 0.22 0.01 0.24 0.29
 08.12.12 17:00 0.22 0.01 0.23 0.27
 -------- 18:00 0.21 0.01 0.23 0.27
 -------- 19:00 0.19 0.01 0.23 0.29
 -------- 20:00 0.21 0.00 0.23 0.29
 -------- 21:00 0.22 0.01 0.23 0.27
 08.12.12 22:00 0.19 0.01 0.23 0.26
 -------- 23:00 0.22 0.01 0.23 0.29
 -------- 00:00 0.25 0.01 0.25 0.46
 -------- 01:00 0.23 0.01 0.25 0.38
 -------- 02:00 0.19 0.01 0.23 0.29
 09.12.12 03:00 0.20 0.00 0.19 0.24
 -------- 04:00 0.23 0.01 0.24 0.45
 -------- 05:00 0.19 0.01 0.22 0.34
 -------- 06:00 0.19 0.00 0.20 0.25
 -------- 07:00 0.20 0.01 0.21 0.27
 09.12.12 08:00 0.16 0.01 0.20 0.23
 -------- 09:00 0.15 0.01 0.20 0.19
 -------- 10:00 0.10 0.01 0.17 0.09
 -------- 11:00 0.09 0.00 0.19 0.06
 -------- 12:00 0.09 0.01 0.20 0.06
 09.12.12 13:00 0.08 0.00 0.19 0.05
 -------- 14:00 0.07 0.01 0.16 0.03
 -------- 15:00 0.07 0.00 0.14 0.03
 -------- 16:00 0.09 0.00 0.15 0.02
 -------- 17:00 0.12 0.01 0.22 0.04
 09.12.12 18:00 0.13 0.01 0.25 0.05
 -------- 19:00 0.12 0.00 0.27 0.05
 -------- 20:00 0.13 0.00 0.29 0.08
 -------- 21:00 0.17 0.01 0.29 0.11
 -------- 22:00 0.17 0.01 0.28 0.12
 09.12.12 23:00 0.29 0.02 0.30 0.30
 -------- 00:00 0.30 0.02 0.33 0.54
 -------- 01:00 0.28 0.01 0.39 0.71
 -------- 02:00 0.24 0.01 0.38 0.63
 -------- 03:00 0.19 0.00 0.33 0.33
 10.12.12 04:00 0.19 0.00 0.33 0.28
 -------- 05:00 0.20 0.01 0.33 0.27
 -------- 06:00 0.18 0.01 0.33 0.24
 -------- 07:00 0.32 0.01 0.32 0.17
 -------- 08:00 0.24 0.01 0.30 0.20
 10.12.12 09:00 0.12 0.00 0.26 0.10
 -------- 10:00 0.13 0.01 0.25 0.10
 -------- 11:00 0.11 0.01 0.22 0.10
