 Date Time CO SO2 NO2 NO
 09.12.12 12:00 0.08 0.01 0.20 0.06
 -------- 13:00 0.08 0.00 0.19 0.05
 -------- 14:00 0.07 0.01 0.16 0.03
 -------- 15:00 0.07 0.00 0.14 0.03
 -------- 16:00 0.09 0.00 0.15 0.02
 09.12.12 17:00 0.12 0.01 0.22 0.04
 -------- 18:00 0.13 0.01 0.25 0.05
 -------- 19:00 0.12 0.00 0.27 0.05
 -------- 20:00 0.13 0.00 0.29 0.08
 -------- 21:00 0.17 0.01 0.29 0.11
 09.12.12 22:00 0.17 0.01 0.28 0.12
 -------- 23:00 0.29 0.02 0.30 0.30
 -------- 00:00 0.30 0.02 0.33 0.54
 -------- 01:00 0.28 0.01 0.39 0.71
 -------- 02:00 0.24 0.01 0.38 0.63
 10.12.12 03:00 0.19 0.00 0.33 0.33
 -------- 04:00 0.19 0.00 0.33 0.28
 -------- 05:00 0.20 0.01 0.33 0.27
 -------- 06:00 0.18 0.01 0.33 0.24
 -------- 07:00 0.32 0.01 0.32 0.17
 10.12.12 08:00 0.24 0.01 0.30 0.20
 -------- 09:00 0.12 0.00 0.26 0.10
 -------- 10:00 0.13 0.01 0.25 0.10
 -------- 11:00 0.11 0.01 0.22 0.10
 -------- 12:00 0.15 0.01 0.21 0.12
 10.12.12 13:00 0.15 0.01 0.21 0.13
 -------- 14:00 0.15 0.01 0.21 0.14
 -------- 15:00 0.16 0.01 0.22 0.17
 -------- 16:00 0.14 0.01 0.22 0.14
 -------- 17:00 0.14 0.01 0.21 0.13
 10.12.12 18:00 0.13 0.01 0.21 0.12
 -------- 19:00 0.12 0.00 0.19 0.09
 -------- 20:00 0.10 0.00 0.19 0.05
 -------- 21:00 0.09 0.00 0.20 0.04
 -------- 22:00 0.07 0.00 0.20 0.02
 10.12.12 23:00 0.07 0.00 0.21 0.02
 -------- 00:00 0.06 0.01 0.19 0.01
 -------- 01:00 0.05 0.00 0.15 0.01
 -------- 02:00 0.05 0.00 0.17 0.01
 -------- 03:00 0.05 0.00 0.17 0.01
 11.12.12 04:00 0.05 0.01 0.16 0.00
 -------- 05:00 0.06 0.01 0.18 0.01
 -------- 06:00 0.06 0.01 0.19 0.01
 -------- 07:00 0.09 0.01 0.24 0.02
 -------- 08:00 0.09 0.01 0.27 0.03
 11.12.12 09:00 0.10 0.01 0.29 0.04
 -------- 10:00 0.07 0.01 0.27 0.03
 -------- 11:00 0.08 0.01 0.21 0.03
