 Date Time CO SO2 NO2 CHX NO
 06.01.13 12:00 0.08 0.01 0.17 1.48 0.04
 -------- 13:00 0.08 0.01 0.16 1.50 0.04
 -------- 14:00 0.09 0.01 0.18 1.50 0.04
 -------- 15:00 0.09 0.00 0.18 1.49 0.04
 -------- 16:00 0.08 0.01 0.16 1.46 0.02
 06.01.13 17:00 0.11 0.01 0.15 1.53 0.02
 -------- 18:00 0.08 0.01 0.16 1.49 0.02
 -------- 19:00 0.08 0.01 0.19 1.51 0.02
 -------- 20:00 0.08 0.01 0.17 1.52 0.02
 -------- 21:00 0.08 0.01 0.16 1.50 0.02
 06.01.13 22:00 0.07 0.01 0.16 1.51 0.02
 -------- 23:00 0.06 0.01 0.15 1.50 0.02
 -------- 00:00 0.06 0.01 0.11 1.48 0.01
 -------- 01:00 0.06 0.01 0.09 1.46 0.01
 -------- 02:00 0.06 0.01 0.09 1.44 0.01
 07.01.13 03:00 0.05 0.01 0.06 1.43 0.00
 -------- 04:00 0.05 0.01 0.07 1.43 0.00
 -------- 05:00 0.06 0.01 0.06 1.42 0.00
 -------- 06:00 0.06 0.01 0.08 1.43 0.00
 -------- 07:00 0.06 0.01 0.09 1.43 0.01
 07.01.13 08:00 0.06 0.01 0.10 1.44 0.01
 -------- 09:00 0.06 0.01 0.10 1.44 0.01
 -------- 10:00 0.06 0.01 0.13 1.44 0.01
 -------- 11:00 0.06 0.01 0.13 1.45 0.02
 -------- 12:00 0.07 0.01 0.13 1.45 0.03
 07.01.13 13:00 0.08 0.01 0.13 1.46 0.03
 -------- 14:00 0.08 0.01 0.12 1.48 0.02
 -------- 15:00 0.09 0.01 0.12 1.50 0.02
 -------- 16:00 0.08 0.01 0.11 1.45 0.02
 -------- 17:00 0.08 0.01 0.11 1.46 0.02
 07.01.13 18:00 0.08 0.01 0.11 1.46 0.01
 -------- 19:00 0.07 0.01 0.10 1.46 0.01
 -------- 20:00 0.08 0.01 0.12 1.47 0.02
 -------- 21:00 0.08 0.01 0.13 1.47 0.01
 -------- 22:00 0.08 0.01 0.13 1.47 0.01
 07.01.13 23:00 0.08 0.01 0.09 1.46 0.01
 -------- 00:00 0.06 0.01 0.07 1.45 0.01
 -------- 01:00 0.07 0.01 0.07 1.45 0.00
 -------- 02:00 0.08 0.01 0.07 1.46 0.00
 -------- 03:00 0.08 0.01 0.07 1.47 0.00
 08.01.13 04:00 0.08 0.01 0.07 1.59 0.00
 -------- 05:00 0.07 0.01 0.07 1.69 0.00
 -------- 06:00 0.07 0.01 0.09 1.64 0.00
 -------- 07:00 0.09 0.01 0.14 1.61 0.01
 -------- 08:00 0.09 0.01 0.15 1.59 0.01
 08.01.13 09:00 0.08 0.01 0.15 1.55 0.02
 -------- 10:00 0.09 0.01 0.18 1.57 0.03
 -------- 11:00 0.09 0.01 0.16 1.56 0.04
