 Date Time CO SO2 NO2 NO
 17.12.12 12:00 ---- 0.02 0.49 0.55
 -------- 13:00 ---- 0.01 0.47 0.34
 -------- 14:00 ---- 0.01 0.47 0.32
 -------- 15:00 0.11 0.01 0.42 0.17
 -------- 16:00 0.10 0.01 0.43 0.15
 17.12.12 17:00 0.09 0.01 0.41 0.10
 -------- 18:00 0.12 0.01 0.42 0.14
 -------- 19:00 0.09 0.01 0.36 0.06
 -------- 20:00 0.07 0.01 0.30 0.03
 -------- 21:00 0.08 0.01 0.34 0.07
 17.12.12 22:00 0.08 0.01 0.33 0.06
 -------- 23:00 0.08 0.01 0.30 0.05
 -------- 00:00 0.10 0.02 0.30 0.05
 -------- 01:00 0.09 0.01 0.30 0.06
 -------- 02:00 0.08 0.01 0.29 0.04
 18.12.12 03:00 0.08 0.01 0.29 0.04
 -------- 04:00 0.08 0.01 0.30 0.05
 -------- 05:00 0.09 0.01 0.29 0.05
 -------- 06:00 0.12 0.01 0.30 0.08
 -------- 07:00 0.13 0.01 0.31 0.12
 18.12.12 08:00 0.18 0.02 0.31 0.15
 -------- 09:00 0.15 0.01 0.33 0.14
 -------- 10:00 0.16 0.01 0.32 0.17
 -------- 11:00 0.17 0.01 0.31 0.18
 -------- 12:00 0.15 0.02 0.29 0.19
 18.12.12 13:00 0.17 0.02 0.30 0.21
 -------- 14:00 0.17 0.03 0.32 0.25
 -------- 15:00 0.17 0.03 0.33 0.24
 -------- 16:00 0.16 0.02 0.33 0.22
 -------- 17:00 0.14 0.01 0.31 0.17
 18.12.12 18:00 0.13 0.02 0.31 0.15
 -------- 19:00 0.11 0.01 0.30 0.09
 -------- 20:00 0.11 0.01 0.28 0.07
 -------- 21:00 0.12 0.02 0.28 0.06
 -------- 22:00 0.10 0.01 0.27 0.04
 18.12.12 23:00 0.10 0.01 0.26 0.04
 -------- 00:00 0.08 0.02 0.25 0.03
 -------- 01:00 0.07 0.01 0.25 0.02
 -------- 02:00 0.06 0.01 0.25 0.02
 -------- 03:00 0.06 0.01 0.25 0.02
 19.12.12 04:00 0.05 0.02 0.24 0.02
 -------- 05:00 0.04 0.01 0.24 0.02
 -------- 06:00 0.12 0.01 0.26 0.04
 -------- 07:00 0.15 0.02 0.29 0.08
 -------- 08:00 0.18 0.01 0.27 0.11
 19.12.12 09:00 0.21 0.02 0.30 0.18
 -------- 10:00 0.20 0.03 0.32 0.20
 -------- 11:00 0.19 0.03 0.32 0.23
