 Date Time CO SO2 NO2 CHX NO
 01.04.13 12:00 0.08 0.01 0.14 1.58 0.02
 -------- 13:00 0.09 0.01 0.13 1.53 0.03
 -------- 14:00 0.10 0.01 0.14 1.54 0.03
 -------- 15:00 0.10 0.01 0.14 1.50 0.04
 -------- 16:00 0.10 0.01 0.17 1.51 0.04
 01.04.13 17:00 0.13 0.01 0.25 1.57 0.09
 -------- 18:00 0.15 0.01 0.27 1.60 0.09
 -------- 19:00 0.16 0.00 0.27 1.63 0.09
 -------- 20:00 0.17 0.01 0.30 1.68 0.13
 -------- 21:00 0.19 0.01 0.32 1.70 0.13
 01.04.13 22:00 0.17 0.01 0.31 1.63 0.07
 -------- 23:00 0.13 0.00 0.26 1.56 0.02
 -------- 00:00 0.11 0.00 0.20 1.54 0.01
 -------- 01:00 0.08 0.00 0.16 1.52 0.00
 -------- 02:00 0.08 0.01 0.12 1.52 0.00
 02.04.13 03:00 0.06 0.00 0.09 1.54 ----
 -------- 04:00 0.07 0.01 0.10 1.55 ----
 -------- 05:00 0.06 0.01 0.10 1.50 ----
 -------- 06:00 0.09 0.00 0.15 1.51 0.01
 -------- 07:00 0.12 0.01 0.20 1.54 0.04
 02.04.13 08:00 0.12 0.01 0.21 1.53 0.03
 -------- 09:00 0.11 0.01 0.17 1.54 0.03
 -------- 10:00 0.11 0.01 0.17 1.52 0.03
 -------- 11:00 0.10 0.01 0.11 1.50 0.02
 -------- 12:00 0.10 0.01 0.13 1.51 0.02
 02.04.13 13:00 0.11 0.01 0.17 1.49 0.02
 -------- 14:00 0.11 0.01 0.18 1.49 0.03
 -------- 15:00 0.09 0.01 0.11 1.48 0.02
 -------- 16:00 0.10 0.01 0.14 1.50 0.02
 -------- 17:00 0.10 0.01 0.20 1.51 0.02
 02.04.13 18:00 0.09 0.01 0.12 1.55 0.01
 -------- 19:00 0.10 0.00 0.15 1.70 0.01
 -------- 20:00 0.08 0.01 0.09 1.95 0.00
 -------- 21:00 0.09 0.01 0.17 1.73 0.01
 -------- 22:00 0.11 0.01 0.22 1.53 0.01
 02.04.13 23:00 0.10 0.01 0.25 1.54 0.01
 -------- 00:00 0.10 0.01 0.31 1.52 0.01
 -------- 01:00 0.09 0.01 0.23 1.50 0.01
 -------- 02:00 0.08 0.01 0.10 1.48 0.00
 -------- 03:00 0.08 0.01 0.22 1.52 0.00
 03.04.13 04:00 0.08 0.00 0.19 1.58 0.00
 -------- 05:00 0.09 0.01 0.17 1.54 0.00
 -------- 06:00 0.11 0.01 0.26 1.57 0.01
 -------- 07:00 0.18 0.01 0.37 1.61 0.08
 -------- 08:00 0.19 0.01 0.32 1.63 0.08
 03.04.13 09:00 0.17 0.01 0.23 2.07 0.02
 -------- 10:00 0.13 0.01 0.23 1.71 0.03
 -------- 11:00 0.14 0.01 0.24 1.63 0.04
