 Date Time CO SO2 NO2 NO
 05.12.12 12:00 0.08 0.01 0.22 0.05
 -------- 13:00 0.08 0.00 0.17 0.04
 -------- 14:00 0.08 0.00 0.15 0.03
 -------- 15:00 0.09 0.01 0.23 0.06
 -------- 16:00 0.10 0.01 0.29 0.08
 05.12.12 17:00 0.13 0.00 0.32 0.08
 -------- 18:00 0.18 0.01 0.37 0.14
 -------- 19:00 0.17 0.01 0.38 0.14
 -------- 20:00 0.14 0.01 0.36 0.09
 -------- 21:00 0.12 0.00 0.35 0.07
 05.12.12 22:00 0.11 0.00 0.34 0.05
 -------- 23:00 0.11 0.00 0.32 0.04
 -------- 00:00 0.11 0.00 0.35 0.08
 -------- 01:00 0.09 0.00 0.34 0.05
 -------- 02:00 0.10 0.00 0.37 0.07
 06.12.12 03:00 0.10 0.00 0.35 0.08
 -------- 04:00 0.08 0.00 0.34 0.06
 -------- 05:00 0.09 0.01 0.34 0.11
 -------- 06:00 0.13 0.01 0.32 0.12
 -------- 07:00 0.15 0.01 0.37 0.18
 06.12.12 08:00 0.17 0.00 0.34 0.15
 -------- 09:00 0.17 0.01 0.32 0.15
 -------- 10:00 0.17 0.01 0.32 0.15
 -------- 11:00 0.18 0.01 0.33 0.21
 -------- 12:00 0.19 0.01 0.33 0.21
 06.12.12 13:00 0.17 0.00 0.32 0.18
 -------- 14:00 0.17 0.01 0.32 0.20
 -------- 15:00 0.16 0.00 0.31 0.15
 -------- 16:00 0.15 0.00 0.32 0.15
 -------- 17:00 0.15 0.00 0.31 0.14
 06.12.12 18:00 0.12 0.00 0.28 0.08
 -------- 19:00 0.12 0.00 0.24 0.05
 -------- 20:00 0.10 0.00 0.26 0.06
 -------- 21:00 0.10 0.01 0.25 0.05
 -------- 22:00 0.13 0.01 0.26 0.04
 06.12.12 23:00 0.08 0.01 0.25 0.04
 -------- 00:00 0.07 0.00 0.21 0.02
 -------- 01:00 0.06 0.01 0.15 0.01
 -------- 02:00 0.06 0.00 0.15 0.01
 -------- 03:00 0.06 0.00 0.15 0.00
 07.12.12 04:00 0.06 0.00 0.14 0.01
 -------- 05:00 0.06 0.01 0.16 0.01
 -------- 06:00 0.07 0.00 0.17 0.01
 -------- 07:00 0.14 0.00 0.18 0.03
 -------- 08:00 0.11 0.01 0.21 0.03
 07.12.12 09:00 0.09 0.01 0.23 0.03
 -------- 10:00 0.09 0.00 0.23 0.05
 -------- 11:00 0.09 0.01 0.24 0.07
