 Date Time CO SO2 NO2 CHX NO
 16.05.13 00:00 0.23 0.01 0.36 1.92 0.19
 -------- 01:00 0.24 0.01 0.34 1.99 0.22
 -------- 02:00 0.18 0.00 0.30 1.93 0.14
 -------- 03:00 0.14 0.01 0.27 1.90 0.09
 -------- 04:00 0.13 0.01 0.24 1.79 0.08
 16.05.13 05:00 0.11 0.01 0.22 1.70 0.11
 -------- 06:00 0.11 0.01 0.18 1.60 0.08
 -------- 07:00 0.13 0.01 0.18 1.61 0.09
 -------- 08:00 0.09 0.01 0.10 1.51 0.05
 -------- 09:00 0.11 0.01 0.14 1.51 0.05
 16.05.13 10:00 0.10 0.01 0.15 1.49 0.04
 -------- 11:00 0.09 0.01 0.13 1.49 0.03
 -------- 12:00 0.08 0.01 0.15 1.50 0.02
 -------- 13:00 0.09 0.01 0.12 1.49 0.02
 -------- 14:00 0.09 0.01 0.14 1.49 0.01
 16.05.13 15:00 0.09 0.01 0.19 1.56 0.01
 -------- 16:00 0.11 0.01 0.25 1.57 0.01
 -------- 17:00 0.11 0.01 0.23 1.57 0.01
 -------- 18:00 0.12 0.01 0.28 1.64 0.01
 -------- 19:00 0.12 0.01 0.31 1.72 0.02
 16.05.13 20:00 0.23 0.01 0.40 2.00 0.07
 -------- 21:00 0.29 0.01 0.46 1.92 0.19
 -------- 22:00 0.15 0.01 0.20 1.58 0.06
 -------- 23:00 0.10 0.01 0.13 1.47 0.03
 -------- 00:00 0.09 0.01 0.12 1.44 0.02
 17.05.13 01:00 0.08 0.01 0.17 1.44 0.02
 -------- 02:00 0.09 0.01 0.16 1.43 0.02
 -------- 03:00 0.07 0.01 0.12 1.53 0.03
 -------- 04:00 0.06 0.01 0.10 1.50 0.03
 -------- 05:00 0.06 0.01 0.13 1.43 0.03
 17.05.13 06:00 0.08 0.01 0.12 1.43 0.04
 -------- 07:00 0.13 0.01 0.18 1.52 0.08
 -------- 08:00 0.18 0.01 0.22 1.62 0.14
 -------- 09:00 0.15 0.01 0.19 1.59 0.09
 -------- 10:00 0.19 0.01 0.20 1.60 0.10
 17.05.13 11:00 0.16 0.01 0.21 1.60 0.09
 -------- 12:00 0.12 0.01 0.17 1.51 0.05
 -------- 13:00 0.10 0.01 0.15 1.50 0.03
 -------- 14:00 0.10 0.01 0.14 1.51 0.02
 -------- 15:00 0.08 0.01 0.08 1.49 0.02
 17.05.13 16:00 0.08 0.01 0.08 1.46 0.02
 -------- 17:00 0.08 0.01 0.09 1.45 0.02
 -------- 18:00 0.08 0.00 0.11 1.45 0.02
 -------- 19:00 0.08 0.01 0.09 1.45 0.02
 -------- 20:00 0.08 0.01 0.10 1.45 0.02
 17.05.13 21:00 0.08 0.01 0.09 1.43 0.02
 -------- 22:00 0.11 0.00 0.10 1.49 0.02
 -------- 23:00 0.10 0.01 0.10 1.48 0.03
