 Date Time CO SO2 NO2 NO
 12.12.12 12:00 0.12 0.02 0.27 0.13
 -------- 13:00 0.12 0.02 0.26 0.12
 -------- 14:00 0.11 0.03 0.28 0.14
 -------- 15:00 0.13 0.02 0.28 0.13
 -------- 16:00 0.13 0.02 0.31 0.14
 12.12.12 17:00 0.13 0.02 0.33 0.15
 -------- 18:00 0.11 0.02 0.31 0.09
 -------- 19:00 0.11 0.02 0.30 0.07
 -------- 20:00 0.17 0.01 0.27 0.05
 -------- 21:00 0.09 0.01 0.25 0.04
 12.12.12 22:00 0.08 0.01 0.25 0.03
 -------- 23:00 0.07 0.02 0.24 0.03
 -------- 00:00 0.06 0.01 0.22 0.02
 -------- 01:00 0.06 0.01 0.19 0.01
 -------- 02:00 0.06 0.01 0.17 0.01
 13.12.12 03:00 0.06 0.01 0.16 0.01
 -------- 04:00 0.06 0.01 0.13 0.01
 -------- 05:00 0.06 0.01 0.14 0.01
 -------- 06:00 0.06 0.01 0.18 0.01
 -------- 07:00 0.07 0.01 0.19 0.01
 13.12.12 08:00 0.09 0.02 0.20 0.02
 -------- 09:00 0.07 0.02 0.22 0.02
 -------- 10:00 0.08 0.01 0.24 0.03
 -------- 11:00 0.08 0.01 0.22 0.03
 -------- 12:00 0.07 0.01 0.19 0.02
 13.12.12 13:00 0.08 0.01 0.21 0.03
 -------- 14:00 0.08 0.01 0.21 0.03
 -------- 15:00 0.08 0.02 0.21 0.03
 -------- 16:00 0.08 0.02 0.22 0.03
 -------- 17:00 0.09 0.02 0.23 0.03
 13.12.12 18:00 0.08 0.02 0.23 0.02
 -------- 19:00 0.07 0.02 0.20 0.02
 -------- 20:00 0.07 0.02 0.19 0.02
 -------- 21:00 0.08 0.01 0.20 0.02
 -------- 22:00 0.08 0.01 0.20 0.02
 13.12.12 23:00 0.07 0.01 0.21 0.02
 -------- 00:00 0.06 0.01 0.15 0.01
 -------- 01:00 0.06 0.01 0.14 0.01
 -------- 02:00 0.05 0.01 0.13 0.01
 -------- 03:00 0.05 0.01 0.12 0.00
 14.12.12 04:00 0.04 0.01 0.12 0.01
 -------- 05:00 0.05 0.01 0.11 0.01
 -------- 06:00 0.06 0.01 0.14 0.01
 -------- 07:00 0.08 0.01 0.21 0.02
 -------- 08:00 0.10 0.02 0.22 0.03
 14.12.12 09:00 0.09 0.02 0.24 0.03
 -------- 10:00 0.09 0.01 0.26 0.05
 -------- 11:00 0.10 0.02 0.25 0.05
