 Date Time CO SO2 NO2 CHX NO
 04.05.13 00:00 0.21 0.01 0.37 1.75 0.08
 -------- 01:00 0.21 0.01 0.35 1.82 0.17
 -------- 02:00 0.18 0.01 0.35 2.34 0.14
 -------- 03:00 0.13 0.01 0.26 1.75 0.07
 -------- 04:00 0.12 0.01 0.26 1.74 0.05
 04.05.13 05:00 0.09 0.01 0.16 1.59 0.04
 -------- 06:00 0.09 0.01 0.13 1.55 0.03
 -------- 07:00 0.09 0.01 0.13 1.55 0.02
 -------- 08:00 0.10 0.01 0.16 1.59 0.03
 -------- 09:00 0.13 0.01 0.23 1.85 0.04
 04.05.13 10:00 0.14 0.01 0.27 1.92 0.06
 -------- 11:00 0.13 0.01 0.23 1.72 0.04
 -------- 12:00 0.12 0.01 0.17 1.68 0.03
 -------- 13:00 0.11 0.01 0.14 1.55 0.02
 -------- 14:00 0.10 0.01 0.15 1.55 0.02
 04.05.13 15:00 0.10 0.01 0.14 1.54 0.02
 -------- 16:00 0.08 0.01 0.12 1.51 0.01
 -------- 17:00 0.09 0.00 0.14 1.50 0.01
 -------- 18:00 0.10 0.00 0.14 1.47 0.02
 -------- 19:00 0.10 0.01 0.13 1.45 0.01
 04.05.13 20:00 0.10 0.01 0.14 1.46 0.02
 -------- 21:00 0.09 0.01 0.12 1.46 0.01
 -------- 22:00 0.10 0.01 0.13 1.46 0.02
 -------- 23:00 0.10 0.01 0.12 1.50 0.02
 -------- 00:00 0.10 0.01 0.13 1.58 0.02
 05.05.13 01:00 0.10 0.01 0.13 1.51 0.02
 -------- 02:00 0.11 0.01 0.23 1.54 0.03
 -------- 03:00 0.09 0.01 0.13 1.49 0.03
 -------- 04:00 0.08 0.01 0.07 1.49 0.02
 -------- 05:00 0.08 0.01 0.07 1.49 0.02
 05.05.13 06:00 0.08 0.01 0.06 1.49 0.02
 -------- 07:00 0.08 0.00 0.09 1.49 0.02
 -------- 08:00 0.09 0.01 0.12 1.53 0.02
 -------- 09:00 0.09 0.01 0.16 1.53 0.04
 -------- 10:00 0.09 0.01 0.14 1.51 0.04
 05.05.13 11:00 0.11 0.01 0.17 1.54 0.06
 -------- 12:00 0.10 0.01 0.12 1.70 0.05
 -------- 13:00 0.08 0.00 0.11 1.60 0.04
 -------- 14:00 0.08 0.01 0.08 1.76 0.03
 -------- 15:00 0.08 0.01 0.07 1.74 0.03
 05.05.13 16:00 0.08 0.01 0.07 1.65 0.03
 -------- 17:00 0.08 0.01 0.07 1.67 0.02
 -------- 18:00 0.07 0.01 0.05 1.73 0.02
 -------- 19:00 0.08 0.01 0.06 1.58 0.02
 -------- 20:00 0.09 0.01 0.11 1.49 0.02
 05.05.13 21:00 0.09 0.01 0.10 1.47 0.02
 -------- 22:00 0.10 0.01 0.12 1.47 0.03
 -------- 23:00 0.10 0.01 0.13 1.47 0.03
