 Date Time CO SO2 NO2 CHX NO
 03.01.13 00:00 0.08 0.01 0.18 1.49 0.01
 -------- 01:00 0.08 0.01 0.19 1.49 0.01
 -------- 02:00 0.06 0.01 0.14 1.48 0.00
 -------- 03:00 0.06 0.01 0.14 1.48 0.01
 -------- 04:00 0.06 0.01 0.12 1.48 0.00
 03.01.13 05:00 0.07 0.01 0.10 1.48 0.00
 -------- 06:00 0.07 0.01 0.10 1.47 0.00
 -------- 07:00 0.08 0.01 0.13 1.47 0.00
 -------- 08:00 0.09 0.01 0.15 1.48 0.01
 -------- 09:00 0.09 0.01 0.15 1.50 0.01
 03.01.13 10:00 0.10 0.01 0.20 1.52 0.01
 -------- 11:00 0.11 0.00 0.20 1.53 0.02
 -------- 12:00 0.12 0.01 0.20 1.55 0.02
 -------- 13:00 0.12 0.01 0.23 1.55 0.04
 -------- 14:00 0.12 0.01 0.25 1.57 0.04
 03.01.13 15:00 0.11 0.01 0.21 1.54 0.02
 -------- 16:00 0.10 0.01 0.18 1.54 0.02
 -------- 17:00 0.09 0.01 0.16 1.54 0.02
 -------- 18:00 0.09 0.01 0.18 1.54 0.02
 -------- 19:00 0.10 0.01 0.24 1.54 0.03
 03.01.13 20:00 0.10 0.01 0.24 1.54 0.03
 -------- 21:00 0.09 0.01 0.23 1.53 0.02
 -------- 22:00 0.08 0.01 0.17 1.49 0.01
 -------- 23:00 0.08 0.01 0.18 1.49 0.01
 -------- 00:00 0.08 0.01 0.19 1.36 0.01
 04.01.13 01:00 0.06 0.01 0.17 1.47 0.01
 -------- 02:00 0.08 0.01 0.16 1.46 0.00
 -------- 03:00 0.08 0.01 0.11 1.44 0.00
 -------- 04:00 0.08 0.01 0.09 1.43 0.00
 -------- 05:00 0.07 0.01 0.11 1.43 0.00
 04.01.13 06:00 0.07 0.01 0.12 1.43 0.01
 -------- 07:00 0.08 0.01 0.19 1.48 0.01
 -------- 08:00 0.10 0.01 0.20 1.49 0.01
 -------- 09:00 0.09 0.01 0.20 1.48 0.03
 -------- 10:00 0.10 0.01 0.23 1.49 0.02
 04.01.13 11:00 0.10 0.01 0.23 1.55 0.03
 -------- 12:00 0.09 0.00 0.23 1.55 0.04
 -------- 13:00 0.10 0.01 0.22 1.52 0.05
 -------- 14:00 0.07 0.01 0.15 1.52 0.01
 -------- 15:00 0.06 0.01 0.15 1.45 0.01
 04.01.13 16:00 0.08 0.01 0.19 1.47 0.01
 -------- 17:00 0.09 0.01 0.22 1.50 0.04
 -------- 18:00 0.09 0.01 0.22 1.50 0.02
 -------- 19:00 0.09 0.01 0.23 1.52 0.02
 -------- 20:00 0.12 0.01 0.28 3.17 0.07
 04.01.13 21:00 0.15 0.01 0.28 2.97 0.11
 -------- 22:00 0.13 0.01 0.27 4.10 0.09
 -------- 23:00 0.19 0.01 0.25 3.38 0.18
