 Date Time CO SO2 NO2 NO
 06.12.12 12:00 0.19 0.01 0.33 0.21
 -------- 13:00 0.17 0.00 0.32 0.18
 -------- 14:00 0.17 0.01 0.32 0.20
 -------- 15:00 0.16 0.00 0.31 0.15
 -------- 16:00 0.15 0.00 0.32 0.15
 06.12.12 17:00 0.15 0.00 0.31 0.14
 -------- 18:00 0.12 0.00 0.28 0.08
 -------- 19:00 0.12 0.00 0.24 0.05
 -------- 20:00 0.10 0.00 0.26 0.06
 -------- 21:00 0.10 0.01 0.25 0.05
 06.12.12 22:00 0.13 0.01 0.26 0.04
 -------- 23:00 0.08 0.01 0.25 0.04
 -------- 00:00 0.07 0.00 0.21 0.02
 -------- 01:00 0.06 0.01 0.15 0.01
 -------- 02:00 0.06 0.00 0.15 0.01
 07.12.12 03:00 0.06 0.00 0.15 0.00
 -------- 04:00 0.06 0.00 0.14 0.01
 -------- 05:00 0.06 0.01 0.16 0.01
 -------- 06:00 0.07 0.00 0.17 0.01
 -------- 07:00 0.14 0.00 0.18 0.03
 07.12.12 08:00 0.11 0.01 0.21 0.03
 -------- 09:00 0.09 0.01 0.23 0.03
 -------- 10:00 0.09 0.00 0.23 0.05
 -------- 11:00 0.09 0.01 0.24 0.07
 -------- 12:00 0.11 0.01 0.24 0.07
 07.12.12 13:00 0.11 0.00 0.24 0.07
 -------- 14:00 0.13 0.01 0.26 0.10
 -------- 15:00 0.13 0.00 0.27 0.10
 -------- 16:00 0.13 0.01 0.27 0.10
 -------- 17:00 0.14 0.01 0.28 0.11
 07.12.12 18:00 0.12 0.00 0.27 0.09
 -------- 19:00 0.16 0.00 0.26 0.10
 -------- 20:00 0.13 0.01 0.25 0.08
 -------- 21:00 0.13 0.01 0.23 0.09
 -------- 22:00 0.13 0.00 0.18 0.09
 07.12.12 23:00 0.12 0.00 0.20 0.07
 -------- 00:00 0.11 0.01 0.20 0.06
 -------- 01:00 0.09 0.01 0.20 0.04
 -------- 02:00 0.09 0.00 0.19 0.04
 -------- 03:00 0.09 0.00 0.16 0.01
 08.12.12 04:00 0.07 0.01 0.17 0.02
 -------- 05:00 0.08 0.01 0.18 0.03
 -------- 06:00 0.08 0.00 0.18 0.04
 -------- 07:00 0.09 0.02 0.19 0.05
 -------- 08:00 0.24 0.01 0.19 0.10
 08.12.12 09:00 0.19 0.00 0.21 0.11
 -------- 10:00 0.13 0.01 0.20 0.10
 -------- 11:00 0.14 0.00 0.20 0.13
