 Date Time CO SO2 NO2 CHX NO
 17.11.12 00:00 0.08 0.00 0.15 1.62 0.01
 -------- 01:00 0.08 0.00 0.16 1.59 0.01
 -------- 02:00 0.07 0.00 0.11 1.58 0.00
 -------- 03:00 0.07 0.00 0.11 1.57 0.01
 -------- 04:00 0.06 0.00 0.09 1.59 0.00
 17.11.12 05:00 0.06 0.00 0.10 1.55 0.00
 -------- 06:00 0.07 0.00 0.15 1.53 0.01
 -------- 07:00 0.08 0.00 0.17 1.53 0.01
 -------- 08:00 0.08 0.00 0.16 1.53 0.01
 -------- 09:00 0.09 0.00 0.20 1.52 0.02
 17.11.12 10:00 0.10 0.00 0.23 1.54 0.04
 -------- 11:00 0.09 0.00 0.16 1.55 0.02
 -------- 12:00 0.08 0.00 0.14 1.55 0.01
 -------- 13:00 0.09 0.00 0.14 1.55 0.01
 -------- 14:00 0.10 0.00 0.22 1.55 0.07
 17.11.12 15:00 0.13 0.00 0.26 1.54 0.06
 -------- 16:00 0.12 0.00 0.24 1.55 0.03
 -------- 17:00 0.12 0.00 0.26 1.55 0.05
 -------- 18:00 0.12 0.00 0.27 1.54 0.03
 -------- 19:00 0.13 0.00 0.28 1.54 0.06
 17.11.12 20:00 0.14 0.00 0.28 1.57 0.07
 -------- 21:00 0.13 0.00 0.24 1.56 0.03
 -------- 22:00 0.11 0.00 0.20 1.55 0.02
 -------- 23:00 0.11 0.00 0.20 1.54 0.01
 -------- 00:00 0.11 0.00 0.23 1.54 0.01
 18.11.12 01:00 0.10 0.00 0.22 1.55 0.01
 -------- 02:00 0.09 0.00 0.14 1.53 0.00
 -------- 03:00 0.08 0.00 0.13 1.52 0.00
 -------- 04:00 0.08 0.00 0.16 1.52 0.01
 -------- 05:00 0.08 0.00 0.16 1.53 0.01
 18.11.12 06:00 0.08 0.00 0.15 1.54 0.01
 -------- 07:00 0.09 0.00 0.18 1.56 0.02
 -------- 08:00 0.08 0.00 0.17 1.54 0.01
 -------- 09:00 0.08 0.00 0.14 1.53 0.01
 -------- 10:00 0.09 0.00 0.12 1.51 0.02
 18.11.12 11:00 0.10 0.00 0.17 1.51 0.03
 -------- 12:00 0.08 0.01 0.15 1.51 0.02
 -------- 13:00 0.09 0.00 0.14 1.51 0.02
 -------- 14:00 0.10 0.00 0.17 1.51 0.03
 -------- 15:00 0.09 0.00 0.16 1.51 0.02
 18.11.12 16:00 0.08 0.00 0.14 1.50 0.02
 -------- 17:00 0.09 0.00 0.15 1.50 0.02
 -------- 18:00 0.09 0.00 0.14 1.51 0.02
 -------- 19:00 0.08 0.00 0.11 1.50 0.01
 -------- 20:00 0.09 0.00 0.12 1.50 0.01
 18.11.12 21:00 0.08 0.00 0.12 1.49 0.01
 -------- 22:00 0.08 0.00 0.11 1.49 0.01
